family	title	author	work	date	holder	plate	note_tag	note	image_page_url	license
proportion_canons	Conformation et proportions des parties du corps de l'adulte	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 1	VERIFIED	Five contour figures — male and female, front and profile — drawn against TWO printed rulers: a centesimal scale (percent of stature) and an absolute scale in French inches. Landmark letters key each level to both. This is the measured proportional canon the anatomy program was missing on disk: read a landmark height off the centesimal rule and it transfers to any stature.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
syndesmology	Sujet complet de syndesmologie — plan antérieur	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 44	VERIFIED	One skeleton standing in a relaxed asymmetric stance with EVERY ligament left in place, numbered 1–27+. The joint-graph in a single image: each articulation is both located in the body and named. Note the ligaments read as pale strapping that visually fuses adjacent bone ends — joints are volumes, not pivots.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
syndesmology	Sujet complet de syndesmologie — plan postérieur	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 45	PLATE	The posterior counterpart to pl. 44, same subject and numbering — so the two plates register against each other for a full 360° ligament survey.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
joints_ligaments	Articulations rachidiennes et costo-vertébrales	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 46	PLATE	Whole spine with its ligaments, anterior and posterior, plus the rib-to-vertebra joints — the chain that decides how a torso bends and how a ribcage rides on it.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
joints_ligaments	Articulations céphalo-rachidiennes	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 47	PLATE	Skull-to-spine junction at life size: occiput, atlas and axis with the ligaments that let a head nod and rotate on two different joints. The head's two-axis pivot, drawn.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
joints_ligaments	Articulations rachidiennes, 7e à 12e vertèbre dorsale	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 48	PLATE	Thoracic segment in isolation — disc, facet and ligament detail for the least mobile stretch of the spine.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
joints_ligaments	Articulations rachidiennes, 2e à 4e vertèbre lombaire	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 49	PLATE	Lumbar segment at life size: the thick discs and heavy ligaments that carry the trunk's load, drawn large enough to model from.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
joints_ligaments	Articulations temporo-maxillaire, sterno-claviculaires, chondro-sternales et chondro-costales	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 50	PLATE	Jaw hinge, the sternoclavicular joint, and the cartilage joints of the rib cage on one sheet — the three articulations most often faked in game rigs.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
joints_ligaments	Articulations pelviennes et coxo-fémorales	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 51	PLATE	Whole pelvis, front and back, ligaments intact: sacroiliac, the sacrotuberous/sacrospinous straps, and both hip capsules. The pelvis reads as one strapped ring, not three bones.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
joints_ligaments	Articulations pelviennes et coxo-fémorale — grandeur naturelle	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 52	PLATE	Life-size hip: the joint opened and sectioned so the socket, the capsule and the ligamentum teres are all visible at true scale.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
