book	ia_id	plate	leaf	plate_title	subject	content_type	measured	status	page_image_url	note
viollet_dictionnaire	fr.wikisource	—	—	Fontaine / Colombier / Bahut / Lit / Échauguette +7	town fabric; sweep yield analysis	architectural text	yes	VERIFIED	https://fr.wikisource.org/wiki/Dictionnaire_raisonn%C3%A9_de_l%E2%80%99architecture_fran%C3%A7aise_du_XIe_au_XVIe_si%C3%A8cle	CYCLE 47: 16 rows -> viollet_town_fabric_v1.tsv. LIST CHECK FIRST (cycle 45's rule) saved 9 fetches - Leproserie, Grenier, Pressoir, Guerite, Coffre, Table, Bucher, Vivier, Pilori DO NOT EXIST. **THIRD NUMERAL BUG, SAME FAILURE MODE**: 'quatre vingt seize toises' (96 toises = 187.08 m) came out as 70.16 m because the F3 regex allowed only TWO number-words and matched 'vingt seize' (36) - a 62% error and again a believable one. Widened to three words; corpus-wide audit found ONE instance, caught before it reached a manifest. **YIELD CURVE MEASURED - RECOMMENDATION TO STOP THE BROAD SWEEP**: 57 articles, 647 tokens from 2.73M chars. Per-article yield decayed 12.0 (cycle 42) -> 3.1 (cycle 45) -> 1.4 (cycle 47). Top 10 articles hold 64% of all tokens; 30% of articles yield ZERO; median article yields 4; one token costs ~4,200 chars of reading. The productive range (Tour, Architecture militaire, Porte, Chateau, Charpente, Escalier, Donjon, Pont) is exhausted. Use Viollet as a TARGETED LOOKUP from here. FINDS: **Fontaine has WALKABLE TUNNELS** - town aqueduct passages 6 pieds high x 3 pieds wide (1.95 x 0.97 m) running 500+ toises UNLIT, 'les personnes peuvent facilement cheminer' - a kilometre of lightless crawlspace with a stated section. Colombier: Nesle/Creteil pigeonnier 6.80 m internal dia with 1.00 m walls; small one 4.60 m dia x 11.50 m to the pinnacles. Bahut (roofing sense): dwarf wall carrying a great roof, 1.25 m high at Notre-Dame, 0.40-0.60 m thick. **FALSE FRIEND: Viollet's 'Lit' is the MORTAR BED, not a bedstead** - gives joint thicknesses 0.01-0.03 m XIIIc, 0.01 m max later.
CORPUS-WIDE	—	—	—	numeral-parser audit across 45 swept Viollet articles	correctness audit	derived	n/a	DERIVED	—	CYCLE 46: re-extracted all 45 swept articles and diffed every spelled-out numeral against the pre-fix parser. FOUR tokens change, all 'dix-huit': Chateau 'dix-huit metres' 10.00 -> 18.00 (Coucy FLANKING TOWER DIAMETER); Construction--Voutes 'dix-huit pouces' 0.27 -> 0.49; Creneau 'dix-huit centimetres' 0.10 -> 1.18 (Beziers crenellation); Ferme 'dix-huit pieds' 3.25 -> 5.85 (barn enclosure wall). All 44% errors in plausible ranges. **RESULT: ZERO CORRUPTED MANIFEST ROWS.** Checked row by row: Coucy recorded 18, Beziers 1.18 m, barn wall 18 pieds (5.85 m), rib voussoir 0.50 m - all correct. **THE REASON IS THE 'NO QUOTE, NO ROW' RULE adopted defensively in cycle 36**: because every row carries its verbatim French, the number was transcribed from 'dix-huit metres' each time and the extractor's computed metres never got written. The extractor was wrong four times and it never reached a manifest. First time a discipline adopted as overhead has demonstrably prevented a real error - the quote is not provenance decoration, it IS the check. Added a 35-case French numeral regression suite to vldnum.py (all pass), with a note to run it after any change to _word(). Two numeral bugs shipped before anything noticed and NEITHER CRASHED - both returned a believable number, which is the only failure mode that matters here.
viollet_dictionnaire	fr.wikisource	—	—	Ferme (Constructions rurales) / Puits / Hôtel-Dieu / Réfectoire +5	barn contract, wells, hospital ward, refectories	architectural text	yes	VERIFIED	https://fr.wikisource.org/wiki/Dictionnaire_raisonn%C3%A9_de_l%E2%80%99architecture_fran%C3%A7aise_du_XIe_au_XVIe_si%C3%A8cle	CYCLE 45: 42 rows -> viollet_vernacular_v1.tsv. **CORRECTS CYCLE 42's BARN NEGATIVE**: that cycle recorded 'Grange, Moulin, Cave, Comble carry NO dimensions' and told future cycles not to look. Grange genuinely has none, but **Ferme (Constructions rurales) DOES** - it was never fetched because `Ferme` is a DISAMBIGUATED TITLE. It quotes a complete barn contract: court 40 x 30 toises (77.95 x 58.46 m), enclosure wall 18 pieds (5.85 m) excluding coping, barn proper >=20 x 9 toises (38.98 x 17.54 m), eaves 12 pieds (3.90 m), lean-to dwelling 10-12 toises. **AN EMPTY RETURN MEANS TWO DIFFERENT THINGS AND CYCLE 42 CONFLATED THEM**: a disambiguated title, or a genuinely absent article - Poterne, Pont-levis, Souterrain, Ecurie and Cellier DO NOT EXIST (those subjects live inside Porte/Chateau/Architecture militaire). One lookup in the article list distinguishes them. A bare `Hotel` lookup also hid Hotel-de-Ville, Hotellerie and Hotel-Dieu. **NUMERAL BUG FIXED, WORTH 44%**: `dix-huit pieds` was extracting as 3.25 m instead of 5.85 - _word() split on the hyphen and returned 10 for 18; `quatre-vingt` returned 4 for 80. Plausible-range errors, so nothing flagged them. Fixed for additive teens, vigesimal 80/90 and soixante-dix; 12-case check passes. FINDS: PUITS is the vertical-shaft article - wells 0.97 m to 2-3 toises diameter, one 2.57 m across x 30.20 m deep, margelle kerb 1.00 m high x 0.22 m thick, and **a 1.05 m well shaft at Chateau-Landon deliberately arranged to serve SEVERAL STOREYS** (a vertical route). HOTEL-DIEU holds the corpus's largest interior: ward 18.60 m wide in-works x 88.00 m long, ONE-PIECE oak tie-beams of 21.40 m, principals 19.00 m, cell partitions at 2 toises (3.95 m), 6 m circulation left in a 10 m ward. Refectories: Saint-Germain-des-Pres 40 x 10 m with vault keys at 16 m and NO central column line; Poissy 47 x 12 m, keys at 20 m. Saint-Antonin shopfront 7 m wide where period ground storeys ran only 3-4 m. Latrine shaft has NO FLOORS from ground to roof. Belfry frame sways 0.05 m at the top when the great bell swings.
viollet_dictionnaire	fr.wikisource	—	—	Manoir / Cloître / Cheminée / Plafond	vertical stack-up, cloister arcade, fireplaces, floor framing	architectural text	yes	VERIFIED	https://fr.wikisource.org/wiki/Dictionnaire_raisonn%C3%A9_de_l%E2%80%99architecture_fran%C3%A7aise_du_XIe_au_XVIe_si%C3%A8cle	CYCLE 44: 34 rows -> viollet_interior_v1.tsv. **MANOIR PRINTS A VERTICAL STACK-UP TABLE AND IT BALANCES**: column A (mezzanine side) entresolled storey 2.30 + floor 0.30 + entresol 2.30 + floor 0.30 = 5.20 m; column B (hall side) grande salle 4.30 + beams/corbels 0.60 + joisting 0.30 = 5.20 m. Verified arithmetically - BOTH SUM TO 5.20. A single-height great hall and a two-level entresolled block arrive at the SAME chemin-de-ronde datum. That is a stacking rule for mixed-use buildings, PRINTED not inferred; every earlier storey-height row in the corpus was one number for one room. Ground floor capped separately at 2.65 m sol-to-plafond. CLOITRE: bahut 0.45 m forming a continuous bench, piers 0.50 m face x 1.50 m thick, marble colonnettes 0.11 m diameter, rose-pierced upper wall 0.35 m which Viollet calls 'realement qu'une cloison evidee' - a screen not a load wall. **CONSTRUCTION REFINEMENT: the OUTER colonnette of each pair is set LEANING 0.02-0.03 m**, and base centres sit 0.01-0.03 m wider than the capital astragals above. A generator that stands both plumb is building something the masons deliberately did not. CHEMINEE: mantel 0.20 m thick; Poitiers grand'salle fireplace 10.00 m wide x 2.30 m under the mantel in a hall 16.30 m wide in-works; hotel chimney 1.66 x 2.57 m; logs 2-3 m long. PLAFOND: below a 2-3 m span simple joisting on a corbel suffices; XVc ceiling covers 15 x 6.50 m in 5 bays with 6 beams; brick voutains 3 x 10 cm on joists 0.32 m square SET DIAGONALLY for stiffness.
viollet_dictionnaire	fr.wikisource	—	—	Château / Clocher	castle layout + bell-tower geometry	architectural text	yes	VERIFIED	https://fr.wikisource.org/wiki/Dictionnaire_raisonn%C3%A9_de_l%E2%80%99architecture_fran%C3%A7aise_du_XIe_au_XVIe_si%C3%A8cle	CYCLE 43: 54 rows -> viollet_castle_tower_v1.tsv (51 measured, 3 documented-reconstruction). MOTTE-AND-BAILEY NOW FULLY DIMENSIONED: bailey 150 x 90-110 m; motte 27 m diameter; motte ditch 10-15 m; vallum 2 m high x 10 m wide; covered way 2 m; gate threshold 2 m above the counterscarp. Late elliptical enceinte = a REPEAT PITCH: 3 m arc segments alternating with 1 m straight curtain. **COUCY CONFLICT TRACED TO ITS SOURCE**: Chateau states BOTH readings verbatim - 31 m diameter x 64 m 'depuis le fond du fosse jusqu'au couronnement' AND a footnote 'sa hauteur de soixante-cinq environ'. They differ by DATUM: 64 m is measured from the DITCH BOTTOM, the 65 m states none. Not two measurements of one thing - one measurement and one loose restatement. Recommended: 31 x 64 m from ditch bottom. The 55 m in Donjon still needs its datum checked. **LOUVRE CONFLICT RESOLVED**: 'le donjon du Louvre n'avait que vingt metres de diametre environ sur trente metres de haut' - 20 x 30 m, and the sentence is explicitly correcting Guillaume de Lorris's exaggeration. Also: XIIIc rectangular castle 47.50 x 39.00 m in-works, courtyard 25 x 30 m, curtain 2.70 m, gate-donjon walls 4.60 m with NO ground-floor openings, postern sill 8 m above the wall base, lices 8 m below the courtyard, Chateau-Gaillard ditch 10 m wide x 7-8 m deep with a 0.60 m counterscarp ledge. **CLOCHER GIVES A PARAMETRIC TOWER RULE: each stage sets back 0.08 m internally**, corroborated by a stated taper 0.50 m at base to 0.30 m at summit. Heights span Molleges 2.06 m square base to Chartres clocher vieux 103.50 m; Bocherville 11.00 m wide, 4.00 m belfry stage, 27.00 m timber spire; octagon walls to 0.80 m, stone spire shell 0.25 m; one ground vault 24.75 m above the pavement with the shaft above it running 'd'une seule venue, sans voutes ni planchers'.
viollet_dictionnaire	fr.wikisource	—	—	Fenêtre / Pont + 14 others	window subdivision rule; bridge dimensions	architectural text	yes	VERIFIED	https://fr.wikisource.org/wiki/Dictionnaire_raisonn%C3%A9_de_l%E2%80%99architecture_fran%C3%A7aise_du_XIe_au_XVIe_si%C3%A8cle	CYCLE 42: swept 16 Viollet articles chosen by GAME VALUE not figure count, with vldnum.py's four-form extractor - 180 numeric tokens from articles never previously extracted. 35 rows -> viollet_window_bridge_v1.tsv. **FENETRE GIVES A PARAMETRIC TRACERY RULE, not a size table**: max 1.00 m of clear glass between mullions ('il ne fallait pas laisser plus d'un metre environ de vide entre les meneaux'), with the progression stated as a recursion - 2 m window = 1 mullion, 4 m = 1 principal + 2 secondary, 8 m = 1 principal + 2 secondary + 4 tertiary. Same generator class as the cycle-36 arrow-loop rule. Corroborated at Reims (lights 1.20 or 2.30 m; secondary mullions bring the glazed space back to 1.00 m). Carcassonne window: embrasure depth 0.60 m = HALF the 1.20 m width, stated outright ('moitie de la largeur') - classed documented-reconstruction as it is Viollet's own site. Casement over 3-4 m high is 'assez incommode' to open. **PONT: corpus went from ZERO bridge rows to 21.** Saint-Benezet Avignon 900 m long, deck 4.90 m incl parapets, 18 arches of 20-25 m, piers 30 m, voussoirs 0.70 m in four courses, chapel floor 4.50 m below deck, deck PINCHES TO 2.00 m past the chapel. Albi (brick, c.1335) 250.50 m, deck 18 m above mean water, 7 arches of 22 m, 6 piers 8.55 m, bricks 5 x 40 x 28 cm. Timber: piles 12.00 m axis to axis, heads <=2.00 m above water; Villard de Honnecourt - 20 ft timbers yield a 50 ft rigid deck. Pont Notre-Dame 1414 carried 60 IDENTICAL HOUSES on an 18-pas deck. **NEGATIVE RESULT: Grange, Moulin, Cave and Comble carry NO dimensions at all** (Cave is a 1595-char stub, Comble 207 chars) - the vernacular barn/mill/cellar/roof types a fantasy setting most wants are descriptive-only in Viollet and need a different source.
CORPUS-WIDE	—	—	—	parser audit	value-string normalisation	derived	n/a	DERIVED	—	CYCLE 41 (paused mid-cycle at Ace's request): swept every manifest for the two cycle-40 bug signatures. OLDER MANIFESTS CLEAN - 0 hits in domestic/fortification/viollet/buttress/timber_roof; the cycle-40 hypothesis that they were 'the same vintage, never re-parsed' was WRONG - they were built by agents who normalised as they read and never went through the fragile string path. Only my own later agent-mined tables were affected (english_hall 6, fantasy 1). THREE FURTHER DEFECTS found by auditing HOW each value was obtained (43% of the fantasy table rested on the prose fallback): (1) pattern order beat POSITION - '43 ft x 21 ft 6 in' returned 21 ft 6 in, the first ft+in PAIR, not the leading 43 ft; fixed to leftmost-match tie-broken by LONGEST (the tie-break mattered: '40 ft 3 in' and '40 ft' both start at 0 and sorting on value dropped the inches); (2) a leading bare number sharing the trailing unit - '100 x 27 ft' meant 12 rows recorded WIDTH as LENGTH; (3) the '= X' rule fired on a UNIT DEFINITION, returning the size of the foot. 19 values changed, several +100 to +179%. PROCESS: broke the file twice - a .replace() that silently no-opped (a literal [x\u00d7] vs [x×]) and an excision that removed _to_m_core/rows/__main__. Fixed by REWRITING WHOLE; now carries a documented parsing history and a 20-case regression suite (19/20). Also REVERTED one of my own fixes that was losing more rows than it saved.
CORPUS-WIDE	—	—	—	controlled element vocabulary	cross-manifest normalisation	derived table	n/a	DERIVED	—	CYCLE 40: 1445 rows across six manifests carried 1039 DISTINCT free-text element strings, 51% occurring once - unqueryable, and a naive roll-up actively lied (cycle 39 gave Hoghton Tower a 2.1 m great-hall height from its 7 ft window sill). Built element_vocab.py: 41 canonical classes applied as a MAPPING TABLE, not a rewrite (source wording is evidence and often carries its own qualification). Ordered rules, first match wins, so sill_height_above_floor beats height and wall_thickness beats thickness. Coverage 82.6 -> 84.6 -> 89.3 -> 91.1% over four passes driven by reading the actual failures. Output: building_dimensions_canonical_v1.tsv. THREE CLASSES EMERGED FROM THE DATA: level_difference (drops/relief/command-over - a relationship between two parts, the most game-relevant class in the table), member_detail (42 rows of Dollman/Brandon per-member plate figures - for detailing not massing), unresolved_in_source (7 rows the source itself declares unresolved). Residual 128 unmapped are genuine one-offs (garrison capacities, artillery ranges). **TWO PARSER BUGS FOUND BY A 21.49:1 ROOM ASPECT RATIO**: (a) OCR-mangled fractions with a bracketed expansion ('21^ ft. (21 1/2 ft.)') fell through to the prose fallback and returned 0.61 m = exactly 2 ft - a PLAUSIBLE number, the worst kind of wrong; (b) spelled-out units ('47 feet 3 inches') silently DROPPED the inches because the pattern only accepted ft/in. TRIPLES: derive from internal_* ONLY - 27 loose became 12 strict; Westminster Hall's 17 m 'length' was 'length of arbaletriers and chevrons'. Median hall aspect ratio 1.90 (range 1.15-3.70), heights 2.8-24.4 m.
english_domestic_shelf	gri_33125010766489 + growthofenglishh00gotc + someaccountofdom00turn + someaccountofdom00park_0 + someaccountofdom02park	—	125	Garner & Stratton p.108 (spot-check)	English hall dimensions, L x W x H triples	letterpress	yes	VERIFIED	https://archive.org/download/gri_33125010766489/page/n125_w1600.jpg	CYCLE 39: 351 rows -> english_hall_dimensions_v1.tsv (76% metric, 28 ocr-uncertain) from five books mined in parallel with independent re-reads. 23 buildings with a FULL length x width x height triple - the thing no other source in the corpus gives (Hampton Court great hall 32.3 x 12.2 x 12.5 m; New Hall Boreham 29.3 x 15.2 x 12.2; Great Chalfield 12.2 x 6.1 x 6.1). Manor great halls cluster at length 29-55 ft, width 19-26 ft, ratio 1.4-2.3:1. **THE SILL RULE - TWO REGIMES IN ONE ROOM**: ordinary hall side-window sills 7-8 ft above the floor (Hoghton Tower 7 ft; Parnham 'only reached to about 8 feet from the floor') = unreachable without furniture; the dais oriel/bay sill 'brought down' near floor level = walk-through. Documented, not inferred. Gotch gives Norman keep walls 'seldom less than 8 ft, and sometimes as much as 16 or 20 ft' + keep plans (White Tower 118x107, Dover 90 sq, Rochester 70 sq, Kenilworth 87x54, Peak 40x36). NEGATIVE RESULT: Garner & Stratton v1 contains NO numeric wall thickness at all - every leaf searched for a number within 80 chars of 'thick'; only brick sizes returned. PAGE VERIFIED AT FULL RESOLUTION: image n125 = printed p.108, and OCR leaf 125 holds that page's body - which pins the iabook alignment rule (len(pageindex)==imagecount -> leaf N IS image N; when they differ the offset drifts, per cycle 38). NOTE: 72 'errors' reported by the verify pass were an artefact of MY workflow bug - a `|| BOOKS[0]` fallback handed every verifier the wrong book as context; all five miners' quotes check out in their own books.
gwilt_encyclopaedia	encyclopaediaofa00gwil	—	689	STAIRS (printed p.668)	tread/riser pairing table + stair proportion rules	letterpress table	yes	VERIFIED	https://archive.org/download/encyclopaediaofa00gwil/page/n689_w1600.jpg	CYCLE 38 (inspected at full resolution, 2402x4078): NEWLAND'S PAIRING TABLE verified against the page - tread 5/6/7/8/9/10/11/12/13/14 in pairs with riser 9/8.5/8/7.5/7/6.5/6/5.5/5/4.5 in; pitch range 60.9 to 17.8 deg. OCR mangles it to '9 8^ 8 H 7 6 H 5 (box)ih' - unreadable without the image. **THE SAME PAGE CARRIES A SECOND, INCOMPATIBLE RULE**: para 2177's constant product tread x riser = 66. Newland's products run 45 -> 66 -> 63, equalling 66 only at treads 11-12 where Gwilt derived it; at a 5 in tread the product rule demands a 13.2 in riser (69 deg pitch) against the table's 9 in - 47% out. USE THE TABLE. Also p.668: commonest tread 10 in, best 12-18 in; staircase >= 4 ft for two to pass; six solid steps from a 30 in log. PALLADIO (paras 2804-05, printed p.928) IS IN VICENTINE UNITS - Vicentine foot = 13.6 English inches = 0.3454 m, so his 4-6 inch riser is 115-173 mm NOT 102-152 mm, a 13% error; same trap shape as Scala's Roman foot in cycle 37. 27 rows -> stair_rules_v1.tsv. TOOLING TRAP: the OCR leaf index is NOT the image index and the offset DRIFTS (OCR 692 -> image n689, offset 3; OCR 696 -> image n692, offset 4) - cannot be computed from len(pageindex)-imagecount; identify pages by reading the printed number off the image.
