family	source	accession	title	date	culture	medium_technique	measurements	highlight	image_url	object_url	license
portals_doorways	met	32.147	Doorway from Moutiers-Saint-Jean	ca. 1250	French	White oolitic limestone with traces of paint		1	https://images.metmuseum.org/CRDImages/cl/web-large/DP-30252-001.jpg	https://www.metmuseum.org/art/collection/search/470313	CC0/PD
portals_doorways	met	47.100.45a–g	Doorway from the Church of San Nicolò, San Gemini	carved 1000s, assembled 1100s or 1200s	Central Italian	Marble (Lunense marble from Carrara)		1	https://images.metmuseum.org/CRDImages/md/web-large/DP212404.jpg	https://www.metmuseum.org/art/collection/search/468207	CC0/PD
portals_doorways	met	62.189	Portal from the Church of San Leonardo al Frigido	ca. 1175	Italian	Marble (Carrara marble)		1	https://images.metmuseum.org/CRDImages/cl/web-large/DP132217.jpg	https://www.metmuseum.org/art/collection/search/471911	CC0/PD
portals_doorways	cma	1915.69	Hollow Tile:  Lintel from Tomb-Chamber Doorway	100–200 CE	China, Han dynasty (202 BCE–220 CE)	earthenware, die-stamped relief	Overall: 137.2 cm (54 in.)	0	https://openaccess-cdn.clevelandart.org/1915.69/1915.69_web.jpg	https://clevelandart.org/art/1915.69	CC0/PD
portals_doorways	cma	1978.56	Head of an Apostle from the South Portal of the Cathedral of Thérouanne	c. 1235–1240	Northern France (Pas-de-Calais), Thérouanne, 13th century	oolitic limestone	Overall: 41.9 x 30.4 x 32.4 cm (16 1/2 x 11 15/16 x 12 3/4 in.)	0	https://openaccess-cdn.clevelandart.org/1978.56/1978.56_web.jpg	https://clevelandart.org/art/1978.56	CC0/PD
capitals_columns	met	26.59.1	Marble column from the Temple of Artemis at Sardis	ca. 300 BCE	Greek	Marble		1	https://images.metmuseum.org/CRDImages/gr/web-large/DP144130.jpg	https://www.metmuseum.org/art/collection/search/252453	CC0/PD
capitals_columns	cma	1968.35	Fragment of a Double Capital: Mary and Martha at the Raising of Lazarus	1145–1165	Southwest France, Ariège, region of Foix, mid-12th century	quartz sandstone with traces of polychromy	Overall: 30.2 x 22.9 x 17.2 cm (11 7/8 x 9 x 6 3/4 in.)	0	https://openaccess-cdn.clevelandart.org/1968.35/1968.35_web.jpg	https://clevelandart.org/art/1968.35	CC0/PD
capitals_columns	cma	1955.556	Fragment of a Capital with Scenes from Mary’s Infancy	early 1100s	South Italy, Apulia, early 12th Century	fine-grained limestone	without base: 26.7 x 33 x 22.9 cm (10 1/2 x 13 x 9 in.)	0	https://openaccess-cdn.clevelandart.org/1955.556/1955.556_web.jpg	https://clevelandart.org/art/1955.556	CC0/PD
capitals_columns	cma	1914.617	Votive Palm Column Capital	30 BCE–395 CE	Egypt, Greco-Roman period (332 BCE–395 CE), Roman empire (30 BCE–395 CE)(?)	pale turquoise faience	Diameter: 9.1 cm (3 9/16 in.); Overall: 10 cm (3 15/16 in.)	0	https://openaccess-cdn.clevelandart.org/1914.617/1914.617_web.jpg	https://clevelandart.org/art/1914.617	CC0/PD
capitals_columns	cma	1963.477	Engaged Capital with a Supporting (Caryatidal) Figure Flanked by Lions	c. 1125–1150	Western France, Vendée or Angoulême?, 12th century	limestone	Overall: 34.3 x 47 x 34.3 cm (13 1/2 x 18 1/2 x 13 1/2 in.)	0	https://openaccess-cdn.clevelandart.org/1963.477/1963.477_web.jpg	https://clevelandart.org/art/1963.477	CC0/PD
