family	source	accession	title	date	culture	medium_technique	measurements	highlight	image_url	object_url	license
helmets_european	met	1983.413	Helmet (Sallet)	late 15th–early 16th century	Spanish, possibly Granada	Steel, iron, gold, silver, cloisonné enamel, leather, textile		1	https://images.metmuseum.org/CRDImages/aa/web-large/DP160368.jpg	https://www.metmuseum.org/art/collection/search/24900	CC0/PD
helmets_european	met	23.141	Sallet in the Shape of a Lion's Head	ca. 1475–80	Italian	Steel, copper, gold, glass, pigment, textile		1	https://images.metmuseum.org/CRDImages/aa/web-large/DP237081.jpg	https://www.metmuseum.org/art/collection/search/22860	CC0/PD
helmets_european	met	17.190.1720	Burgonet	dated 1543	Italian, Milan	Steel, gold, textile		1	https://images.metmuseum.org/CRDImages/aa/web-large/DP-12880-022.jpg	https://www.metmuseum.org/art/collection/search/22634	CC0/PD
helmets_european	met	42.50.2	Armet	ca. 1440	Italian, probably Milan	Steel, copper alloy		1	https://images.metmuseum.org/CRDImages/aa/web-large/DP160171.jpg	https://www.metmuseum.org/art/collection/search/24686	CC0/PD
helmets_european	met	04.3.217; 22.140	Burgonet with Falling Buffe	ca. 1550	French	Steel, gold		1	https://images.metmuseum.org/CRDImages/aa/web-large/DP273710.jpg	https://www.metmuseum.org/art/collection/search/27791	CC0/PD
helmets_european	cma	1916.1531	Close Helmet, from a Small Garniture, perhaps for Siegmund Friedrich, Freiherr von Herbertstein (d. 1621)	c. 1580	Germany, possibly Augsburg	steel, etched and gilded, brass rivets	Overall: 40 x 35.5 x 23 cm (15 3/4 x 14 x 9 1/16 in.)	0	https://openaccess-cdn.clevelandart.org/1916.1531/1916.1531_web.jpg	https://clevelandart.org/art/1916.1531	CC0/PD
helmets_european	cma	1919.57	Black and White Morion (of Munich Town Guard)	c. 1575–1600	Germany, late 16th Century	steel, roped edge, decorative brass rivet washers as rosettes; black paint	Overall: 25.4 x 36.2 x 23.2 cm (10 x 14 1/4 x 9 1/8 in.)	0	https://openaccess-cdn.clevelandart.org/1919.57/1919.57_web.jpg	https://clevelandart.org/art/1919.57	CC0/PD
helmets_european	cma	2012.37.a	Cuirassier's Armor: Helmet	c. 1600–20	Austria, Graz(?), early 17th century	steel (originally blued, now black); leather straps	Overall: 171.4 cm (67 1/2 in.)	0	https://openaccess-cdn.clevelandart.org/2012.37.a/2012.37.a_web.jpg	https://clevelandart.org/art/2012.37.a	CC0/PD
helmets_european	cma	1916.1816.a	Close Helmet	c. 1575	North Italy, Brescia (?), 16th century	steel with etched decorative bands and roundels	Overall: 29.5 x 28.5 x 23 cm (11 5/8 x 11 1/4 x 9 1/16 in.)	0	https://openaccess-cdn.clevelandart.org/1916.1816.a/1916.1816.a_web.jpg	https://clevelandart.org/art/1916.1816.a	CC0/PD
helmets_eastern	met	02.5.6	Helmet (Kulah Khud)	18th century	Persian	Steel, gold, velvet, brass, pigment, varnish		0	https://images.metmuseum.org/CRDImages/aa/web-large/02.5.6_007mar2015.jpg	https://www.metmuseum.org/art/collection/search/25044	CC0/PD
helmets_eastern	met	04.3.460	Turban Helmet	late 15th century–1st quarter 16th century	Turkish, possibly Istanbul, in the style of Turkman armor	Steel, iron, gold, silver, copper alloy		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP147295.jpg	https://www.metmuseum.org/art/collection/search/22013	CC0/PD
helmets_eastern	met	36.25.16	Helmet (Kulah Khud)	18th–19th century	Persian	Steel, gold		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP338495.jpg	https://www.metmuseum.org/art/collection/search/32084	CC0/PD
