family	source	accession	title	date	culture	medium_technique	measurements	highlight	image_url	object_url	license
treasure_covers	met	BV4844 .B44 1737	Book cover	mid-18th century	German, Augsburg	Silver, remains of gilding		1	https://images.metmuseum.org/CRDImages/li/web-large/DP-34852-005.jpg	https://www.metmuseum.org/art/collection/search/232216	CC0/PD
treasure_covers	met	17.190.38	Plaque with Agnus Dei on a Cross between Emblems of the Four Evangelists	1000–1050	South Italian	Elephant ivory		1	https://images.metmuseum.org/CRDImages/md/web-large/DT142.jpg	https://www.metmuseum.org/art/collection/search/464360	CC0/PD
treasure_covers	cma	1930.741	Book-Shaped Reliquary	c. 1000	Ivory:  Ottonian, Lorrain; Frame: Germany, Lower Saxony, Brunswick, Gothic period, 14th century	ivory, silver: gilded, pearls, rubies, emeralds, crystals, onyx, carnelian, oak	Overall: 31.6 x 24.4 x 7.5 cm (12 7/16 x 9 5/8 x 2 15/16 in.); Part 1: 17.8 x 14 cm (7 x 5 1/2 in.)	0	https://openaccess-cdn.clevelandart.org/1930.741/1930.741_web.jpg	https://clevelandart.org/art/1930.741	CC0/PD
treasure_covers	cma	1944.495	Bookbinding for a Qur'an	1460–1500	Turkey, Istanbul, Ottoman period, 15th century	leather over paper pasteboards; outer cover tooled, blue paint; inner covers openwork designs over colored papers	Overall: 36 x 81.6 cm (14 3/16 x 32 1/8 in.)	0	https://openaccess-cdn.clevelandart.org/1944.495/1944.495_web.jpg	https://clevelandart.org/art/1944.495	CC0/PD
treasure_covers	cma	1952.109	Front Cover for a Gospel Book of French Cardinal Jean La Balou (1421-1491)	c. 1467–68	Italy, Florence	nielloed silver plaques within gilt-silver borders	Overall: 41.6 x 29.6 x 1.6 cm (16 3/8 x 11 5/8 x 5/8 in.)	0	https://openaccess-cdn.clevelandart.org/1952.109/1952.109_web.jpg	https://clevelandart.org/art/1952.109	CC0/PD
treasure_covers	cma	1985.375.a	Textile Cover for Shazanrō Picture Book	1816	Japan, Edo period (1615–1868)	Woodblock-printed book; ink and color on paper	Book: 28.6 x 38.2 cm (11 1/4 x 15 1/16 in.); Book page: 28 x 18.5 cm (11 x 7 5/16 in.)	0	https://openaccess-cdn.clevelandart.org/1985.375.a/1985.375.a_web.jpg	https://clevelandart.org/art/1985.375.a	CC0/PD
treasure_covers	met	41.100.168	Plaque with Christ in Majesty and the Four Evangelists	1000–1100	Ottonian	Tempera, ink, and metal leaf on parchment; leather, leather binding with ivory		0	https://images.metmuseum.org/CRDImages/md/web-large/sf41-100-168s1.jpg	https://www.metmuseum.org/art/collection/search/467741	CC0/PD
treasure_covers	cma	1949.227.86.a	Bottom Cover for a Buddhist Manuscript (recto)	c. 1700	Sri Lanka, Singhalese, Late 17th century	Gum tempera on wood	Overall: 6.4 cm (2 1/2 in.)	0	https://openaccess-cdn.clevelandart.org/1949.227.86.a/1949.227.86.a_web.jpg	https://clevelandart.org/art/1949.227.86.a	CC0/PD
bindings_codices	met	22.229	Album of Tournaments and Parades in Nuremberg	late 16th–mid-17th century	German, Nuremberg	Pen and ink, watercolor, gold and silver washes; paper bound in gold-tooled leather		1	https://images.metmuseum.org/CRDImages/aa/web-large/DT770.jpg	https://www.metmuseum.org/art/collection/search/25111	CC0/PD
bindings_codices	met	54.1.2	The Hours of Jeanne d'Evreux, Queen of France	ca. 1324–28	French	Grisaille, tempera, and ink on vellum		1	https://images.metmuseum.org/CRDImages/cl/web-large/DP233162.jpg	https://www.metmuseum.org/art/collection/search/470309	CC0/PD
bindings_codices	met	1980.603	Qur'an Manuscript	dated 1268 AH/1851–52 CE		Ink, opaque watercolor, and gold on paper; leather binding		1	https://images.metmuseum.org/CRDImages/is/web-large/1980.603.JPG	https://www.metmuseum.org/art/collection/search/453024	CC0/PD
bindings_codices	met	42.63	Folio from a Qur'an Manuscript	late 13th–early 14th century		Ink, opaque watercolor, and gold on parchment		1	https://images.metmuseum.org/CRDImages/is/web-large/DP238067.jpg	https://www.metmuseum.org/art/collection/search/450486	CC0/PD
bindings_codices	met	29.160.23	Folio from a Qur'an Manuscript	ca. 1180		Ink, opaque watercolor, and gold on paper		1	https://images.metmuseum.org/CRDImages/is/web-large/DT11506.jpg	https://www.metmuseum.org/art/collection/search/448281	CC0/PD
bindings_codices	cma	1952.465	Gospel Book with Evangelist Portraits	c. 1480	Germany, Middle Rhine	ink, tempera, and gold on vellum; original blind stamped leather binding	Codex: 23.7 x 18.4 x 5.4 cm (9 5/16 x 7 1/4 x 2 1/8 in.)	0	https://openaccess-cdn.clevelandart.org/1952.465/1952.465_web.jpg	https://clevelandart.org/art/1952.465	CC0/PD
bindings_codices	cma	1952.465.51.b	Gospel Book with Evangelist Portraits: Saint Mark	c. 1480	Germany, Middle Rhine	ink, tempera, and gold on vellum; original blind stamped leather binding	Codex: 23 x 17 cm (9 1/16 x 6 11/16 in.)	0	https://openaccess-cdn.clevelandart.org/1952.465.51.b/1952.465.51.b_web.jpg	https://clevelandart.org/art/1952.465.51.b	CC0/PD
bindings_codices	cma	1998.124	Book of Hours (Use of Utrecht)	c. 1460–1465	Netherlands, Utrecht, 15th century	ink, tempera, and gold on vellum; binding:  brown Morocco over original wooden boards	Overall: 5.9 x 11.6 cm (2 5/16 x 4 9/16 in.)	0	https://openaccess-cdn.clevelandart.org/1998.124/1998.124_web.jpg	https://clevelandart.org/art/1998.124	CC0/PD
leaves_illumination	cma	1945.169	Royal Reception in a Landscape, right folio from a double-page frontispiece of a Shahnama (Book of Kings) of Firdausi (940–1019 or 1025)	1444	Iran, Shiraz, Timurid period (1370-1501)	opaque watercolor, gold, and silver on paper	Overall: 32.5 x 22.1 cm (12 13/16 x 8 11/16 in.); Recto Image: 27.7 x 10.3 cm (10 7/8 x 4 1/16 in.); Verso image: 26.3 x 20.7 cm (10 3/8 x 8 1/8 in.)	0	https://openaccess-cdn.clevelandart.org/1945.169/1945.169_web.jpg	https://clevelandart.org/art/1945.169	CC0/PD
