family	source	accession	title	date	culture	medium_technique	measurements	highlight	image_url	object_url	license
street_trades	commons	Arti di Bologna, pl. 2	Porter — Facchino	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/0/08/2._Facchino-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:2._Facchino-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 3	Wine porter (back-carried vat) — Brentator da Vino	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/6/62/3._Brentator_da_Vino_-_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:3._Brentator_da_Vino_-_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 4	Tripe seller — Tripparolo	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/b/b4/4._Tripparolo_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:4._Tripparolo_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 5	Pot seller — Pignattaro	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/b/b6/5._Pignattaro_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:5._Pignattaro_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 18	Broom seller — Scopettaro	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/6/69/18._Scopettaro_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:18._Scopettaro_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 21	Pan seller — Padellaro	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/6/66/21._Padellaro_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:21._Padellaro_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 22	Basket seller — Sportarolo	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/b/b6/22._Sportarolo_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:22._Sportarolo_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 26	Locksmith / key-maker — Magnano o Chiavaro	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/a/a4/26._Magnano_o_Chiavaro_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:26._Magnano_o_Chiavaro_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 27	Baker — Fornaro	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/e/e4/27._Fornaro_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:27._Fornaro_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 28	Market gardener (woman) — Hortolana	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/2/2e/28._Hortolana_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:28._Hortolana_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 36	Street musician — Suonatore in Piazza	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/c/c9/36._Suonatore_in_Piazza_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:36._Suonatore_in_Piazza_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 39	Cap maker — Berrettaro	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/6/67/39._Berrettaro_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:39._Berrettaro_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 40	Hay seller — Fienarolo	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/f/f8/40._Fienarolo_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:40._Fienarolo_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 43	Gravedigger — Beccamorto.png	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/f/f9/43._Beccamorto.png	https://commons.wikimedia.org/wiki/File:43._Beccamorto.png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 45	Well cleaner — Netta pozzi	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/5/5e/45._Netta_pozzi_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:45._Netta_pozzi_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 49	Refuse barrow man — Carriolaro da mondezza	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/9/9f/49._Carriolaro_da_mondezza_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:49._Carriolaro_da_mondezza_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 50	Chimney sweep — Spazzacamino	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/b/ba/50._Spazzacamino_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:50._Spazzacamino_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 52	Tooth-puller — Cavadenti	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/d/d9/52._Cavadenti_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:52._Cavadenti_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 53	River-water carter — Carrettiero con acqua di fiume	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/2/2a/53._Carrettiero_con_acqua_di_fiume-_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:53._Carrettiero_con_acqua_di_fiume-_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 58	Miller — Molinaro	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/8/84/58._Molinaro-_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:58._Molinaro-_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Arti di Bologna, pl. 60	Straw-hat maker — Cappellaro di cappelli di paglia	Bologna, 1646	Annibale Carracci (invented), engraved by Simon Guillain	Engraving — a working figure with tools and goods		0	https://upload.wikimedia.org/wikipedia/commons/0/09/60._Cappellaro_di_cappelli_di_paglia-_-_Le_Arti_di_Bologna_%28Annibale_Carracci%29.png	https://commons.wikimedia.org/wiki/File:60._Cappellaro_di_cappelli_di_paglia-_-_Le_Arti_di_Bologna_(Annibale_Carracci).png	CC0/PD
street_trades	commons	Vecellio, Habiti 1590/98	A processional scene in the Piazza di Sam Marco, Venice	1577–1598	Hans Weigel / Cesare Vecellio	Woodcut from a costume book — PERIOD DOCUMENT		0	https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/A_processional_scene_in_the_Piazza_di_Sam_Marco%2C_Venice_Wellcome_L0038408.jpg/960px-A_processional_scene_in_the_Piazza_di_Sam_Marco%2C_Venice_Wellcome_L0038408.jpg	https://commons.wikimedia.org/wiki/File:A_processional_scene_in_the_Piazza_di_Sam_Marco,_Venice_Wellcome_L0038408.jpg	CC0/PD
street_trades	commons	Vecellio, Habiti 1590/98	An Italian 'Contadino', rustic peasant with market goods	1577–1598	Hans Weigel / Cesare Vecellio	Woodcut from a costume book — PERIOD DOCUMENT		0	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/An_Italian_%27Contadino%27%2C_rustic_peasant_with_market_goods_Wellcome_L0038409.jpg/960px-An_Italian_%27Contadino%27%2C_rustic_peasant_with_market_goods_Wellcome_L0038409.jpg	https://commons.wikimedia.org/wiki/File:An_Italian_'Contadino',_rustic_peasant_with_market_goods_Wellcome_L0038409.jpg	CC0/PD
street_trades	commons	Vecellio, Habiti 1590/98	An Italian 'Hortolane', female vegetable trader	1577–1598	Hans Weigel / Cesare Vecellio	Woodcut from a costume book — PERIOD DOCUMENT		0	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/An_Italian_%27Hortolane%27%2C_female_vegetable_trader_Wellcome_L0038415.jpg/960px-An_Italian_%27Hortolane%27%2C_female_vegetable_trader_Wellcome_L0038415.jpg	https://commons.wikimedia.org/wiki/File:An_Italian_'Hortolane',_female_vegetable_trader_Wellcome_L0038415.jpg	CC0/PD
street_cries	commons	Cries series	Bloemenverkoopster Two bunches a penny primroses (titel op object) Straatroepen van Londen (serietitel) Cries 	1793	Rijksmuseum	Print from a street-cries series		0	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Bloemenverkoopster_Two_bunches_a_penny_primroses_%28titel_op_object%29_Straatroepen_van_Londen_%28serietitel%29_Cries_of_London_%28serietitel%29%2C_RP-P-1928-200.jpg/960px-Bloemenverkoopster_Two_bunches_a_penny_primroses_%28titel_op_object%29_Straatroepen_van_Londen_%28serietitel%29_Cries_of_London_%28serietitel%29%2C_RP-P-1928-200.jpg	https://commons.wikimedia.org/wiki/File:Bloemenverkoopster_Two_bunches_a_penny_primroses_(titel_op_object)_Straatroepen_van_Londen_(serietitel)_Cries_of_London_(serietitel),_RP-P-1928-200.jpg	CC0/PD
street_cries	commons	Cries series	Bodleian Libraries, Cries of London	1802	Robert Laurie and James Whittle [author]	Print from a street-cries series		0	https://upload.wikimedia.org/wikipedia/commons/1/10/Bodleian_Libraries%2C_Cries_of_London.jpg	https://commons.wikimedia.org/wiki/File:Bodleian_Libraries,_Cries_of_London.jpg	CC0/PD
street_cries	commons	Cries series	Cries of London LCCN95505833	1797	British Cartoon Prints Collection	Print from a street-cries series		0	https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Cries_of_London_LCCN95505833.jpg/960px-Cries_of_London_LCCN95505833.jpg	https://commons.wikimedia.org/wiki/File:Cries_of_London_LCCN95505833.jpg	CC0/PD
street_cries	commons	Cries series	Cries of London LCCN95507961	1797	British Cartoon Prints Collection	Print from a street-cries series		0	https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Cries_of_London_LCCN95507961.jpg/960px-Cries_of_London_LCCN95507961.jpg	https://commons.wikimedia.org/wiki/File:Cries_of_London_LCCN95507961.jpg	CC0/PD
street_cries	commons	Cries series	Cries of London LCCN95507965	1797	Forms part of British Cartoon Prints Collection	Print from a street-cries series		0	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Cries_of_London_LCCN95507965.jpg/960px-Cries_of_London_LCCN95507965.jpg	https://commons.wikimedia.org/wiki/File:Cries_of_London_LCCN95507965.jpg	CC0/PD
street_cries	commons	Cries series	Cries of london plate11 by CARDON, ANTHONY (ANTOINE) - GMII	1796	Anthony Cardon	Print from a street-cries series		0	https://upload.wikimedia.org/wikipedia/commons/2/2c/Cries_of_london_plate11_by_CARDON%2C_ANTHONY_%28ANTOINE%29_-_GMII.jpg	https://commons.wikimedia.org/wiki/File:Cries_of_london_plate11_by_CARDON,_ANTHONY_(ANTOINE)_-_GMII.jpg	CC0/PD
