ia_id	source	building	place	period	element	value	unit	value_m	leaf	printed_page	evidence	verified_full_res	quote
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — hall	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	internal length	35 ft	ft	10.668	n164	130	documentary-survey	yes	consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The "house" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — hall	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	internal breadth	30 ft	ft	9.144	n164	130	documentary-survey	yes	consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The "house" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — hall	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	height, floor to ridge-tree	22 ft	ft	6.706	n164	130	documentary-survey	yes	consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The "house" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — hall	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	height, floor to tie-beams	11 ft	ft	3.353	n164	130	documentary-survey	yes	consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The "house" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — hall	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	height, tie-beams to ridge-tree	11 ft	ft	3.353	n164	130	documentary-survey	yes	consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The "house" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — "house" (domus, the entry between hall and bower)	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	internal length	12 ft	ft	3.658	n164	130	documentary-survey	yes	consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The "house" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — "house" (domus, the entry between hall and bower)	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	internal breadth	17 ft	ft	5.182	n164	130	documentary-survey	yes	consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The "house" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — "house" (domus, the entry between hall and bower)	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	height, floor to ridge-tree	17 ft	ft	5.182	n164	130	documentary-survey	yes	consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The "house" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — "house" (domus, the entry between hall and bower)	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	height, floor to tie-beams	10 ft	ft	3.048	n164	130	documentary-survey	yes	consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The "house" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — "house" (domus, the entry between hall and bower)	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	height, tie-beams to ridge-tree	7 ft	ft	2.134	n164	130	documentary-survey	yes	consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The "house" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]
