family	building_type	element	value_original	unit_original	value_m	parse	confidence	source	quote
tower	round flanking tower (Carcassonne, inner enceinte, south front)	tower external diameter, measured above the talus	6.00	m	6.000	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Meurtrière"", fig. 3"	Au-dessus de l’empattement ou talus, cette tour ayant 6 m ,00 de diamètre et ses murs 1 m , 20, à 2 m ,20 environ de la circonférence AB , on a tracé l’arc de cercle CD
tower	round flanking tower (Carcassonne, inner enceinte, south front)	wall thickness, at the three loop-pierced storeys above the talus	1.20	m	1.200	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Meurtrière"", fig. 3"	Au-dessus de l’empattement ou talus, cette tour ayant 6 m ,00 de diamètre et ses murs 1 m , 20, à 2 m ,20 environ de la circonférence AB , on a tracé l’arc de cercle CD
tower	round flanking tower (Carcassonne, inner enceinte, south front)	storey count: three floors plus the crenellated stage	3 storeys + 1 crenellated stage	count		non-length (count)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Meurtrière"", fig. 3"	Voici ( 3 ) le tracé d’une tour à trois étages, plus l’étage crénelé, comme la plupart de celles qui flanquent l’enceinte intérieure de la cité de Carcassonne , du côté méridional.
tower	round flanking tower — arrow-loop setting-out	radius offset of the setting-out arc CD inside the tower circumference (step 1 of the loop-layout rule)	2.20	m	2.200	m	author-rule	"Viollet-le-Duc, Dictionnaire raisonné, ""Meurtrière"", fig. 3"	à 2 m ,20 environ de la circonférence AB , on a tracé l’arc de cercle CD ; divisant cet arc de cercle en 16 parties égales, oe , ef , fg , gh , etc.
tower	round flanking tower — arrow-loop setting-out	divisions: setting-out arc CD into 16 equal parts, tower outer circumference into 8 equal parts (steps 2-3 of the loop-layout rule)	16 / 8	count		non-length (count)	author-rule	"Viollet-le-Duc, Dictionnaire raisonné, ""Meurtrière"", fig. 3"	divisant cet arc de cercle en 16 parties égales, oe , ef , fg , gh , etc. ; prenant sur le parement de la tour les points p à 0 m ,30 du parement de la courtine, on a divisé la circonférence externe de cette tour en 8 parties égales.
tower	round flanking tower — arrow-loop setting-out	offset of sight-line origin points p from the curtain face (step 4 of the loop-layout rule)	0.30	m	0.300	m	author-rule	"Viollet-le-Duc, Dictionnaire raisonné, ""Meurtrière"", fig. 3"	prenant sur le parement de la tour les points p à 0 m ,30 du parement de la courtine, on a divisé la circonférence externe de cette tour en 8 parties égales.
tower	round flanking tower — arrow-loop setting-out	loop distribution across storeys: ground floor a, first floor b, third floor c; each curtain flanked by three loops, two stacked plus one set forward	3 loops per curtain flank, doubled in height	count		non-length (count)	author-rule	"Viollet-le-Duc, Dictionnaire raisonné, ""Meurtrière"", fig. 3"	Ces lignes ont donné les ouvertures des meurtrières percées dans les trois étages ; les meurtrières a appartenant au rez-de-chaussée, celles b au premier étage et celles c au troisième ; les meurtrières flanquant les courtines étant ainsi doublées dans la hauteur.
tower	round flanking tower — arrow loop	loops staggered storey to storey (solid over void), never stacked vertically	staggered, pleins sur vides	rule		non-length (rule)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Meurtrière"""	Ces meurtrières, percées dans les tours, se chevauchent, c’est-à-dire qu’elles ne sont pas placées les unes au-dessus des autres, mais pleins sur vides, afin de découvrir tous les points de la circonférence.
tower	tower / curtain arrow loop (Carcassonne château, early XIIc)	residual wall thickness at the loop, after the interior barrel-vaulted niche is cut	0.70	m	0.700	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Meurtrière"", fig. 1"	Le mur, réduit à une épaisseur de 0 m ,70 par la construction de la niche, est percé d’une ouverture évasée à l’intérieur et très-étroite à l’extérieur, afin de découvrir le dehors suivant un angle de 35º.
tower	tower / curtain arrow loop (Carcassonne château, early XIIc)	horizontal field of fire of the splayed loop	35	deg		non-length (deg)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Meurtrière"", fig. 1"	Le mur, réduit à une épaisseur de 0 m ,70 par la construction de la niche, est percé d’une ouverture évasée à l’intérieur et très-étroite à l’extérieur, afin de découvrir le dehors suivant un angle de 35º.
tower	tower / curtain arrow loop (Carcassonne château, early XIIc)	clear width of the external slit (rainure)	0.06	m	0.060	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Meurtrière"", fig. 1 detail C"	Afin de donner plus de champ à l’angle du tir, la partie inférieure de la rainure, qui n’a que 0 m , 06 d’ouverture, est taillée ainsi que l’indique le détail C
