family	subject	element	value	unit	evidence_class	source_article	french_quote
curtain_rampart	merlon, XIIIc formula	merlon height	2.00	m	author-rule	Créneau	Les merlons ont 2 mètres de haut sur 1 m , 70 au moins, et 3 m , 30 au plus de largeur sur 0,45 c. d’épaisseur
curtain_rampart	merlon, XIIIc formula	merlon width, minimum	1.70	m	author-rule	Créneau	sur 1 m , 70 au moins ... de largeur
curtain_rampart	merlon, XIIIc formula	merlon width, maximum	3.30	m	author-rule	Créneau	et 3 m , 30 au plus de largeur
curtain_rampart	merlon, XIIIc formula	merlon thickness	0.45	m	author-rule	Créneau	sur 0,45 c. d’épaisseur
curtain_rampart	crenel, XIIIc formula	crenel sill height above the wall-walk	1.00	m	author-rule	Créneau	l’appui des créneaux est à 1 mètre du sol du chemin de ronde
curtain_rampart	crenel, XIIIc formula	crenel width	0.70	m	author-rule	Créneau	et leur largeur est de 0,70 c.   [RECOVERED cycle 36 - same sentence as the sill height, dropped on the first pass]
curtain_rampart	crenel, general rule	merlon height	2.00	m	author-rule	Créneau	les merlons ont toujours à peu près deux mètres de hauteur, pour pouvoir garantir complètement les défenseurs
curtain_rampart	crenel, general rule	crenel sill height above the wall-walk	1.00	m	author-rule	Créneau	les appuis des créneaux sont à un mètre du sol du chemin de ronde
curtain_rampart	crenel, general rule	crenel width range	0.70 to 1.00	m	author-rule	Créneau	et leur largeur varie d’un mètre, à soixante-dix centimètres
curtain_rampart	crenellation, sizing principle	crenellation dimensions are set by the human body	n/a	rule	author-rule	Créneau	Les dimensions des crénelages étant données par la taille de l’homme, ces dimensions varient peu
curtain_rampart	Gallo-Roman parapet	parapet thickness	0.50	m	measured	Créneau	percés habituellement dans des parapets d’une épaisseur assez forte, 0,50 c. environ
curtain_rampart	archère in a XIIIc merlon	clear opening	0.07 to 0.08	m	measured	Créneau	en a sont les archères, qui n’ont pas plus de 0,07 c. à 0,08 c. d’ouverture
curtain_rampart	archère in a XIIIc merlon	internal splay (ébrasement)	0.40 to 0.45	m	measured	Créneau	lesquelles ont 0,40 c. à 0,45 c. d’ébrasement
curtain_rampart	crenel under a roof (tour couverte, XIIIc)	wall thickness at the crenellation	0.90	m	measured	Créneau	Les murs ayant 0,90 c. d’épaisseur, les créneaux ont une allège A
curtain_rampart	Béziers transept crenellation (XIIc)	wall-walk floor to above cornice B	1.18	m	measured	Créneau	Du sol du chemin de ronde, au-dessus de la corniche B , il n’y a qu’un mètre dix-huit centimètres de hauteur
curtain_rampart	merlon, measured range	merlon thickness	0.38 to 0.58	m	measured	Chemin de ronde	ayant une épaisseur qui variait de 0,38 c. à 0,58 c. (14 à 21 pouces)
curtain_rampart	machicolation drop-hole	drop-hole square, range	0.33 to 0.40	m	measured	Mâchicoulis	ils forment un carré qui varie de 0,33 c. (1 pied) à 0,40 c. (15 pouces)
curtain_rampart	machicolation logette	slab thickness (three slabs form the jambs and face)	0.20	m	measured	Mâchicoulis	sont construites au moyen de trois dalles de 0,20 c. d’épaisseur ; le chaperon est fait de deux pierres
