family	source	accession	title	date	culture	medium_technique	measurements	highlight	image_url	object_url	license
seating	cma	1918.418	Fragment of Garden Stool with Openwork Design	1200s	Korea, Goryeo dynasty (918–1392)	stoneware with celadon glaze, insiced scroll design, and carved openwork pattern with floral centers	Overall: 27.5 x 20.3 cm (10 13/16 x 8 in.)	0	https://openaccess-cdn.clevelandart.org/1918.418/1918.418_web.jpg	https://clevelandart.org/art/1918.418	CC0/PD
seating	cma	2006.138	Prestige stool (Kuo fo)	possibly 1800s	Africa, Central Africa, Cameroon, Bandjoun Kingdom, Bamileke makers	Wood, cotton, plant fiber, glass beads, and indigo	Overall: 51 x 38 x 43 cm (20 1/16 x 14 15/16 x 16 15/16 in.)	0	https://openaccess-cdn.clevelandart.org/2006.138/2006.138_web.jpg	https://clevelandart.org/art/2006.138	CC0/PD
seating	cma	1985.96	Chair	c. 1907	France, 20th century	pearwood with tooled leather back and seat	Overall: 108 x 45.4 x 50.4 cm (42 1/2 x 17 7/8 x 19 13/16 in.)	0	https://openaccess-cdn.clevelandart.org/1985.96/1985.96_web.jpg	https://clevelandart.org/art/1985.96	CC0/PD
seating	cma	1982.5	Chair	c. 1880	America, New York	ebonized cherry and other woods	Overall: 84.5 x 40.7 x 46 cm (33 1/4 x 16 x 18 1/8 in.)	0	https://openaccess-cdn.clevelandart.org/1982.5/1982.5_web.jpg	https://clevelandart.org/art/1982.5	CC0/PD
seating	cma	2024.140	Ceremonial Chair or Throne (citwamo ca mangu)	1800s	Africa, Central Africa, Angola, Chokwe-style carver	Wood, upholstery studs, leather	Overall: 107 x 55 x 55 cm (42 1/8 x 21 5/8 x 21 5/8 in.)	0	https://openaccess-cdn.clevelandart.org/2024.140/2024.140_web.jpg	https://clevelandart.org/art/2024.140	CC0/PD
seating	met	08.51.10	Side chair	1760–90	American	Mahogany		0	https://images.metmuseum.org/CRDImages/ad/web-large/08_51_10_SideChairBestBest.jpg	https://www.metmuseum.org/art/collection/search/1539	CC0/PD
seating	met	43.160	Side chair	1760–90	American	Mahogany		0	https://images.metmuseum.org/CRDImages/ad/web-large/131815.jpg	https://www.metmuseum.org/art/collection/search/1606	CC0/PD
tables_boards	cma	1958.429	Writing Table with Pine, Bamboo, and Plum	1400s	Japan, Muromachi period (1392–1573)	Lacquered wood with gold and silver sprinkled powder (maki-e) and metal fittings	height: 10.2 cm (4 in.); width: 58.4 cm (23 in.); depth: 36.9 cm (14 1/2 in.)	0	https://openaccess-cdn.clevelandart.org/1958.429/1958.429_web.jpg	https://clevelandart.org/art/1958.429	CC0/PD
tables_boards	cma	2026.4	Hexafoil-Shaped Table with Mother-of-Pearl Inlay	late 1400s–early 1500s	Korea, Joseon dynasty (1392–1910)	Inlaid abalone shells on black lacquer ground, applied with red lacquer on the interior	42.5 x 26.4 x 20.6 cm (16 3/4 x 10 3/8 x 8 1/8 in.)	0	https://openaccess-cdn.clevelandart.org/2026.4/2026.4_web.jpg	https://clevelandart.org/art/2026.4	CC0/PD
tables_boards	met	10.125.701	Trestle Table	1640–90	American	Yellow pine, oak		0	https://images.metmuseum.org/CRDImages/ad/web-large/85W_ACF3138R6.jpg	https://www.metmuseum.org/art/collection/search/8810	CC0/PD
tables_boards	met	34.100.13	Trestle Table	1740–80	American	Walnut		0	https://images.metmuseum.org/CRDImages/ad/web-large/97132.jpg	https://www.metmuseum.org/art/collection/search/8812	CC0/PD
tables_boards	met	34.100.15	Trestle Table	1740–80	American	Walnut, oak		0	https://images.metmuseum.org/CRDImages/ad/web-large/97190.jpg	https://www.metmuseum.org/art/collection/search/8813	CC0/PD
tables_boards	met	52.77.59	Trestle Table	1700–1725	American	Maple, pine		0	https://images.metmuseum.org/CRDImages/ad/web-large/85F_ACF256R4.jpg	https://www.metmuseum.org/art/collection/search/8814	CC0/PD
case_furniture	met	1989.197	Cabinet	1867		Oak veneered with cedar, walnut, ebony and ivory; silvered-bronze mounts		1	https://images.metmuseum.org/CRDImages/es/web-large/DP105723.jpg	https://www.metmuseum.org/art/collection/search/207797	CC0/PD
