family	source	accession	title	date	culture	medium_technique	measurements	highlight	image_url	object_url	license
plucked_strings	met	1984.225	Guitar	late 17th century	Italian	Spruce, ebony, fruitwood, bone, ivory, mother-of-pearl, parchment		1	https://images.metmuseum.org/CRDImages/mi/web-large/DT1109a.jpg	https://www.metmuseum.org/art/collection/search/503155	CC0/PD
plucked_strings	met	69.29	Guitar	ca. 1800	Italian	Spruce, ebony, ivory, tortoiseshell, mother-of-pearl, brass		1	https://images.metmuseum.org/CRDImages/mi/web-large/DP217184.jpg	https://www.metmuseum.org/art/collection/search/503932	CC0/PD
plucked_strings	met	1985.124	Cittern	ca. 1685	German	Cypress, ivory, ebony, parchment, brass		1	https://images.metmuseum.org/CRDImages/mi/web-large/DP302551.jpg	https://www.metmuseum.org/art/collection/search/504210	CC0/PD
plucked_strings	met	50.145.74	Pipa (琵琶 )	late 16th–early 17th century	Chinese	Wood, ivory, bone, silk		1	https://images.metmuseum.org/CRDImages/mi/web-large/DP319739.jpg	https://www.metmuseum.org/art/collection/search/503651	CC0/PD
plucked_strings	cma	1918.362	Lute	c. 1550	Italy, Venice	wood, laminated parchment?, sound hole, bone, ebonized wood, and mother of pearl inlay	Overall: 91.5 x 34 cm (36 x 13 3/8 in.)	0	https://openaccess-cdn.clevelandart.org/1918.362/1918.362_web.jpg	https://clevelandart.org/art/1918.362	CC0/PD
plucked_strings	met	89.4.54	Pipa (琵琶 )	19th century	Chinese	Wood, lacquer, bamboo, composition, mother-of-pearl		0	https://images.metmuseum.org/CRDImages/mi/web-large/202422.jpg	https://www.metmuseum.org/art/collection/search/500627	CC0/PD
plucked_strings	met	1982.241.2	Cittern	1772	French	Maple, spruce, ebony, ivory, mother-of-pearl, brass		0	https://images.metmuseum.org/CRDImages/mi/web-large/231782.jpg	https://www.metmuseum.org/art/collection/search/504251	CC0/PD
plucked_strings	met	1994.63	Sitar	18th century	Indian	Gourds, paint, wood, various materials		0	https://images.metmuseum.org/CRDImages/mi/web-large/259651.jpg	https://www.metmuseum.org/art/collection/search/503453	CC0/PD
plucked_strings	met	68.62.1	Satsuma Biwa (薩摩琵琶)	ca. 1800	Japanese	Wood, mother-of-pearl and ivory		0	https://images.metmuseum.org/CRDImages/mi/web-large/189128.jpg	https://www.metmuseum.org/art/collection/search/503051	CC0/PD
plucked_strings	met	89.2.157	Lute	1596	German	Rosewood, ivory, wood, ebony		0	https://images.metmuseum.org/CRDImages/mi/web-large/DT202030.jpg	https://www.metmuseum.org/art/collection/search/500554	CC0/PD
bowed_strings	met	34.86.2a	"""Francesca"" Violin"	1694	Italian (Cremona)	Maple, spruce, ebony, mother of pearl		1	https://images.metmuseum.org/CRDImages/mi/web-large/DP167848.jpg	https://www.metmuseum.org/art/collection/search/503010	CC0/PD
bowed_strings	met	1999.26	"ex ""Kurtz"" Violin"	ca. 1560	Italian (Cremona)	Spruce, maple, ebony, paint, gilding		1	https://images.metmuseum.org/CRDImages/mi/web-large/DP302645.jpg	https://www.metmuseum.org/art/collection/search/503517	CC0/PD
bowed_strings	met	55.86a–c	"""Gould"" Violin"	1693	Italian (Cremona)	Maple, spruce, ebony		1	https://images.metmuseum.org/CRDImages/mi/web-large/DT669.jpg	https://www.metmuseum.org/art/collection/search/503045	CC0/PD
bowed_strings	met	1992.333	Violin	ca. 1685	German	Spruce, maple		1	https://images.metmuseum.org/CRDImages/mi/web-large/DP163308.jpg	https://www.metmuseum.org/art/collection/search/503443	CC0/PD
bowed_strings	met	89.4.407	Rebāb	19th century	Possibly Algerian	wood, brass, mother-of-pearl, gut, leather, bone, lace		0	https://images.metmuseum.org/CRDImages/mi/web-large/midp89.4.407.jpg	https://www.metmuseum.org/art/collection/search/501025	CC0/PD
bowed_strings	met	89.4.388a, b	Rebab al-sha'ir ('poet's fiddle')	late 19th century	Syrian	Wood, parchment, horsehair.		0	https://images.metmuseum.org/CRDImages/mi/web-large/MUS252A (1).jpg	https://www.metmuseum.org/art/collection/search/501009	CC0/PD
wheel_and_keys	met	89.4.1778	Rectangular Octave Virginal	ca. 1600	German	Ebony, beech, brass, leather, paper, parchment, ivory		1	https://images.metmuseum.org/CRDImages/mi/web-large/DT10869.jpg	https://www.metmuseum.org/art/collection/search/502325	CC0/PD
wheel_and_keys	met	89.4.2929a–e	Harpsichord	ca. 1670	Italian (Roman)	Wood, gilt, ebony, ivory, parchment		1	https://images.metmuseum.org/CRDImages/mi/web-large/DP204706a.jpg	https://www.metmuseum.org/art/collection/search/502377	CC0/PD
wheel_and_keys	met	45.41a-c	Harpsichord	late 17th century	Italian	Wood, paint, various materials		1	https://images.metmuseum.org/CRDImages/mi/web-large/DP225544.jpg	https://www.metmuseum.org/art/collection/search/503625	CC0/PD
wheel_and_keys	met	53.6a, b	Virginal	1540	Italian	Wood, parchment, ivory, paint		1	https://images.metmuseum.org/CRDImages/mi/web-large/DP302662.jpg	https://www.metmuseum.org/art/collection/search/503043	CC0/PD
wheel_and_keys	met	29.90	Double Virginal	1581	Flemish	Pine, beech, poplar, mahogany, paint, gesso, metal, parchment, brass		0	https://images.metmuseum.org/CRDImages/mi/web-large/DP302659.jpg	https://www.metmuseum.org/art/collection/search/503676	CC0/PD
wheel_and_keys	met	44.157.8a–e	Harpsichord converted to a piano	1754	French	Wood, paint, gilding, polychrome, gilded pewter, ebony, bone, felt		0	https://images.metmuseum.org/CRDImages/mi/web-large/DP225543.jpg	https://www.metmuseum.org/art/collection/search/503901	CC0/PD
harps_zithers	met	2007.194a–f	Koto (箏)	early 17th century	Japanese	Various woods, ivory and tortoiseshell inlays, gold and silver inlays, metalwork, cloth, laquer, paper,		1	https://images.metmuseum.org/CRDImages/mi/web-large/DP148476.jpg	https://www.metmuseum.org/art/collection/search/505626	CC0/PD
harps_zithers	met	89.4.926	Ennanga	19th century	Ganda people	Wood, vegetal fiber, snake skin, hide		1	https://images.metmuseum.org/CRDImages/mi/web-large/mi89.4.926.AV1.jpg	https://www.metmuseum.org/art/collection/search/501536	CC0/PD
harps_zithers	cma	1918.359	Koto (Zither)	early to mid-1800s	Japan, Edo period (1615–1868)	Wood with colored lacquer, sprinkled gold powder (maki-e), textile, and silk strings	Overall: 117.8 cm (46 3/8 in.); Widest end: 23.8 cm (9 3/8 in.)	0	https://openaccess-cdn.clevelandart.org/1918.359/1918.359_web.jpg	https://clevelandart.org/art/1918.359	CC0/PD
