axis	value	evidence	note
base form	TRIPLE STRAP: centre straight, two lateral curved like the horns of a crescent	stated p.47	The author's own type-definition. 'One of the most resisting, and therefore prevalent forms, appears to have been a triple strap, the centre straight, and the lateral curved like the horns of a crescent.'
why that form	security	stated p.47	All three straps spring from BEHIND the stonework when the door is closed, 'made it particularly difficult to wrench off'. Function drives the form; the triple count was ALSO read as symbolic.
variation axis 1	extra crescents sprung from or butted onto the central strap	stated p.47	'Sometimes one or two additional crescents spring from the central strap, or are butted on to it.'
variation axis 2 = THE DATING AXIS	the terminals	stated p.47	'The ends of these straps are often beaten into scrolls and foliage, WHOSE FASHION IS AN INDICATION OF AGE, WHICH THE FORM ALONE FAILS TO CONVEY.' So date the hinge by its terminal, not its silhouette.
terminal types	rudimentary leaves / dragons' heads in high relief / profile heads with distended jaws / 'a usual Frankish tongue between two scrolls'	stated p.57, p.63	Named terminal vocabulary. The Frankish-tongue-between-two-scrolls is the Montreal type.
earliest dated type	crescent hinge with split and scrolled ends, very early 11th c.	stated p.47	Evidenced by a Saxon carving from Selsey, now in Chichester Cathedral - a CARVING used to date ironwork.
dated examples	c.1160 and c.1190	stated p.57	The two St Albans-related doors, giving hard anchors for the scrolled-terminal style.
sub-style: detached pieces	small detached crescents and straps, much piercing, arranged in patterns	stated p.62	Finest at Pontigny (fig 25); spread to Montreal, Chablis, Cologne (St Ursula); densest in Aquitaine and Auvergne. On cathedral doors of Angers the pieces are placed in RANDOM patterns.
sub-style: band-and-circle	three bands per door, each a crescent plus a circle of BROAD IRON WITH UPTURNED EDGES enclosing filigree	stated p.63	Montreal, Yonne (fig 26). Explicitly compared to 'contemporary goldsmiths' work'. Reappears near Brunswick a century later.
13th-c. foliage technique	lobes of the leaves SUNK; larger veins and the periphery RAISED; stems usually GROOVED	stated p.78	A precise surface spec for foliate ironwork, from the Rouen/Noyon vine style. Typical 13th-c. vine, sometimes replaced by a trefoil or cinquefoil vine, always mingled with rosette-like flowers and sometimes fruit (grapes).
production method	stamped work, lavishly used	stated p.79	At St Denis. Matches the Eleanor grille's repeated-unit construction - richness by repetition of forged/stamped elements, not by unique freehand work.
social-context turn	lay (non-monastic) architecture -> simpler, more restrained hinges	stated p.63	Per Viollet-le-Duc, beginning in the Royal Domain. A usable style parameter that is not about date.
