family	source	accession	title	date	culture	medium_technique	measurements	highlight	image_url	object_url	license
candlesticks_candelabra	cma	1974.185	Pricket Candlestick	early 1500s	South Netherlands, Valley of the Meuse, 16th century	brass (hollow cast in three parts) and iron	Overall: 45.5 x 19.6 cm (17 15/16 x 7 11/16 in.)	0	https://openaccess-cdn.clevelandart.org/1974.185/1974.185_web.jpg	https://clevelandart.org/art/1974.185	CC0/PD
candlesticks_candelabra	met	17.190.183	Pricket Candlestick with Birds, Vines, and Leaves	1175–1200	German	Champlevé enamel on gilded copper alloy		0	https://images.metmuseum.org/CRDImages/md/web-large/sf17-190-183s3.jpg	https://www.metmuseum.org/art/collection/search/464140	CC0/PD
candlesticks_candelabra	cma	1942.802	Paschal Candlestick	c. 1525–1550	Northern Italy, possibly Padua, 16th century	bronze	Overall: 123.2 x 41 x 44 cm (48 1/2 x 16 1/8 x 17 5/16 in.)	0	https://openaccess-cdn.clevelandart.org/1942.802/1942.802_web.jpg	https://clevelandart.org/art/1942.802	CC0/PD
candlesticks_candelabra	cma	1961.25	Candlestick Pair	1800s - early 1900s	Italy, 15th century style (possibly 19th-early 20th century)	ivory	Overall: 31.1 cm (12 1/4 in.)	0	https://openaccess-cdn.clevelandart.org/1961.25/1961.25_web.jpg	https://clevelandart.org/art/1961.25	CC0/PD
candlesticks_candelabra	cma	1973.169	Candlesticks	c. 1565	France, Limoges	painted enamel (grisaille) on copper	Overall: 33.6 cm (13 1/4 in.)	0	https://openaccess-cdn.clevelandart.org/1973.169/1973.169_web.jpg	https://clevelandart.org/art/1973.169	CC0/PD
candlesticks_candelabra	cma	1976.159	Candlestick and Bobeche	mid-1800s	America, Pennsylvania, Pittsburgh ?, mid-19th century	glass and detachable pewter bobeche	Overall: 23.1 x 10.2 cm (9 1/8 x 4 in.)	0	https://openaccess-cdn.clevelandart.org/1976.159/1976.159_web.jpg	https://clevelandart.org/art/1976.159	CC0/PD
candlesticks_candelabra	cma	1989.298	Candlesticks	1600s	China, Ming dynasty (1368–1644)	glazed porcelain with metal rims	Overall: 32.4 cm (12 3/4 in.)	0	https://openaccess-cdn.clevelandart.org/1989.298/1989.298_web.jpg	https://clevelandart.org/art/1989.298	CC0/PD
chandeliers	met	67.199a–h	Chandelier	ca. 1845	American	Bronze		0	https://images.metmuseum.org/CRDImages/ad/web-large/189808.jpg	https://www.metmuseum.org/art/collection/search/1970	CC0/PD
chandeliers	met	68.143.5	Chandelier	1868–70	American	Brass		0	https://images.metmuseum.org/CRDImages/ad/web-large/192987.jpg	https://www.metmuseum.org/art/collection/search/3879	CC0/PD
sconces_girandoles	met	1982.215.1	Girandole	1850–60	American	Cased and cut blown and engraved glass, marble		0	https://images.metmuseum.org/CRDImages/ad/web-large/ADA5243.jpg	https://www.metmuseum.org/art/collection/search/3979	CC0/PD
sconces_girandoles	met	1974.363.1	Girandole	1817	American	Gilded gesso, mirror glass with white pine		0	https://images.metmuseum.org/CRDImages/ad/web-large/DP105836.jpg	https://www.metmuseum.org/art/collection/search/3977	CC0/PD
sconces_girandoles	met	34.75.2	Sconce	1810–20	British or Irish	Cut glass, gilt bronze		0	https://images.metmuseum.org/CRDImages/ad/web-large/97092.jpg	https://www.metmuseum.org/art/collection/search/7344	CC0/PD
sconces_girandoles	met	1982.60.64	Wall light (one of a pair)	birds 1662–1722, flowers and mounts ca. 1750		Glazed biscuit Chinese porcelain parrots of K'ang Hsi period; soft-paste Vincennes porcelain flowers; 19th century hard-		0	https://images.metmuseum.org/CRDImages/es/web-large/DT8899.jpg	https://www.metmuseum.org/art/collection/search/206979	CC0/PD
sconces_girandoles	met	64.101.359	Wall light (one of a pair)	ca. 1740		Soft-paste porcelain, gilt bronze		0	https://images.metmuseum.org/CRDImages/es/web-large/193330.jpg	https://www.metmuseum.org/art/collection/search/203267	CC0/PD
sconces_girandoles	met	42.197.3a–e	Sconce	1795–1815		Silver plate on copper		0	https://images.metmuseum.org/CRDImages/ad/web-large/129895.jpg	https://www.metmuseum.org/art/collection/search/7356	CC0/PD
lanterns	met	39.40.87	Lantern for a Lamp	9th–10th century		Earthenware; carved decoration, unglazed		1	https://images.metmuseum.org/CRDImages/is/web-large/DP247349.jpg	https://www.metmuseum.org/art/collection/search/449619	CC0/PD
lanterns	met	1979.479	Hall Lantern	1815–25	American	Blown and cut glass, gilded brass		0	https://images.metmuseum.org/CRDImages/ad/web-large/217997.jpg	https://www.metmuseum.org/art/collection/search/4748	CC0/PD
lanterns	met	1998.27	Lantern	1825–31	American	Blown and engraved glass, tin		0	https://images.metmuseum.org/CRDImages/ad/web-large/DP207371.jpg	https://www.metmuseum.org/art/collection/search/16306	CC0/PD
lanterns	met	89.2.2047	Terracotta lantern	ca. 2nd century CE	Roman, Egyptian	Terracotta		0	https://images.metmuseum.org/CRDImages/gr/web-large/DP121869.jpg	https://www.metmuseum.org/art/collection/search/245514	CC0/PD
oil_lamps	met	10.231.1	Bronze statuette of a philosopher on a lamp stand	late 1st century BCE	Roman	Bronze		1	https://images.metmuseum.org/CRDImages/gr/web-large/DP337221.jpg	https://www.metmuseum.org/art/collection/search/248466	CC0/PD
oil_lamps	met	2009.58	Rothschild lamp	ca. 1510–20		Bronze, on a later wood base		1	https://images.metmuseum.org/CRDImages/es/web-large/DP217107.jpg	https://www.metmuseum.org/art/collection/search/236643	CC0/PD
