source	accession	volume	family	title	element	h_cm	w_cm	l_cm	d_cm	diam_cm	n1_cm	n2_cm	n3_cm	weight_g	raw
cma	1985.119	core	daggers_eastern	Katar dagger	Overall						45.6	8.2			Overall: 45.6 x 8.2 cm (17 15/16 x 3 1/4 in.)
cma	1985.119.a	core	daggers_eastern	Katar (Stabbing Dagger)	Overall						45.6	8.2			Overall: 45.6 x 8.2 cm (17 15/16 x 3 1/4 in.)
cma	1985.119.b	core	daggers_eastern	Katar (Stabbing Dagger): Sheath	Overall						8.2				Overall: 8.2 cm (3 1/4 in.)
cma	1916.716	core	daggers_eastern	Dagger (Katar)	Overall						58.8				Overall: 58.8 cm (23 1/8 in.); Blade: 30.8 cm (12 1/8 in.)
cma	1916.716	core	daggers_eastern	Dagger (Katar)	Blade						30.8				Overall: 58.8 cm (23 1/8 in.); Blade: 30.8 cm (12 1/8 in.)
cma	1916.1599	core	axes	Battle Axe	Blade						8.3				Blade: 8.3 cm (3 1/4 in.); Head: 27.3 cm (10 3/4 in.)
cma	1916.1599	core	axes	Battle Axe	Head						27.3				Blade: 8.3 cm (3 1/4 in.); Head: 27.3 cm (10 3/4 in.)
cma	1929.364	core	axes	Ceremonial Axe (gano)	Overall						15.8				Overall: 15.8 cm (6 1/4 in.)
cma	1916.1601	core	axes	Battle Axe	Overall						93.3				Overall: 93.3 cm (36 3/4 in.); Blade: 18.7 cm (7 3/8 in.)
cma	1916.1601	core	axes	Battle Axe	Blade						18.7				Overall: 93.3 cm (36 3/4 in.); Blade: 18.7 cm (7 3/8 in.)
cma	1988.3	core	axes	Battle Axe	Overall						24.2	6.1			Overall: 24.2 x 6.1 cm (9 1/2 x 2 3/8 in.)
cma	1916.1556	core	polearms	Halberd	Overall						205.7				Overall: 205.7 cm (81 in.); Blade: 20.3 cm (8 in.)
cma	1916.1556	core	polearms	Halberd	Blade						20.3				Overall: 205.7 cm (81 in.); Blade: 20.3 cm (8 in.)
cma	1916.1552	armor	mail	Hauberk	Overall						110.5				Overall: 110.5 cm (43 1/2 in.)
cma	2007.164	core	polearms	Parade Halberd (from the bodyguard of Ludwig Rudolf, Duke of	Overall						276.9				Overall: 276.9 cm (109 in.)
cma	1916.726	core	axes	Battle Axe	Overall						61.6				Overall: 61.6 cm (24 1/4 in.); Blade: 18 cm (7 1/16 in.)
cma	1916.726	core	axes	Battle Axe	Blade						18.0				Overall: 61.6 cm (24 1/4 in.); Blade: 18 cm (7 1/16 in.)
cma	1916.1564	core	polearms	Halberd	Overall						182.3				Overall: 182.3 cm (71 3/4 in.); Blade: 24.2 cm (9 1/2 in.)
cma	1916.1564	core	polearms	Halberd	Blade						24.2				Overall: 182.3 cm (71 3/4 in.); Blade: 24.2 cm (9 1/2 in.)
cma	1916.1562	core	polearms	Halberd	Overall						159.7				Overall: 159.7 cm (62 7/8 in.); Blade: 18.5 cm (7 5/16 in.)
cma	1916.1562	core	polearms	Halberd	Blade						18.5				Overall: 159.7 cm (62 7/8 in.); Blade: 18.5 cm (7 5/16 in.)
cma	1916.1826	core	polearms	Parade Halberd	Overall						252.0				Overall: 252 cm (99 3/16 in.); Blade: 65.6 cm (25 13/16 in.)
cma	1916.1826	core	polearms	Parade Halberd	Blade						65.6				Overall: 252 cm (99 3/16 in.); Blade: 65.6 cm (25 13/16 in.)
cma	1916.1542	core	polearms	Halberd	Overall						200.7				Overall: 200.7 cm (79 in.); Blade: 25.4 cm (10 in.)
cma	1916.1542	core	polearms	Halberd	Blade						25.4				Overall: 200.7 cm (79 in.); Blade: 25.4 cm (10 in.)
cma	1916.1561	core	polearms	Halberd	Overall						217.4				Overall: 217.4 cm (85 9/16 in.); Blade: 21.9 cm (8 5/8 in.)
cma	1916.1561	core	polearms	Halberd	Blade						21.9				Overall: 217.4 cm (85 9/16 in.); Blade: 21.9 cm (8 5/8 in.)
cma	1916.1554	core	polearms	Halberd	Overall						160.0				Overall: 160 cm (63 in.); Blade: 19.3 cm (7 5/8 in.)
cma	1916.1554	core	polearms	Halberd	Blade						19.3				Overall: 160 cm (63 in.); Blade: 19.3 cm (7 5/8 in.)
cma	1916.1559	core	polearms	Halberd	Overall						230.7				Overall: 230.7 cm (90 13/16 in.); Blade: 21.9 cm (8 5/8 in.)
cma	1916.1559	core	polearms	Halberd	Blade						21.9				Overall: 230.7 cm (90 13/16 in.); Blade: 21.9 cm (8 5/8 in.)
cma	1916.1797	core	polearms	Halberd	Overall						239.0				Overall: 239 cm (94 1/8 in.); Blade: 48 cm (18 7/8 in.)
cma	1916.1797	core	polearms	Halberd	Blade						48.0				Overall: 239 cm (94 1/8 in.); Blade: 48 cm (18 7/8 in.)
cma	1919.58	core	polearms	Halberd	Overall						197.5				Overall: 197.5 cm (77 3/4 in.); Blade: 22.8 cm (9 in.)
cma	1919.58	core	polearms	Halberd	Blade						22.8				Overall: 197.5 cm (77 3/4 in.); Blade: 22.8 cm (9 in.)
cma	1916.1819	core	polearms	Parade Halberd (from the state guard of Elector Christian I 	Overall						238.2				Overall: 238.2 cm (93 3/4 in.); Blade: 30.5 cm (12 in.)
cma	1916.1819	core	polearms	Parade Halberd (from the state guard of Elector Christian I 	Blade						30.5				Overall: 238.2 cm (93 3/4 in.); Blade: 30.5 cm (12 in.)
cma	1942.1085	core	polearms	Halberd Standard	Overall						10.0				Overall: 10 cm (3 15/16 in.)
cma	1916.1563	core	axes	Bardiche (Pole Axe)	Overall						178.5				Overall: 178.5 cm (70 1/4 in.); Blade: 14.2 cm (5 9/16 in.)
cma	1916.1563	core	axes	Bardiche (Pole Axe)	Blade						14.2				Overall: 178.5 cm (70 1/4 in.); Blade: 14.2 cm (5 9/16 in.)
cma	1916.1835	core	polearms	Bill	Overall						184.8				Overall: 184.8 cm (72 3/4 in.); Blade: 11.4 cm (4 1/2 in.)
cma	1916.1835	core	polearms	Bill	Blade						11.4				Overall: 184.8 cm (72 3/4 in.); Blade: 11.4 cm (4 1/2 in.)
cma	1941.549	core	axes	Axe	Overall						23.8				Overall: 23.8 cm (9 3/8 in.)
cma	2012.39	armor	helmets_european	Cabacete (Helmet)	Overall						27.3	26.0	36.5		Overall: 27.3 x 26 x 36.5 cm (10 3/4 x 10 1/4 x 14 3/8 in.)
cma	2007.165	core	polearms	Parade Partisan (from the Bodyguard of August Wilhelm, Duke 	Overall						258.5				Overall: 258.5 cm (101 3/4 in.)
cma	1994.195	core	spears_lances	Standing Officer Holding a Boar's Spear	Sheet						20.6	15.6			Sheet: 20.6 x 15.6 cm (8 1/8 x 6 1/8 in.)
cma	1916.1502	armor	helmets_european	Helmet	Overall						34.5	32.0	22.0		Overall: 34.5 x 32 x 22 cm (13 9/16 x 12 5/8 x 8 11/16 in.)
cma	1916.1589	core	maces_hammers	Seven-Flanged Mace	Overall						64.5				Overall: 64.5 cm (25 3/8 in.); Head: 11.4 cm (4 1/2 in.)
cma	1916.1589	core	maces_hammers	Seven-Flanged Mace	Head						11.4				Overall: 64.5 cm (25 3/8 in.); Head: 11.4 cm (4 1/2 in.)
cma	1992.348	core	maces_hammers	Mace Head	Overall						11.2	8.9	8.3		Overall: 11.2 x 8.9 x 8.3 cm (4 7/16 x 3 1/2 x 3 1/4 in.)
cma	1990.165	core	maces_hammers	Mace Head	Overall						4.2	7.3	13.6		Overall: 4.2 x 7.3 x 13.6 cm (1 5/8 x 2 7/8 x 5 3/8 in.)
cma	1978.9.2	core	maces_hammers	Ritual Mace	Overall						38.5				Overall: 38.5 cm (15 3/16 in.)
cma	1949.469	core	flails_clubs	Ceremonial Mace (Club) Head: Feline (Jaguar?)	Overall						8.8	7.7	10.6		Overall: 8.8 x 7.7 x 10.6 cm (3 7/16 x 3 1/16 x 4 3/16 in.)
cma	1916.119	thief	jewelry_crowns	Pendant with Matsya (fish incarnation of Vishnu) defeating H	Overall						11.8	5.8			Overall: 11.8 x 5.8 cm (4 5/8 x 2 5/16 in.)
cma	2018.184	core	daggers_eastern	Krishna Under a Canopy	Page						26.7	17.8			Page: 26.7 x 17.8 cm (10 1/2 x 7 in.); Miniature: 22.9 x 14 cm (9 x 5 1/2 in.)
cma	2018.184	core	daggers_eastern	Krishna Under a Canopy	Miniature						22.9	14.0			Page: 26.7 x 17.8 cm (10 1/2 x 7 in.); Miniature: 22.9 x 14 cm (9 x 5 1/2 in.)
