family	source	accession	title	date	culture	medium_technique	measurements	highlight	image_url	object_url	license
wands_batons	met	1987.394.671	Scepter wand with feathers	1200 – 1500 CE	Chimú or Chancay	Silver, feathers		0	https://images.metmuseum.org/CRDImages/ao/web-large/DP230136.jpg	https://www.metmuseum.org/art/collection/search/315751	CC0/PD
wands_batons	met	08.200.19	Magic wand	ca. 1981–1802 B.C.		Hippopotamus ivory		0	https://images.metmuseum.org/CRDImages/eg/web-large/DP112632.jpg	https://www.metmuseum.org/art/collection/search/544149	CC0/PD
wands_batons	met	22.1.154a, b	Magic Wand	ca. 1900–1640 B.C.		Hippopotamus ivory		0	https://images.metmuseum.org/CRDImages/eg/web-large/22.1.154a-b_EGDP011915.jpg	https://www.metmuseum.org/art/collection/search/544244	CC0/PD
wands_batons	met	30.8.218	Apotropaic Wand	ca. 1981–1640 B.C.		Hippopotamus ivory		0	https://images.metmuseum.org/CRDImages/eg/web-large/30.8.218_EGDP011959.jpg	https://www.metmuseum.org/art/collection/search/545740	CC0/PD
scepters_ruyi	cma	2015.155	Scepter	late 1800s or early 1900s	Africa, Central Africa, Angola, Ovimbundu-style maker	Wood, copper alloy, upholstery studs, iron alloy, and cotton	Overall: 57.5 x 4.5 x 5.5 cm (22 5/8 x 1 3/4 x 2 3/16 in.)	0	https://openaccess-cdn.clevelandart.org/2015.155/2015.155_web.jpg	https://clevelandart.org/art/2015.155	CC0/PD
scepters_ruyi	cma	1953.359	Jade Scepter with Interlocking Pattern	c. 600–400 BCE	China, Eastern Zhou dynasty (770–256 BCE)	nephrite	Overall: 14.6 x 3.2 cm (5 3/4 x 1 1/4 in.)	0	https://openaccess-cdn.clevelandart.org/1953.359/1953.359_web.jpg	https://clevelandart.org/art/1953.359	CC0/PD
scepters_ruyi	met	02.18.685c	Ruyi scepter	18th century	China	Nephrite, white jade with fungus head of rust-colored tourmaline-rubellite from the Shan Mountain--a much-prized stone c		0	https://images.metmuseum.org/CRDImages/as/web-large/02_18_685c Ju-i Sceptre.jpg	https://www.metmuseum.org/art/collection/search/43958	CC0/PD
scepters_ruyi	cma	1960.278	Scepter (Gui) with Miscellaneous Poems by Tao Qian (365–427 CE)	1122 or later	China, Possibly Qing dynasty (1644-1911), Qianlong period (1736-1795)	translucent white jade	Overall: 2.8 x 0.3 cm (1 1/8 x 1/8 in.)	0	https://openaccess-cdn.clevelandart.org/1960.278/1960.278_web.jpg	https://clevelandart.org/art/1960.278	CC0/PD
scepters_ruyi	cma	1972.154	Ceremonial Scepter with Animal Masks (Gui)	c. 1600–1050 BCE	China, Shang dynasty (c. 1600–c. 1046 BCE)	jade (nephrite)	Overall: 18.6 x 1.8 cm (7 5/16 x 11/16 in.)	0	https://openaccess-cdn.clevelandart.org/1972.154/1972.154_web.jpg	https://clevelandart.org/art/1972.154	CC0/PD
scepters_ruyi	met	29.110.45	Ruyi Scepter	18th–19th century	China	Cloisonné enamel with gilt-bronze medallions		0	https://images.metmuseum.org/CRDImages/as/web-large/29_110_45_O1.jpg	https://www.metmuseum.org/art/collection/search/40703	CC0/PD
scepters_ruyi	met	2011.358	University Scepter	early 15th century (1419? with alterations after 1478)	North German	Silver and gilded silver on an iron core		0	https://images.metmuseum.org/CRDImages/cl/web-large/DP257054.jpg	https://www.metmuseum.org/art/collection/search/479580	CC0/PD
finials_standards	cma	1946.229	Finial of a Staff	Chimú style (900–1470)	Peru, North Coast, Chimú style (900-1470)	cast copper alloy	Overall: 11.8 x 6.8 cm (4 5/8 x 2 11/16 in.)	0	https://openaccess-cdn.clevelandart.org/1946.229/1946.229_web.jpg	https://clevelandart.org/art/1946.229	CC0/PD
finials_standards	cma	1992.246	Ibex Standard Finial	c. 700–600 BCE	Iran, Luristan	bronze	Overall: 13.5 x 9.7 x 1.9 cm (5 5/16 x 3 13/16 x 3/4 in.)	0	https://openaccess-cdn.clevelandart.org/1992.246/1992.246_web.jpg	https://clevelandart.org/art/1992.246	CC0/PD
finials_standards	met	36.25.2861	Standard (<i>Alem</i>)	ca. 1675–1700	Turkish	Copper, gold, iron, wood		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP169754.jpg	https://www.metmuseum.org/art/collection/search/23888	CC0/PD
finials_standards	met	2022.516.4	Staff finial with seated woman	19th century	Yombe-Kongo peoples	Ivory, metal, wood, lead		0	https://images.metmuseum.org/CRDImages/ao/web-large/DP-41386-001.jpg	https://www.metmuseum.org/art/collection/search/884755	CC0/PD
finials_standards	met	13.46a	Knob from a Crozier with the Entry into Jerusalem	ca. 1200	British or North French	Elephant ivory		0	https://images.metmuseum.org/CRDImages/md/web-large/DP227404.jpg	https://www.metmuseum.org/art/collection/search/463641	CC0/PD
finials_standards	met	64.228.698	Cast Bronze Staff Finial	8th–mid-16th century	Peru; north or central coast (?)	Bronze (cast)		0	https://images.metmuseum.org/CRDImages/ao/web-large/VS64_228_698.JPG	https://www.metmuseum.org/art/collection/search/309224	CC0/PD
croziers_staffs	cma	2018.34	Dance staff for Èṣù (Ògò Èlẹ́gba)	1800s	Africa, West Africa, Nigeria, Yorùbá-style maker	Wood, leather, cowrie shells, seeds, and natural fiber	62 cm (24 7/16 in.)	0	https://openaccess-cdn.clevelandart.org/2018.34/2018.34_web.jpg	https://clevelandart.org/art/2018.34	CC0/PD
croziers_staffs	cma	1998.85	Rattle Staff (ukhuhre)	1900s	Nigeria, Benin Kingdom, Ẹdo peoples, member(s) of the Igbesanmwan (wood and ivory carvers) guild	Wood, paint, cowrie shells, and plant fiber	Overall: 149.5 x 7.5 x 8 cm (58 7/8 x 2 15/16 x 3 1/8 in.)	0	https://openaccess-cdn.clevelandart.org/1998.85/1998.85_web.jpg	https://clevelandart.org/art/1998.85	CC0/PD
croziers_staffs	met	17.190.223	Crozier Head with Lamb of God	13th century	Sicilian or North Italian	Elephant ivory, with traces of paint and gilding, silver pins		0	https://images.metmuseum.org/CRDImages/md/web-large/sf17-190-223s1.jpg	https://www.metmuseum.org/art/collection/search/464226	CC0/PD
croziers_staffs	cma	2004.85	Staff of Office	early to mid-1800s	Central Africa, Democratic Republic of the Congo, Luba	Wood and iron	Overall: 170 x 13.3 cm (66 15/16 x 5 1/4 in.)	0	https://openaccess-cdn.clevelandart.org/2004.85/2004.85_web.jpg	https://clevelandart.org/art/2004.85	CC0/PD
croziers_staffs	cma	1938.5	Idiophone/Staff (ahianmwẹn-ọrọ)	possibly 1800s	Nigeria, Benin Kingdom, Ẹdo peoples, members of the Igun Eronmwon (royal brasscasters) guild	Copper alloy	Overall: 36.2 x 9.9 cm (14 1/4 x 3 7/8 in.)	0	https://openaccess-cdn.clevelandart.org/1938.5/1938.5_web.jpg	https://clevelandart.org/art/1938.5	CC0/PD
croziers_staffs	cma	1944.319	Staff Head(?)	c. 400–700	Colombia or Panama, International style, 5th-8th Century	cast gold	Overall: 8.3 x 7.2 x 2.4 cm (3 1/4 x 2 13/16 x 15/16 in.)	0	https://openaccess-cdn.clevelandart.org/1944.319/1944.319_web.jpg	https://clevelandart.org/art/1944.319	CC0/PD
croziers_staffs	cma	1954.594	Staff Head	400–1000 CE	Colombia, Sinú style	cast gold	Overall: 6.7 x 3 x 8.2 cm (2 5/8 x 1 3/16 x 3 1/4 in.)	0	https://openaccess-cdn.clevelandart.org/1954.594/1954.594_web.jpg	https://clevelandart.org/art/1954.594	CC0/PD
talismans_amulets	met	1998.199	Talismanic Shirt	15th–early 16th century		Cotton, ink, gold; plain weave, painted		0	https://images.metmuseum.org/CRDImages/is/web-large/DP-12712-001.jpg	https://www.metmuseum.org/art/collection/search/453498	CC0/PD
talismans_amulets	met	40.170.140	Magic Bowl and an Ostrakon	9th–10th century		Earthenware; painted, unglazed		0	https://images.metmuseum.org/CRDImages/is/web-large/DP247834.jpg	https://www.metmuseum.org/art/collection/search/449833	CC0/PD
talismans_amulets	met	91.1.749	Helmet with Talismanic Inscriptions	18th–early 19th century		Steel; damascened with gold		0	https://images.metmuseum.org/CRDImages/is/web-large/DP-17261-001.jpg	https://www.metmuseum.org/art/collection/search/444625	CC0/PD
talismans_amulets	met	1978.546.32	Talismanic Scroll	11th century		Ink on paper; block-printed		0	https://images.metmuseum.org/CRDImages/is/web-large/DP-12713-001.jpg	https://www.metmuseum.org/art/collection/search/452893	CC0/PD
talismans_amulets	met	15.95.137	Amulet Case	19th century		Gold		0	https://images.metmuseum.org/CRDImages/is/web-large/DP370486.jpg	https://www.metmuseum.org/art/collection/search/446800	CC0/PD
astral_instruments	met	17.190.636	Celestial globe with clockwork	1579		Case: partially gilded silver, gilded brass; movement: brass, steel		1	https://images.metmuseum.org/CRDImages/es/web-large/DP231286.jpg	https://www.metmuseum.org/art/collection/search/193606	CC0/PD
astral_instruments	met	91.1.535a–h	Astrolabe of ‘Umar ibn Yusuf ibn ‘Umar ibn ‘Ali ibn Rasul al-Muzaffari	dated 690 AH/1291 CE		Brass; cast and hammered, pierced, chased, inlaid with silver		1	https://images.metmuseum.org/CRDImages/is/web-large/DP170386.jpg	https://www.metmuseum.org/art/collection/search/444408	CC0/PD
astral_instruments	met	2025.347a–j	Astrolabe	1462	German or Italian	Copper alloy		0	https://images.metmuseum.org/CRDImages/cl/web-large/DP-41678-001.jpg	https://www.metmuseum.org/art/collection/search/923639	CC0/PD
astral_instruments	met	63.166a–j	Planispheric Astrolabe	dated 1065 AH/1654–55 CE		Brass and steel; cast and hammered, pierced and engraved		0	https://images.metmuseum.org/CRDImages/is/web-large/DP170383.jpg	https://www.metmuseum.org/art/collection/search/451699	CC0/PD
astral_instruments	met	1990.84	Celestial globe	after 1621		Paper, brass, oak and stained, light-colored wood		0	https://images.metmuseum.org/CRDImages/es/web-large/DP-12901-001.jpg	https://www.metmuseum.org/art/collection/search/207816	CC0/PD
astral_instruments	met	45.128.8	Celestial globe	1695		Wood, paper and metal		0	https://images.metmuseum.org/CRDImages/es/web-large/135383.jpg	https://www.metmuseum.org/art/collection/search/199675	CC0/PD
divination	cma	2010.455	Divination Implement	late 1800s–early 1900s	Africa, Central Africa, Democratic Republic of Congo, Luba-style maker	Wood, glass beads, and natural fiber	Overall: 11.4 x 3.4 x 4.8 cm (4 1/2 x 1 5/16 x 1 7/8 in.)	0	https://openaccess-cdn.clevelandart.org/2010.455/2010.455_web.jpg	https://clevelandart.org/art/2010.455	CC0/PD
divination	cma	1969.550	Divination Implement (itombwa)	1890–1910	Africa, Central Africa, Democratic Republic of the Congo, Kuba-style maker	Wood and plant fiber	Overall: 8.9 cm (3 1/2 in.)	0	https://openaccess-cdn.clevelandart.org/1969.550/1969.550_web.jpg	https://clevelandart.org/art/1969.550	CC0/PD
divination	cma	1994.200	Ifá divination vessel (àgéré Ifá)	mid- late 1800s	Africa, West Africa, Nigeria, possibly Èkìtì State, Yorùbá-style carver	Wood and colorant	Overall: 31.7 x 15.7 x 15.9 cm (12 1/2 x 6 3/16 x 6 1/4 in.)	0	https://openaccess-cdn.clevelandart.org/1994.200/1994.200_web.jpg	https://clevelandart.org/art/1994.200	CC0/PD
