family	subject	element	value	unit	value_m	evidence_class	source	quote
stair	Newland pairing table (Gwilt para 2178a)	tread 5 in pairs with riser	9.0	in	0.229	author-rule	Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)	Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]
stair	Newland pairing table (Gwilt para 2178a)	tread 6 in pairs with riser	8.5	in	0.216	author-rule	Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)	Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]
stair	Newland pairing table (Gwilt para 2178a)	tread 7 in pairs with riser	8.0	in	0.203	author-rule	Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)	Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]
stair	Newland pairing table (Gwilt para 2178a)	tread 8 in pairs with riser	7.5	in	0.191	author-rule	Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)	Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]
stair	Newland pairing table (Gwilt para 2178a)	tread 9 in pairs with riser	7.0	in	0.178	author-rule	Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)	Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]
stair	Newland pairing table (Gwilt para 2178a)	tread 10 in pairs with riser	6.5	in	0.165	author-rule	Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)	Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]
stair	Newland pairing table (Gwilt para 2178a)	tread 11 in pairs with riser	6.0	in	0.152	author-rule	Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)	Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]
stair	Newland pairing table (Gwilt para 2178a)	tread 12 in pairs with riser	5.5	in	0.140	author-rule	Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)	Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]
stair	Newland pairing table (Gwilt para 2178a)	tread 13 in pairs with riser	5.0	in	0.127	author-rule	Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)	Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]
stair	Newland pairing table (Gwilt para 2178a)	tread 14 in pairs with riser	4.5	in	0.114	author-rule	Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)	Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]
stair	Gwilt constant-product rule (para 2177)	tread x riser product	66	in^2		author-rule	Gwilt p.668	Thus 12 x 5 1/2 = 66, which would be a constant numerator for the proportion
stair	Gwilt constant-product rule (para 2177)	datum pair: 12 in tread with	5.5	in	0.140	author-rule	Gwilt p.668	the convenient rise of a step 12 inches in width is 5 1/2 inches
stair	tread breadth, commonest staircase	tread breadth, medium	10	in	0.254	author-rule	Gwilt p.668	The breadth of steps in the commonest staircase may be taken at 10 inches at a medium
stair	tread breadth, best staircases	tread breadth, minimum	12	in	0.305	author-rule	Gwilt p.668	In the best staircases the breadth of the step should not be less than 12 inches
stair	tread breadth, best staircases	tread breadth, maximum	18	in	0.457	author-rule	Gwilt p.668	neither should it be more than 18 inches
stair	staircase width (para 2179)	clear width, minimum, for two people to pass	4	ft	1.219	author-rule	Gwilt p.668	The width of the better sorts of staircases should not be less than 4 feet, to allow of two persons freely passing each other
stair	solid step from round timber (para 2180a)	log diameter yielding six steps	30	in	0.762	measured	Gwilt p.668	the mode of getting six steps out of round timber 30 inches in diameter, being a saving of about ten per cent
stair	riser count rule (para 2178)	if the division is inexact, ADD a riser rather than drop one	n/a	rule		author-rule	Gwilt p.668	If the height divided by the rise of each step should not give an exact number of risers, it is better to add one rather than diminish the number
stair	Palladio staircase (Gwilt para 2804)	clear width, minimum	4 Vicentine ft (= 4 ft 6 in English)	ft	1.382	author-rule	Gwilt p.928	they ought never to be narrower than 4 feet (4 feet 6 inches English), so that two persons meeting on the stairs may conveniently pass each other   [The Vicentine foot is about 13.6 inches English - GWILT'S OWN FOOTNOTE]
stair	Palladio staircase (Gwilt para 2804)	plan proportion: length to breadth	2 : 1	ratio		author-rule	Gwilt p.928	Therefore, they must be twice as long as broad
stair	Palladio staircase (Gwilt para 2804)	riser, maximum	6 Vicentine in	in	0.173	author-rule	Gwilt p.928	The steps ought not to exceed 6 inches in height ... (These are Vicentine inches.)
stair	Palladio staircase (Gwilt para 2804)	riser, minimum	4 Vicentine in	in	0.115	author-rule	Gwilt p.928	but they must never be lower than 4 inches. (These are Vicentine inches.)
stair	Palladio staircase (Gwilt para 2804)	tread, minimum	1 Vicentine ft	ft	0.345	author-rule	Gwilt p.928	The breadth of the steps ought not to be less than a foot
stair	Palladio staircase (Gwilt para 2804)	tread, maximum	1.5 Vicentine ft	ft	0.518	author-rule	Gwilt p.928	nor more than a foot and a half
stair	Palladio staircase (Gwilt para 2804)	steps per flight before a half-pace, maximum	11 to 13	count		author-rule	Gwilt p.928	It will be sufficient to put eleven or thirteen steps at most to a flight before coming to a half-pace
stair	Palladio staircase (Gwilt para 2804)	step count parity: ODD, so the ascent ends on the starting foot	n/a	rule		author-rule	Gwilt p.928	The ancients used to make the steps of an odd number, that thus beginning to ascend with the right foot, they might end with the same foot
stair	headway (Gwilt para 2805)	clear vertical from any step to the soffit above	tallest person with his hat on	rule		author-rule	Gwilt p.928	a clear distance measured vertically from any step, quarter, half-pace, or landing, to the underside of the ceiling ... so as to allow the tallest person to clear it with his hat on
