family	source	accession	title	date	culture	medium_technique	measurements	highlight	image_url	object_url	license
locks_padlocks	met	10.100.174a, b	Padlock and Key	18th century or later	India	Bronze		0	https://images.metmuseum.org/CRDImages/as/web-large/10_100_174ab.JPG	https://www.metmuseum.org/art/collection/search/37781	CC0/PD
locks_padlocks	met	10.100.175a, b	Padlock and Key	18th century or later	India	Brass		0	https://images.metmuseum.org/CRDImages/as/web-large/10_100_175ab.JPG	https://www.metmuseum.org/art/collection/search/39442	CC0/PD
locks_padlocks	met	10.100.179	Padlock latch	19th century	Japan	Iron		0	https://images.metmuseum.org/CRDImages/as/web-large/10_100_179_7955.jpg	https://www.metmuseum.org/art/collection/search/59940	CC0/PD
locks_padlocks	met	55.61.12	Lock	15th–16th century	European	Iron		0	https://images.metmuseum.org/CRDImages/cl/web-large/cdi55-61-12.jpg	https://www.metmuseum.org/art/collection/search/471589	CC0/PD
locks_padlocks	met	67.55.119a, b	Key padlock	probably 18th century		Lock: iron, brass; key: steel		0	https://images.metmuseum.org/CRDImages/es/web-large/SF67_55_119ab.jpg	https://www.metmuseum.org/art/collection/search/204737	CC0/PD
locks_padlocks	met	1971.206.33a, b	Door lock and key	ca. 1770		Gilt bronze; steel key		0	https://images.metmuseum.org/CRDImages/es/web-large/DP109202.jpg	https://www.metmuseum.org/art/collection/search/205435	CC0/PD
locks_padlocks	met	57.137.5a–d	Coffer lock and key	probably early 16th century		Wrought iron		0	https://images.metmuseum.org/CRDImages/es/web-large/sf57_137_5a-d.jpg	https://www.metmuseum.org/art/collection/search/201996	CC0/PD
locks_padlocks	met	57.137.7a, b	Coffer lock and key	ca. 1680–1700		Steel, iron		0	https://images.metmuseum.org/CRDImages/es/web-large/164180.jpg	https://www.metmuseum.org/art/collection/search/201998	CC0/PD
keys	cma	1952.586	Key	1–100 CE	Italy, Roman	iron tang, bronze handle	Overall: 15.6 cm (6 1/8 in.)	0	https://openaccess-cdn.clevelandart.org/1952.586/1952.586_web.jpg	https://clevelandart.org/art/1952.586	CC0/PD
keys	met	06.176.53	Key Latch	1st–7th century	Roman	Copper alloy		0	https://images.metmuseum.org/CRDImages/md/web-large/sf06-176-53s1.jpg	https://www.metmuseum.org/art/collection/search/462939	CC0/PD
