source	accession	volume	family	title	culture	date	d1_cm	d2_cm	d3_cm	diam_cm	raw
cma	1916.2004	town	vessels_baskets	Barrel-Shaped Jug	Cyprus, Cypro-Archaic I	c. 750–600 BCE	27.6			12.8	Diameter: 12.8 cm (5 1/16 in.); Overall: 38 x 27.6 cm (14 15/16 x 10 7/8 in.)
cma	1969.291	town	vessels_baskets	Bath Pail (Satl)	Iran, Isfahan, Safavid period (1501-1722	c. 1580–1610	17.0			11.0	Overall: 17 cm (6 11/16 in.); Diameter of base: 11 cm (4 5/16 in.); Diameter of rim: 16.8 cm (6 5/8 in.)
cma	1983.54	town	vessels_baskets	Tub-shaped Flower Pot	France, Vincennes	c. 1752	7.2				Overall: 9.5 x 7.2 cm (3 3/4 x 2 13/16 in.)
cma	1966.500.5	town	vessels_baskets	Jam (Varenye) Basket	Russia, St. Petersburg	1887–96	11.8				Overall: 6.1 x 11.8 cm (2 3/8 x 4 5/8 in.)
cma	1936.353	town	vessels_baskets	Fruit Basket	England, London	1729	9.1				Overall: 9.1 cm (3 9/16 in.); Center: 33 x 29 cm (13 x 11 7/16 in.)
cma	2018.276	town	vessels_baskets	Indian Basket Lamp 	America, New York	c. 1902–10	43.5			31.6	Diameter: 31.6 cm (12 7/16 in.); Overall: 43.5 cm (17 1/8 in.)
cma	1917.466	town	vessels_baskets	Jar-shaped Basket	Native North America, Great Basin, Calif	c. 1900–1910	22.0				Overall: 14.3 x 22 cm (5 5/8 x 8 11/16 in.)
cma	1917.454	town	vessels_baskets	Jar-shaped Basket	Native North America, Great Basin, Calif	1910	18.5				Overall: 12.5 x 18.5 cm (4 15/16 x 7 5/16 in.)
cma	1978.90	town	vessels_baskets	Model Basket as Amulet	Egypt, Third Intermediate (1069–715 BCE)	c. 1069–945 BCE	1.5				Overall: 1.5 cm (9/16 in.)
cma	1915.464	town	vessels_baskets	Sifting Basket	Africa, Central Africa, Democratic Repub	before 1915	39.4				Overall: 39.4 cm (15 1/2 in.); Outside: 39.4 x 20.7 cm (15 1/2 x 8 1/8 in.)
cma	1917.771	town	vessels_baskets	Shoulder basket (Bagobo people)	Philippines, Davao	c. 1875–1917	7.9				Overall: 11.8 x 7.9 cm (4 5/8 x 3 1/8 in.)
cma	1917.521	town	vessels_baskets	Gift Basket	California, Pomo, Lytton Springs, Alexan	1895	11.6			11.6	Diameter: 5 x 11.6 cm (1 15/16 x 4 9/16 in.)
cma	1917.523	town	vessels_baskets	Gift Basket	California, Pomo, late 19th- early 20th 	c. 1895	4.5			4.5	Diameter: 12.1 x 4.5 cm (4 3/4 x 1 3/4 in.)
cma	1917.480	town	vessels_baskets	Doctor's Basket, Canoe- shaped	California, Pomo, 19th century	1890	44.0				Overall: 14.5 x 44 cm (5 11/16 x 17 5/16 in.)
cma	1917.542	town	vessels_baskets	Miniature Round Basket	California, Pomo, late 19th-early 20th c	late 1800s-early 1900s	0.8			0.8	Diameter: 0.8 cm (5/16 in.)
cma	1917.532	town	vessels_baskets	Miniature Round Basket	California, Pomo, late 19th-early 20th c	late 1800s-early 1900s	0.6			0.6	Diameter: 0.6 cm (1/4 in.)
cma	1917.539	town	vessels_baskets	Miniature Oval Basket	California, Pomo, 20th century (?)	Early 1900s	1.0				Overall: 1 cm (3/8 in.)
cma	1917.535	town	vessels_baskets	Miniature Rhomboidal Basket	California, Pomo, 20th century (?)	Early 1900s	2.5				Overall: 2.5 cm (1 in.)
cma	1917.537	town	vessels_baskets	Miniature Round Basket	California, Pomo, late 19th-early 20th c	late 1800s-early 1900s	1.7			1.7	Diameter: 1.7 cm (11/16 in.)
cma	1917.538	town	vessels_baskets	Miniature Oval Basket	California, Pomo, late 19th-early 20th c	late 1800s-early 1900s	1.1				Overall: 1.1 cm (7/16 in.)
cma	1917.536	town	vessels_baskets	Miniature Rhomboidal Basket	California, Pomo, late 19th-early 20th c	late 1800s-early 1900s	1.3				Overall: 1.3 cm (1/2 in.)
cma	1917.541	town	vessels_baskets	Miniature Round Basket	California, Pomo, 20th century (?)	early 1900s	1.4			1.4	Diameter: 1.4 cm (9/16 in.)
cma	1917.501	town	vessels_baskets	Puberty Basket	California, Pomo, late 19th century	1890	45.5				Overall: 21.5 x 45.5 cm (8 7/16 x 17 15/16 in.)
cma	1917.534	town	vessels_baskets	Miniature Rhomboidal Basket	California, Pomo, late 19th-early 20th c	late 1800s-early 1900s	2.3				Overall: 2.3 cm (7/8 in.)
cma	1917.543	town	vessels_baskets	Miniature Round Basket	California, Pomo, late 19th-early 20th c	late 1800s-early 1900s	0.8			0.8	Diameter: 0.8 cm (5/16 in.)
cma	1929.326	town	vessels_baskets	Basket	Africa, Central Africa, Democratic Repub	by 1928	22.5			31.6	Overall: 22.5 cm (8 7/8 in.); Diameter of top: 31.6 cm (12 7/16 in.)
cma	1917.540	town	vessels_baskets	Miniature Round Basket	California, Pomo, late 19th-early 20th c	late 1800s-early 1900s	1.1			1.1	Diameter: 1.1 cm (7/16 in.)
cma	1917.498.b	town	vessels_baskets	Tobacco Basket	California, Yurok, late 19th century	c 1875– 1900	10.5				Lid: 4 x 10.5 cm (1 9/16 x 4 1/8 in.)
cma	1917.498.a	town	vessels_baskets	Tobacco Basket	California, Yurok, late 19th century	c 1875– 1900	17.0				Overall: 19 x 17 x 17 cm (7 1/2 x 6 11/16 x 6 11/16 in.); vessel only: 16 x 17 x 17 cm (6 5/16 x 6 11/16 x 6 11/16 in.)
cma	1917.498	town	vessels_baskets	Tobacco Basket	California, Yurok, late 19th century	c 1875– 1900	17.0				Overall: 19 x 17 x 17 cm (7 1/2 x 6 11/16 x 6 11/16 in.)
cma	1988.23.3.10	town	vessels_baskets	Flowers of a Hundred Worlds (Momoyogusa): Flower Basket (Hanakago)	Japan, Meiji period (1868–1912)	1909–10	22.1				Sheet: 29.9 x 22.1 cm (11 3/4 x 8 11/16 in.)
cma	1917.425	town	vessels_baskets	Storage Basket	Northwest Coast, Skokomish, late 19th ce	c. 1900	26.6			26.6	Diameter: 33 x 26.6 cm (13 x 10 1/2 in.)
cma	1940.199	town	vessels_baskets	Sugar Basket	America, New York	c. 1796	9.8				with handle: 15.8 x 9.8 cm (6 1/4 x 3 7/8 in.)
cma	1917.426	town	vessels_baskets	Cradle Basket	California, Yurok or Hupa, Late 19th cen	c 1875– 1910	73.7				Overall: 17.8 x 73.7 cm (7 x 29 in.)
cma	1917.430.a	town	vessels_baskets	Basket	Arctic, Aleut, late 19th-early 20th cent	late 1800s–early 1900s	10.5				Overall: 13.5 x 10.5 cm (5 5/16 x 4 1/8 in.)
cma	1917.529	town	vessels_baskets	Conical Beaded Basket	California, Wappo, Alexander Valley, Lat	c. 1875–1925	11.0				Overall: 5 x 11 cm (1 15/16 x 4 5/16 in.)
cma	1917.434	town	vessels_baskets	Covered Basket	Northwest Coast, Haida, Unassigned	Unassigned, before 1917	13.0				Overall: 3.5 x 13 cm (1 3/8 x 5 1/8 in.)
cma	2008.2.361.b	town	vessels_baskets	Fol. 361v, Habbakuk, historiated initial O, Habbakuk holding a basket 	Southern France, Toulouse(?), 13th centu	c. 1275–1300	24.2				Overall: 35.6 x 24.2 cm (14 x 9 1/2 in.)
cma	1923.1125.1	town	vessels_baskets	Miniature Basket	America, Native North American, Southwes	before 1923	2.6				Overall: 1.3 x 2.6 cm (1/2 x 1 in.)
cma	1923.1125.3	town	vessels_baskets	Miniature Basket	America, Native North American, Southwes	before 1923	1.5				Overall: 1 x 1.5 cm (3/8 x 9/16 in.)
cma	1923.1125.8	town	vessels_baskets	Miniature Basket	America, Native North American, Southwes	before 1923	0.4				Overall: 0.6 x 0.4 cm (1/4 x 3/16 in.)
cma	1917.434.a	town	vessels_baskets	Basket	Northwest Coast, Haida, Unassigned	Unassigned, before 1917	13.0				Overall: 3.5 x 13 cm (1 3/8 x 5 1/8 in.)
cma	1929.264	town	vessels_baskets	Cooking Basket	Northwest Coast, Tlingit, late 19th Cent	late 1800s	30.5				Overall: 30.8 x 30.5 cm (12 1/8 x 12 in.)
cma	1917.430	town	vessels_baskets	Covered Basket	Arctic, Aleut, late 19th-early 20th cent	late 1800s–early 1900s	10.5				Overall: 13.5 x 10.5 cm (5 5/16 x 4 1/8 in.)
cma	1923.1125.5	town	vessels_baskets	Miniature Basket	America, Native North American, Southwes	before 1923	1.7				Overall: 1 x 1.7 cm (3/8 x 11/16 in.)
cma	1917.504	town	vessels_baskets	Burden Basket	California, Pomo, central, late 19th cen	1880	47.6				Overall: 47.6 cm (18 3/4 in.)
cma	1917.488.a	town	vessels_baskets	Telescoping basket	Northwest Coast, Tlingit, 19th century	1800's	9.8				Overall: 8 x 9.8 cm (3 1/8 x 3 7/8 in.)
cma	1917.411	town	vessels_baskets	Burden Basket	Native North American, Pacific Northwest	c.1900	30.0				Overall: 34.3 x 30 cm (13 1/2 x 11 13/16 in.)
cma	1923.1125.9	town	vessels_baskets	Miniature Basket	America, Native North American, Southwes	before 1923	0.7				Overall: 0.6 x 0.7 cm (1/4 x 1/4 in.)
cma	1917.533	town	vessels_baskets	Miniature Rhomboidal Basket	California, Pomo, 20th century (?)	Early 1900s	4.8				Overall: 4.5 x 4.8 cm (1 3/4 x 1 7/8 in.)
cma	1978.126	town	vessels_baskets	Fruit Basket (Corbeille)	Russia, Moscow	c. 1783–85	27.2				Overall: 9.3 x 27.2 cm (3 11/16 x 10 11/16 in.)
cma	1923.1125.11	town	vessels_baskets	Miniature Basket	America, Native North American, Southwes	before 1923	0.4				Overall: 0.4 x 0.4 cm (3/16 x 3/16 in.)
cma	1923.1125.2	town	vessels_baskets	Miniature Basket	America, Native North American, Southwes	before 1923	2.0				Overall: 1.5 x 3.6 x 2 cm (9/16 x 1 7/16 x 13/16 in.)
cma	1963.676	town	vessels_baskets	Narrative Frieze:  Dignitaries in Palanquin and Bullock Cart -  Archit	India, Gujarat, 16th-17th century	1500s-1600s	12.8				Overall: 20.4 x 257.7 x 12.8 cm (8 1/16 x 101 7/16 x 5 1/16 in.)
cma	1943.662	town	vessels_baskets	Yoke	Mexico, Classic Veracruz Style, 7th-10th	c. 600–900	11.5				Overall: 41.5 x 38.5 x 11.5 cm (16 5/16 x 15 3/16 x 4 1/2 in.)
cma	1925.667	town	vessels_baskets	Tapestry-woven Yoke from a Tunic	Central Andes, North Central Coast, Moch	800–1200?	102.8				Overall: 64.8 x 102.8 cm (25 1/2 x 40 1/2 in.); Mounted: 69.2 x 108 cm (27 1/4 x 42 1/2 in.)
cma	1990.247	town	vessels_baskets	Unfinished Yoke	Mexico, Central Veracruz, Classsic Verac	600–900	12.5				Overall: 39.5 x 35 x 12.5 cm (15 9/16 x 13 3/4 x 4 15/16 in.)
cma	1973.18	town	vessels_baskets	Storage Jar	Japan, Muromachi period (1392–1573)	late 1300s–1400s	45.7			42.0	height: 45.7 cm (18 in.); Diameter: 42 cm (16 9/16 in.)
cma	1978.6	town	vessels_baskets	Tea Storage Jar	Japan, Edo period (1615–1868)	mid- to late 1600s	28.3			28.7	height: 28.3 cm (11 1/8 in.); Diameter: 28.7 cm (11 5/16 in.)
cma	1939.178	town	vessels_baskets	Storage Jar (Vaso a Palla)	Italy, Venice	c. 1560–80	25.4				Average: 25.4 cm (10 in.)
cma	1989.88	town	vessels_baskets	Short-necked Storage Jar	Korea, Three Kingdoms period (57 BCE–668	300s CE	38.0			36.8	Overall: 38 cm (14 15/16 in.); Outer diameter: 36.8 cm (14 1/2 in.)
cma	1965.553	town	vessels_baskets	Pharmacy Jar (Albarello)	Italy, Siena	c. 1510	22.6				Overall: 22.6 cm (8 7/8 in.)
cma	1992.356	town	vessels_baskets	Storage Jar	Japan, Nanbokuchō period (1336–92)	1350–99	51.0			55.3	Diameter: 55.3 cm (21 3/4 in.); Overall: 51 cm (20 1/16 in.)
