family	source	accession	title	date	culture	medium_technique	measurements	highlight	image_url	object_url	license
workshops	commons	Amman 1568	Fisherman (fish traps) — Ständebuch	Nuremberg, 1568	Jost Amman (woodcut) & Hans Sachs (verse)	Woodcut from Eygentliche Beschreibung aller Stände		0	https://upload.wikimedia.org/wikipedia/commons/3/32/Fotothek_df_tg_0002117_St%C3%A4ndebuch_%5E_Fischer_%5E_Reuse.jpg	https://commons.wikimedia.org/wiki/File:Fotothek_df_tg_0002117_Ständebuch_^_Fischer_^_Reuse.jpg	CC0/PD
workshops	commons	Amman 1568	Pewterer — Ständebuch	Nuremberg, 1568	Jost Amman (woodcut) & Hans Sachs (verse)	Woodcut from Eygentliche Beschreibung aller Stände		0	https://upload.wikimedia.org/wikipedia/commons/1/11/Fotothek_df_tg_0002131_St%C3%A4ndebuch_%5E_Handwerk_%5E_Kandelgie%C3%9Fer_%5E_Zinngie%C3%9Fer_%5E_Kannengie%C3%9Fer.jpg	https://commons.wikimedia.org/wiki/File:Fotothek_df_tg_0002131_Ständebuch_^_Handwerk_^_Kandelgießer_^_Zinngießer_^_Kannengießer.jpg	CC0/PD
workshops	commons	Amman 1568	Brazier / brass smith — Ständebuch	Nuremberg, 1568	Jost Amman (woodcut) & Hans Sachs (verse)	Woodcut from Eygentliche Beschreibung aller Stände		0	https://upload.wikimedia.org/wikipedia/commons/7/7d/Fotothek_df_tg_0002133_St%C3%A4ndebuch_%5E_Handwerk_%5E_Messingschmied_%5E_Rotschmied.jpg	https://commons.wikimedia.org/wiki/File:Fotothek_df_tg_0002133_Ständebuch_^_Handwerk_^_Messingschmied_^_Rotschmied.jpg	CC0/PD
workshops	commons	Amman 1568	Leather-armour maker — Ständebuch	Nuremberg, 1568	Jost Amman (woodcut) & Hans Sachs (verse)	Woodcut from Eygentliche Beschreibung aller Stände		0	https://upload.wikimedia.org/wikipedia/commons/6/68/Fotothek_df_tg_0002138_St%C3%A4ndebuch_%5E_Handwerk_%5E_Lederpanzermacher.jpg	https://commons.wikimedia.org/wiki/File:Fotothek_df_tg_0002138_Ständebuch_^_Handwerk_^_Lederpanzermacher.jpg	CC0/PD
workshops	commons	Amman 1568	Saddler — Ständebuch	Nuremberg, 1568	Jost Amman (woodcut) & Hans Sachs (verse)	Woodcut from Eygentliche Beschreibung aller Stände		0	https://upload.wikimedia.org/wikipedia/commons/b/b1/Fotothek_df_tg_0002153_St%C3%A4ndebuch_%5E_Handwerk_%5E_Sattler.jpg	https://commons.wikimedia.org/wiki/File:Fotothek_df_tg_0002153_Ständebuch_^_Handwerk_^_Sattler.jpg	CC0/PD
workshops	commons	Amman 1568	Bag &amp; pouch maker — Ständebuch	Nuremberg, 1568	Jost Amman (woodcut) & Hans Sachs (verse)	Woodcut from Eygentliche Beschreibung aller Stände		0	https://upload.wikimedia.org/wikipedia/commons/2/24/Fotothek_df_tg_0002154_St%C3%A4ndebuch_%5E_Handwerk_%5E_S%C3%A4ckler_%5E_Taschner_%5E_Beutler.jpg	https://commons.wikimedia.org/wiki/File:Fotothek_df_tg_0002154_Ständebuch_^_Handwerk_^_Säckler_^_Taschner_^_Beutler.jpg	CC0/PD
workshops	commons	Amman 1568	Lantern maker — Ständebuch	Nuremberg, 1568	Jost Amman (woodcut) & Hans Sachs (verse)	Woodcut from Eygentliche Beschreibung aller Stände		0	https://upload.wikimedia.org/wikipedia/commons/8/8e/Fotothek_df_tg_0002160_St%C3%A4ndebuch_%5E_Handwerk_%5E_Laternenmacher.jpg	https://commons.wikimedia.org/wiki/File:Fotothek_df_tg_0002160_Ständebuch_^_Handwerk_^_Laternenmacher.jpg	CC0/PD
workshops	commons	Amman 1568	Joiner / cabinetmaker — Ständebuch	Nuremberg, 1568	Jost Amman (woodcut) & Hans Sachs (verse)	Woodcut from Eygentliche Beschreibung aller Stände		0	https://upload.wikimedia.org/wikipedia/commons/7/73/Fotothek_df_tg_0002164_St%C3%A4ndebuch_%5E_Handwerk_%5E_Schreiner_%5E_Tischler.jpg	https://commons.wikimedia.org/wiki/File:Fotothek_df_tg_0002164_Ständebuch_^_Handwerk_^_Schreiner_^_Tischler.jpg	CC0/PD
workshops	commons	Amman 1568	Crossbow &amp; bow maker — Ständebuch	Nuremberg, 1568	Jost Amman (woodcut) & Hans Sachs (verse)	Woodcut from Eygentliche Beschreibung aller Stände		0	https://upload.wikimedia.org/wikipedia/commons/9/90/Fotothek_df_tg_0002166_St%C3%A4ndebuch_%5E_Handwerk_%5E_Armbrustmacher_%5E_Bogenmacher.jpg	https://commons.wikimedia.org/wiki/File:Fotothek_df_tg_0002166_Ständebuch_^_Handwerk_^_Armbrustmacher_^_Bogenmacher.jpg	CC0/PD
workshops	commons	Amman 1568	Farmer — Ständebuch	Nuremberg, 1568	Jost Amman (woodcut) & Hans Sachs (verse)	Woodcut from Eygentliche Beschreibung aller Stände		0	https://upload.wikimedia.org/wikipedia/commons/5/53/Fotothek_df_tg_0002187_St%C3%A4ndebuch_%5E_Bauer_%5E_Landwirtschaft.jpg	https://commons.wikimedia.org/wiki/File:Fotothek_df_tg_0002187_Ständebuch_^_Bauer_^_Landwirtschaft.jpg	CC0/PD
