family	subject	element	value	unit	evidence_class	source_article	french_quote
castle	motte-and-bailey enclosure	bailey parallelogram length	150	m	measured	Château	un fossé C ferme le quatrième côté du parallélogramme, qui a 150 mètres de long sur 90 mètres à 110 mètres environ
castle	motte-and-bailey enclosure	bailey width range	90 to 110	m	measured	Château	sur 90 mètres à 110 mètres environ
castle	motte-and-bailey enclosure	motte diameter	27	m	measured	Château	s’élève une motte D de 27 mètres de diamètre
castle	motte-and-bailey enclosure	motte ditch width	10 to 15	m	measured	Château	dont le fossé varie en largeur de 10 à 15 mètres
castle	motte-and-bailey enclosure	vallum height	2	m	measured	Château	s’élève un vallum haut de deux mètres environ et large de 10 mètres
castle	motte-and-bailey enclosure	vallum width	10	m	measured	Château	et large de 10 mètres
castle	covered way (crête)	width of the covered way outside the defences	2	m	measured	Château	une crête A , sorte de chemin couvert de deux mètres de largeur
castle	gate defence	gate threshold above the ditch counterscarp	2	m	measured	Château	En K s’ouvre la porte du château ; son seuil est élevé de plus de deux mètres au-dessus de la contrescarpe du fossé L
castle	late elliptical enceinte	segment chord	3	m	measured	Château	c’est une suite de segments de cercle de trois mètres de corde environ, séparés par des portions de courtine d’un mètre seulement
castle	late elliptical enceinte	curtain portion between segments	1	m	measured	Château	séparés par des portions de courtine d’un mètre seulement
keep_donjon	Coucy	donjon external diameter	31	m	measured	Château	le donjon qui porte trente-un mètres de diamètre hors œuvre sur soixante-quatre mètres depuis le fond du fossé jusqu’au couronnement
keep_donjon	Coucy	donjon height, ditch bottom to crown	64	m	measured	Château	sur soixante-quatre mètres depuis le fond du fossé jusqu’au couronnement   [CONFLICT: a FOOTNOTE IN THIS SAME ARTICLE says 'sa hauteur de soixante-cinq environ' = 65 m; the Donjon article says 55 m]
keep_donjon	Coucy	donjon height per this article's own footnote	65	m	measured	Château	son diamètre étant de trente-un mètres et sa hauteur de soixante-cinq environ
keep_donjon	Coucy	projectile drop from the donjon's upper defences	60	m	measured	Château	battu par les défenses supérieures du donjon qui lui envoyaient des projectiles d’une hauteur de 60 mètres
castle	Coucy	plateau escarpment above the valley	50	m	measured	Château	le château de Coucy domine des escarpements assez roides qui s’élèvent de cinquante mètres environ
castle	Coucy	ditch separating château from bailey	20	m	measured	Château	Un fossé de vingt mètres de largeur sépare le château de la basse-cour
