subject	element	value	unit	french_quote	source_article
Antique-system worked example	clear span to be covered (fig.2)	7.60	m	supposons que l’intervalle à couvrir NO soit de sept mètres soixante centimètres	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Charpente	Antique-system arbalétrier scantling (fig.2)	0.20	m (square)	les arbalétriers ayant 0,20 c. d’équarrissage	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Charpente	Antique-system chevron scantling (fig.2)	0.12	m	et les chevrons 0,12 c	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Charpente	Wall thickness required by the antique system for a 7.60 m span [[CORRECTED: the reader's derivation '0.20 + 0.20 + 0.12 stacked outside the rafter line plus bearing = 1.10 m' is FABRICATED - those figures sum to 0.52 and Viollet gives no such sum. His STATED cause is shallow pitch: 'si le comble n'a pas une forte inclinaison et si l'on veut que la rencontre des arbaletriers avec l'entrait ne porte pas a faux, ce systeme exige des murs d'une grande epaisseur.' The 1.10 m is a geometric consequence of low pitch making the rafter/tie junction overhang (porter a faux), not an addition of scantlings - which matters, because the pitch story depends on that coupling.]]	1.10	m	on voit que l’épaisseur des murs doit être de 1,10 c., ce qui est considérable eu égard au peu de largeur du vaisseau	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Charpente	Bahut (wall head) bed available for the plates of a 13th-c great roof	about 1.00	m	L’assiette sur laquelle venaient reposer les sablières des grandes charpentes de combles était donc assez étroite, et se trouvait réduite à un mètre environ	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Charpente	Romanesque roof pitch over barrel vaults (Burgundy type)	45 to 50	degrees	les arbalétriers, n’ayant guère qu’une inclinaison de 45 à 50 degrés	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Charpente	Roof pitch, before the 13th-c change	40 or 50	degrees	on la porta de 40 ou 50 degrés à 60 et même 65 degrés	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Charpente	Roof pitch, after the 13th-c change [[CORRECTED SCOPE. Two stated causes at two dates, not one: (i) mid-12th c, smaller scantlings force a steeper pitch - 'employant des bois moins gros, il fallait donner aux arbaletriers une plus grande inclinaison, afin qu'ils ne flechissent pas sous le poids de la couverture'; (ii) 13th c, the bahut has shrunk to about 1 m and the rafter foot plus purlin depth no longer fits on it. And the change is NOT a France-vs-England discriminator: 'Excepte dans les provinces meridionales, ou les charpentes conserverent une faible inclinaison, partout en France et en Angleterre, on modifia, a la fin du XIIe siecle, le systeme des charpentes apparentes' - England is grouped WITH France; the one low-pitch exception is the French Midi.]]	60 to 65	degrees	on la porta de 40 ou 50 degrés à 60 et même 65 degrés	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Reims cathedral nave roof	truss base (span) [['n'a pas moins de' = not less than. VERIFIED AGAINST THE PLATE: at the plate's own 58.8 px/m the drawn half-base is 7.19 m against the stated 7.20.]]	14.40	m	Les fermes sont taillées sur un triangle qui n’a pas moins de 14 m ,40 de base	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Reims	truss height, apex to base [[VERIFIED AGAINST THE PLATE: drawn rise 911 px = 15.49 m against the stated 15.50; pitch atan(15.50/7.20) = 65.1 deg.]]	15.50	m	sur 15 m ,50 de hauteur du sommet à la base	Charpente, Viollet-le-Duc, Dictionnaire raisonne
