family	subject	element	value	unit	evidence_class	source_article	french_quote
town_house	porte d'allée (pedestrian doorway)	door opening width range	1.00 to 1.50	m	author-rule	Porte	des portes d’allée, c’est-à-dire disposées seulement pour des piétons, d’une largeur de 1 mètre à 1 m ,50, et d’une hauteur de 2 m ,50 à 3 mètres au plus
town_house	porte d'allée (pedestrian doorway)	door opening height range	2.50 to 3.00	m	author-rule	Porte	et d’une hauteur de 2 m ,50 à 3 mètres au plus
town_house	doorway sizing principle	doorways are sized to the body; occupants did not reach 6 pieds	1.95	m	author-rule	Porte	les personnes passant par ces portes n’avaient pas une taille qui atteignit six pieds
hall_manor	interior door tambour / clotet	draught-lobby height	1.95 to 2.27	m	measured	Porte	garnies de tambours ou de clotets , qui, ne s’élevant qu’à une hauteur de 6 à 7 pieds, empêchaient l’air extérieur de pénétrer
church_chapel	romanesque doorway (fig. 58)	door opening width	1.70	m	measured	Porte	la baie n’a pas plus de 1 m ,70 de largeur
church_chapel	doorway jamb order	nook-shaft diameter range	0.16 to 0.33	m	measured	Porte	ces colonnes variant de 0 m , 33 (un pied) de diamètre à 0 m , 16 (six pouces)
church_chapel	doorway sculpture	apostle figures on the encorbellement, height	1.50	m	measured	Porte	décorés de six figures d’apôtres, demi bas-relief, de 1 m ,50 de hauteur environ
curtain_rampart	Scala bastion profile (XVIc, ROMAN feet)	rear rampart thickness	14.89	m	author-rule	Architecture militaire	50 pieds — (Scala parle ici de pieds romains 0,297896.)   [ROMAN pied 0.2979 m, NOT the pied de roi 0.3248 — an 8.4% error if confused]
curtain_rampart	Scala bastion profile (XVIc, ROMAN feet)	parapet thickness	4.47	m	author-rule	Architecture militaire	15 pieds — (Scala parle ici de pieds romains 0,297896.)   [ROMAN pied 0.2979 m, NOT the pied de roi 0.3248 — an 8.4% error if confused]
curtain_rampart	Scala bastion profile (XVIc, ROMAN feet)	parapet height	1.19	m	author-rule	Architecture militaire	4 pieds — (Scala parle ici de pieds romains 0,297896.)   [ROMAN pied 0.2979 m, NOT the pied de roi 0.3248 — an 8.4% error if confused]
curtain_rampart	Scala bastion profile (XVIc, ROMAN feet)	retirade escarpment height	4.17	m	author-rule	Architecture militaire	14 pieds — (Scala parle ici de pieds romains 0,297896.)   [ROMAN pied 0.2979 m, NOT the pied de roi 0.3248 — an 8.4% error if confused]
curtain_rampart	Scala bastion profile (XVIc, ROMAN feet)	parapet K thickness	7.15	m	author-rule	Architecture militaire	24 pieds — (Scala parle ici de pieds romains 0,297896.)   [ROMAN pied 0.2979 m, NOT the pied de roi 0.3248 — an 8.4% error if confused]
curtain_rampart	Scala bastion profile (XVIc, ROMAN feet)	parapet K height above the ditch	14.30	m	author-rule	Architecture militaire	48 pieds — (Scala parle ici de pieds romains 0,297896.)   [ROMAN pied 0.2979 m, NOT the pied de roi 0.3248 — an 8.4% error if confused]
curtain_rampart	De Ville rampart profile (XVIIc)	parapet thickness	5 pas (approx. 8.12 m)	m	author-rule	Architecture militaire	G L sera de cinq pas l’époisseur du parapet ... les pas s’entendent de cinq pieds de roy
curtain_rampart	De Ville rampart profile (XVIIc)	chemin des rondes width	2 pas (approx. 3.25 m)	m	author-rule	Architecture militaire	N Y le chemin des rondes sera d’environ deux pas
curtain_rampart	De Ville rampart profile (XVIIc)	parapet height M Y	7 to 8 pieds (2.27-2.60 m)	m	author-rule	Architecture militaire	M moins de demi pas d’epesseur dont sa hauteur M Y sera de sept ou huit pieds
curtain_rampart	timber-reinforced wall (antique system)	tie-timber length laid in the wall thickness	12.99	m	author-rule	Architecture militaire	les arbres, ayant environ quarante pieds de long, liés entre eux dans l’épaisseur de la muraille, ne peuvent être rompus
