family	source	accession	title	date	culture	medium_technique	measurements	highlight	image_url	object_url	license
daggers_european	met	14.25.1266	Cinquedea	ca. 1500	Italian, possibly Emilia	Steel, gold, copper alloy, horn, brass		0	https://images.metmuseum.org/CRDImages/aa/web-large/14.25.1266_002dec2014.jpg	https://www.metmuseum.org/art/collection/search/22374	CC0/PD
daggers_european	met	04.3.53a, b	Parrying Dagger with Scabbard	ca. 1650–75	Italian, probably Naples	Steel, iron, leather		0	https://images.metmuseum.org/CRDImages/aa/web-large/LC-04_3_53a-001.jpg	https://www.metmuseum.org/art/collection/search/21944	CC0/PD
daggers_european	met	32.75.99	Eared Dagger	1540	Spanish	Ivory, steel, gold		0	https://images.metmuseum.org/CRDImages/aa/web-large/LC-32_75_99-013.jpg	https://www.metmuseum.org/art/collection/search/32288	CC0/PD
daggers_european	met	26.145.7	Ballock Knife	ca. 1450–1500	Western European, possibly Britain	Steel, bone, lead		0	https://images.metmuseum.org/CRDImages/aa/web-large/sf26-145-7s1.jpg	https://www.metmuseum.org/art/collection/search/32648	CC0/PD
daggers_european	met	25.188.5a, b	Ballock Knife with Sheath	late 16th century	British	Steel, wood, gold		0	https://images.metmuseum.org/CRDImages/aa/web-large/DP-15647-013.jpg	https://www.metmuseum.org/art/collection/search/32778	CC0/PD
daggers_european	met	51.170.2	Parrying Dagger	ca. 1650–75	Italian, possibly Naples	Steel, iron		0	https://images.metmuseum.org/CRDImages/aa/web-large/LC-51_170_2-003.jpg	https://www.metmuseum.org/art/collection/search/24821	CC0/PD
daggers_eastern	cma	1985.119	Katar dagger	1700s	India, Mughal	Iron handle with gold inlay; steel blade; wooden sheath with velvet cover, brass boss, iron tip with gold inlay	Overall: 45.6 x 8.2 cm (17 15/16 x 3 1/4 in.)	0	https://openaccess-cdn.clevelandart.org/1985.119/1985.119_web.jpg	https://clevelandart.org/art/1985.119	CC0/PD
daggers_eastern	cma	1985.119.b	Katar (Stabbing Dagger): Sheath	1700s	India, Mughal	wooden sheath with velvet cover, brass boss, iron tip with gold inlay	Overall: 8.2 cm (3 1/4 in.)	0	https://openaccess-cdn.clevelandart.org/1985.119.b/1985.119.b_web.jpg	https://clevelandart.org/art/1985.119.b	CC0/PD
daggers_eastern	cma	1930.708	Khanjar dagger	c. 1600s	India	Jade hilt with iron and gold; steel blade with iron and gold; wood sheath covered in velvet with metallic thread	Overall: 34.4 cm (13 9/16 in.)	0	https://openaccess-cdn.clevelandart.org/1930.708/1930.708_web.jpg	https://clevelandart.org/art/1930.708	CC0/PD
daggers_eastern	cma	1916.720	Dagger (Gwálaa)	late 1800s–early 1900s	Native North America, Northwest Coast, Alaska, Tlingit	ivory, fiber, leather, metal (steel), shell	Overall: 3.8 x 4.8 cm (1 1/2 x 1 7/8 in.); Blade: 19.1 cm (7 1/2 in.)	0	https://openaccess-cdn.clevelandart.org/1916.720/1916.720_web.jpg	https://clevelandart.org/art/1916.720	CC0/PD
daggers_eastern	met	36.25.665	Dagger (Jambiya)	18th century	Indian, Mughal	Steel, ivory (walrus), silver, ruby, rose quartz		0	https://images.metmuseum.org/CRDImages/aa/web-large/LC-36_25_665-004.jpg	https://www.metmuseum.org/art/collection/search/31837	CC0/PD
daggers_eastern	met	36.25.973a, b	Dagger (Katar) and Sheath	17th century	Indian, Mughal	Steel, leather, gold		0	https://images.metmuseum.org/CRDImages/aa/web-large/LC-36_25_973a_b-010-2.jpg	https://www.metmuseum.org/art/collection/search/24306	CC0/PD
axes	cma	1929.364	Ceremonial Axe (gano)	1900s, by 1928	Southern Africa, Zimbabwe, Shona-style blacksmith-carver	Iron, wood, and metal	Overall: 15.8 cm (6 1/4 in.)	0	https://openaccess-cdn.clevelandart.org/1929.364/1929.364_web.jpg	https://clevelandart.org/art/1929.364	CC0/PD
axes	cma	1916.1599	Battle Axe	late 1500s	Italy, late 16th Century	steel, inset with copper rosette	Blade: 8.3 cm (3 1/4 in.); Head: 27.3 cm (10 3/4 in.)	0	https://openaccess-cdn.clevelandart.org/1916.1599/1916.1599_web.jpg	https://clevelandart.org/art/1916.1599	CC0/PD
axes	met	14.25.340	Pollaxe	ca. 1475	Italian, Venice	Steel, wood, iron, brass, textile, gold		0	https://images.metmuseum.org/CRDImages/aa/web-large/14.25.340_001jan2015.jpg	https://www.metmuseum.org/art/collection/search/26758	CC0/PD
