bom_row_id,candidate_id,building,element,value,unit,value_m,datum,evidence_class,uncertainty_type,verified_full_res,source_id,leaf_ref,quote
B000,BC-01A-kensworth,Kensworth manor house — hall,internal length,35 ft,ft,10.668,unstated,documentary-survey,,yes,addy1898,n164 (printed 130),"consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The ""house"" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]"
B001,BC-01A-kensworth,Kensworth manor house — hall,internal breadth,30 ft,ft,9.144,unstated,documentary-survey,,yes,addy1898,n164 (printed 130),"consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The ""house"" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]"
B002,BC-01A-kensworth,Kensworth manor house — hall,"height, floor to ridge-tree",22 ft,ft,6.706,"height, floor to ridge-tree",documentary-survey,,yes,addy1898,n164 (printed 130),"consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The ""house"" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]"
B003,BC-01A-kensworth,Kensworth manor house — hall,"height, floor to tie-beams",11 ft,ft,3.353,"height, floor to tie-beams",documentary-survey,,yes,addy1898,n164 (printed 130),"consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The ""house"" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]"
B004,BC-01A-kensworth,Kensworth manor house — hall,"height, tie-beams to ridge-tree",11 ft,ft,3.353,"height, tie-beams to ridge-tree",documentary-survey,,yes,addy1898,n164 (printed 130),"consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The ""house"" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]"
B005,BC-01A-kensworth,"Kensworth manor house — ""house"" (domus, the entry between hall and bower)",internal length,12 ft,ft,3.658,unstated,documentary-survey,,yes,addy1898,n164 (printed 130),"consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The ""house"" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]"
B006,BC-01A-kensworth,"Kensworth manor house — ""house"" (domus, the entry between hall and bower)",internal breadth,17 ft,ft,5.182,unstated,documentary-survey,,yes,addy1898,n164 (printed 130),"consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The ""house"" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]"
B007,BC-01A-kensworth,"Kensworth manor house — ""house"" (domus, the entry between hall and bower)","height, floor to ridge-tree",17 ft,ft,5.182,"height, floor to ridge-tree",documentary-survey,,yes,addy1898,n164 (printed 130),"consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The ""house"" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]"
B008,BC-01A-kensworth,"Kensworth manor house — ""house"" (domus, the entry between hall and bower)","height, floor to tie-beams",10 ft,ft,3.048,"height, floor to tie-beams",documentary-survey,,yes,addy1898,n164 (printed 130),"consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The ""house"" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]"
B009,BC-01A-kensworth,"Kensworth manor house — ""house"" (domus, the entry between hall and bower)","height, tie-beams to ridge-tree",7 ft,ft,2.134,"height, tie-beams to ridge-tree",documentary-survey,,yes,addy1898,n164 (printed 130),"consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The ""house"" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]"
