canonical_element,BC-00-gunthwaite,BC-01A-kensworth,BC-01B-chalfield,BC-02A-hatfield-mud,BC-02B-booth1350,BC-03A-walton,BC-03B-berwick,BC-04A-rushy-lee,BC-04B-bolsterstone,BC-05A-forge1350,BC-06A-peveril,BC-06B-coucy,BC-07A-crenel-set,BC-07B-carcassonne,BC-08A-fitzalwyne,BC-08B-viollet-town,BC-09A-padley,BC-09B-charney,BC-10A-hornsea,BC-10B-lavenham,BC-12A-gallarus,BC-12B-teampull,RESERVE-beetham,RESERVE-cholsey
height,1,1,0.5,1,,1,,,1,,1,1,,0.5,,1,,,1,0.5,1,1,,0.5
internal_length,1,1,0.5,,1,1,1,,,1,1,,,,,,1,1,,0.5,1,,1,0.5
internal_width,1,1,0.5,1,,1,1,,1,,1,,,,,,1,1,,0.5,1,,1,
width,,,,,1,,1,,,1,1,,,,,1,,,1,0.5,1,1,,
opening_width,,,,1,,,,1,,,1,,,,,1,1,,1,,1,,,
internal_height,1,1,,,,1,,,,,1,,,,,0.5,1,,,,,,,
opening_height,,,,,,,,1,,,,,,,,1,1,,,,1,1,,
wall_thickness,,,,1,,,,,,,,,,0.5,,1,1,,,,,1,,
bay_spacing,1,,,,,,,1,1,,,,,0.5,,,,,,,,,,
length,,,,,,,,,,,,,,,,1,,,,0.5,,1,,
diameter,,,,,,,,,,,,1,,0.5,,1,,,,,,,,
external_length,,,,1,,,,1,,,,,,,,,,,,,,,,
plan_dimension,,,,,,,,,,,,,,,,,1,,1,,,,,
sill_height_above_floor,,,,,,,,,,,1,,,,,,1,,,,,,,
member_section,1,,,,,,,,,,,,,,,,,,,,,,,0.5
projection,,,,1,,,,,,,,,,,,,,,,0.5,,,,
putlog_hole,,,,,,,,,,,,,,0.5,,,,,,,1,,,
hearth_screen,,,,1,,,,,,,,,,,,,,,,,,,,
external_width,,,,,,,,1,,,,,,,,,,,,,,,,
depth,,,,,,,,,,,1,,,,,,,,,,,,,
level_difference,,,,,,,,,,,,1,,,,,,,,,,,,
gap,,,,,,,,,,,,1,,,,,,,,,,,,
external_height,,,,,,,,,,,,,,,,1,,,,,,,,
thickness,,,,,,,,,,,,,,,,1,,,,,,,,
count,,,,,,,,,,,,,,,,0.5,,,,,,,,
