source_id	leaf	printed_page	figure_no	caption	topic_tags	section_keyword
ellis1902	34	read off page (offset drifts)	40	Section of Common Ovolo Sash'Plane	sash_window;moulding;stair	yes
ellis1902	34	read off page (offset drifts)	41	Section of Gothic Ovolo Sash Plane	sash_window;moulding;stair	yes
ellis1902	34	read off page (offset drifts)	42	Grecian Ovolo Sash Plane	sash_window;moulding;stair	no
ellis1902	34	read off page (offset drifts)	44	Astragal and Hollow Plane	sash_window;moulding;stair	no
ellis1902	34	read off page (offset drifts)	45	Hook Joint Plane	sash_window;moulding;stair	yes
ellis1902	35	read off page (offset drifts)	47	Chariot Plane	sash_window;casement	no
ellis1902	35	read off page (offset drifts)	48	Chamfer Plane	sash_window;casement	no
ellis1902	36	read off page (offset drifts)	57	Firmer Gouge	sash_window	no
ellis1902	36	read off page (offset drifts)	58	Plugging Chisel	sash_window	no
ellis1902	48	read off page (offset drifts)	95	Sash Cramp, Iron	sash_window	no
ellis1902	48	read off page (offset drifts)	96	Scotch Bench Cramp	sash_window	no
ellis1902	48	read off page (offset drifts)	99	Iron Cleat	sash_window	no
ellis1902	65	read off page (offset drifts)	131	Method of Setting Out Dowels	sash_window;door;moulding	yes
ellis1902	106	read off page (offset drifts)	286	Enlarged Detail of Ledge	door;frame_general	yes
ellis1902	107	read off page (offset drifts)	1	THE CHAMFERED	door;frame_general;moulding	no
ellis1902	107	read off page (offset drifts)	289	Section on A B	door;frame_general;moulding	yes
ellis1902	107	read off page (offset drifts)	2	RAISED AND FLAT or RAISED AND FIELDED	door;frame_general;moulding	no
ellis1902	107	read off page (offset drifts)	3	RAISED, SUNK, AND FIELDED (as at B, Fig	door;frame_general;moulding	no
ellis1902	109	read off page (offset drifts)	293	Plan and Sections of a Chamfered Raised Panel	door;frame_general;moulding	yes
ellis1902	109	read off page (offset drifts)	291	Vertical Section at A	door;frame_general;moulding	yes
ellis1902	109	read off page (offset drifts)	292	Horizontal Section below Lock Rail	door;frame_general;moulding	yes
ellis1902	109	read off page (offset drifts)	294	Bolection Moulding	door;frame_general;moulding	no
ellis1902	109	read off page (offset drifts)	295	Raised, Sunk, and Moulded Panel	door;frame_general;moulding	no
