accession,gate,gate_failures,museum,url,museum_title,source_object_name,maker,date,medium,dimensions_published,rights,view_count,department
"2013.956a, b",FAIL,only 2 view(s); gate requires 3+,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/631986,Console from the drawing room of the William H. Vanderbilt House,Console,Herter Brothers,1879–82,"Gilded wood, mother-of-pearl, Egyptian alabaster, and composition ornament",35 1/4 × 34 1/4 in. (89.5 × 87 cm),Public Domain / CC0 (Met Open Access),2,The American Wing
1992.80,FAIL,only 2 view(s); gate requires 3+,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/14430,Chair,Chair,Herter Brothers,1877–79,"Ebonized cherry, marquetry of lighter woods, gilding",37 5/16 x 17 1/16 x 18 1/8 in. (94.8 x 43.3 x 46 cm),Public Domain / CC0 (Met Open Access),2,The American Wing
2014.530.2,FAIL,only 2 view(s); gate requires 3+,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/20608,Cabinet,Cabinet,Herter Brothers,1879–82,"Cherry, brass, and later silk textiles",76 7/8 x 60 x 12 in. (195.3 x 152.4 x 30.5 cm),Public Domain / CC0 (Met Open Access),2,The American Wing
69.146.5,FAIL,only 1 view(s); gate requires 3+,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/4877,Looking Glass,Looking glass,Herter Brothers,ca. 1880,Cherry,61 3/4 x 41 5/8 x 1 3/4 in. (156.8 x 105.7 x 4.4 cm),Public Domain / CC0 (Met Open Access),1,The American Wing
69.146.4,FAIL,only 1 view(s); gate requires 3+,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/5410,Night Table,Night table,Herter Brothers,ca. 1880,Cherry,31 x 16 3/4 x 16 3/4 in. (78.7 x 42.5 x 42.5 cm),Public Domain / CC0 (Met Open Access),1,The American Wing
1972.76,FAIL,only 1 view(s); gate requires 3+,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/221,Armchair,Armchair,Herter Brothers,1865–70,"Rosewood, marquetry, gilt",34 5/8 x 25 x 26 3/4 in. (87.9 x 63.5 x 67.9 cm),Public Domain / CC0 (Met Open Access),1,The American Wing
69.127,FAIL,only 1 view(s); gate requires 3+,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/3680,Firescreen,Firescreen,Herter Brothers,ca. 1880,"Cherry, stained glass",38 x 45 1/8 in. (96.5 x 114.6 cm),Public Domain / CC0 (Met Open Access),1,The American Wing
1973.168.2,FAIL,only 1 view(s); gate requires 3+,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/8080,Table,Table,Herter Brothers,1870–75,Wood,H. 36 in. (91.4 cm); Diam. 20 in. (50.8 cm),Public Domain / CC0 (Met Open Access),1,The American Wing
1973.168.1,FAIL,only 1 view(s); gate requires 3+,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/3453,Drop-leaf Table,Drop-leaf table,Herter Brothers,1870–75,Wood,Dimensions unavailable,Public Domain / CC0 (Met Open Access),1,The American Wing
1998.108,FAIL,only 0 view(s); gate requires 3+; image rights not open access (supplementary use only),Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/16305,Pedestal,Pedestal,Herter Brothers,1880–85,Ebonized cherry with black marble top,H. 54 in. (137.2 cm),NOT open access - rights restricted,0,The American Wing
2002.396.1a–e,FAIL,only 0 view(s); gate requires 3+; image rights not open access (supplementary use only),Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/17491,Cabinet,Cabinet,Herter Brothers,ca. 1883,"Rosewood (secondary wood: poplar), brass inlay, beveled glass doors, velvet lining.",64 1/2 x 54 3/8 x 14 1/4 in. (163.8 x 138.1 x 36.2 cm),NOT open access - rights restricted,0,The American Wing
2002.396.2,FAIL,only 0 view(s); gate requires 3+; image rights not open access (supplementary use only),Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/17493,Ottoman,Ottoman,Herter Brothers,ca. 1881–82,"Rosewood (secondary woods: cedar, chestnut), leather, replacement upholstery",16 1/2 x 15 5/8 x 15 1/4 in. (41.9 x 39.7 x 38.7 cm),NOT open access - rights restricted,0,The American Wing
1995.149,FAIL,only 0 view(s); gate requires 3+; image rights not open access (supplementary use only),Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/15293,Reception Chair,Reception chair,Herter Brothers,ca. 1880,Painted and gilded maple,34 5/8 x 18 13/16 x 18 in. (87.9 x 47.8 x 45.7 cm),NOT open access - rights restricted,0,The American Wing
2019.158,FAIL,only 0 view(s); gate requires 3+; image rights not open access (supplementary use only),Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/788934,Side Chair,Side Chair,Herter Brothers,ca. 1878,"Ebonized wood, unidentified metals, and replacement silk upholstery",34 1/4 × 17 1/2 × 19 1/2 in. (87 × 44.5 × 49.5 cm),NOT open access - rights restricted,0,The American Wing
1994.442,PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/14971,Side Chair,Side Chair,Herter Brothers,1879–82,Gilded maple,34 7/16 x 17 x 19 in. (87.5 x 43.2 x 48.3 cm),Public Domain / CC0 (Met Open Access),13,The American Wing
1994.80,PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/5027,Side chair,Side chair,Herter Brothers,1879–82,"Oak, brass, and reproduction leather upholstery",35 x 23 7/8 x 21 3/4 in. (88.9 x 60.6 x 55.2 cm),Public Domain / CC0 (Met Open Access),12,The American Wing
1972.47,PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/4785,Library Table,Library table,Herter Brothers,1879–82,"Rosewood, brass, mother-of-pearl, and abalone",31 1/4 x 60 x 35 3/4 in. (79.4 x 152.4 x 90.8 cm),Public Domain / CC0 (Met Open Access),11,The American Wing
"69.140a, b",PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/9724,Wardrobe,Wardrobe,Herter Brothers,1875–1883,Cherry,78 1/2 x 49 1/2 x 26 in. (199.4 x 125.7 x 66 cm),Public Domain / CC0 (Met Open Access),10,The American Wing
2014.530.1.1,PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/20516,Side chair,Side chair,Herter Brothers,1879,"Rosewood, brass, mother-of-pearl, and reproduction upholstery",14 1/2 x 19 1/2 x 44 in. (36.8 x 49.5 x 111.8 cm),Public Domain / CC0 (Met Open Access),10,The American Wing
2014.530.1.2,PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/667969,Side chair,Side chair,Herter Brothers,1879,"Rosewood, brass, mother-of-pearl, and reproduction upholstery",14 1/2 x 19 1/2 x 44 in. (36.8 x 49.5 x 111.8 cm),Public Domain / CC0 (Met Open Access),10,The American Wing
1999.79,PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/16576,Cabinet,Cabinet,Herter Brothers,ca. 1883,"Maple, with painted and gilded surface, bevelled glass, silk velvet, brass",64 1/2 x 71 x 14 1/2 in. (163.8 x 180.3 x 36.8 cm),Public Domain / CC0 (Met Open Access),10,The American Wing
2002.298.1,PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/17440,Pedestal from the drawing room of the William H. Vanderbilt House,Pedestal,Herter Brothers,1879–82,"Egyptian alabaster, gilt brass, and reproduction red glass jewels",64 1/4 x 10 15/16 x 10 15/16 in. (163.2 x 27.8 x 27.8 cm),Public Domain / CC0 (Met Open Access),8,The American Wing
2002.298.2,PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/18560,Pedestal from the drawing room of the William H. Vanderbilt House,Pedestal,Herter Brothers,1879–82,"Egyptian alabaster, gilt brass, and reproduction red glass jewels",64 1/4 x 10 15/16 x 10 15/16 in. (163.2 x 27.8 x 27.8 cm),Public Domain / CC0 (Met Open Access),8,The American Wing
1994.441,PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/14984,Chair,Side Chair,Herter Brothers,1869–70,Rosewood; marquetry of various woods; gilding composition material,35 3/4 x 16 1/2 x 19 7/8 in. (90.8 x 41.9 x 50.5 cm),Public Domain / CC0 (Met Open Access),7,The American Wing
2012.216,PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/21362,Armchair,Armchair,Herter Brothers,1881–82,"Gilded wood, mother-of-pearl, and original silk velvet upholstery",33 1/2 x 27 x 28 in. (85.1 x 68.6 x 71.1 cm),Public Domain / CC0 (Met Open Access),6,The American Wing
69.146.3,PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/7366,"Secretary from the Jay Gould House, New York City",Secretary,Herter Brothers,1882,"Ebonized cherry, mahogany, cedar, and brass",54 x 34 1/8 x 19 in. (137.2 x 86.7 x 48.3 cm),Public Domain / CC0 (Met Open Access),6,The American Wing
1999.488,PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/16719,Armchair,Armchair,Herter Brothers,ca. 1875,"Gilded wood (probably cherry, maple or ash), modern upholstery with original underupholstery materials",28 1/4 x 28 x 20 1/4 in. (71.8 x 71.1 x 51.4 cm),Public Domain / CC0 (Met Open Access),5,The American Wing
2016.377,PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/17473,Side Chair,Side chair,Herter Brothers,ca. 1882,"Gilded maple, inlaid with mother-of-pearl, and modern upholstery",34 5/8 x 16 x 17 1/2 in. (87.9 x 40.6 x 44.5 cm),Public Domain / CC0 (Met Open Access),5,The American Wing
69.146.2,PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/2021,Chest of Drawers,Chest of drawers,Herter Brothers,ca. 1880,"Cherry, poplar, cedar",31 3/8 x 52 7/8 x 23 3/4 in. (79.7 x 134.3 x 60.3 cm),Public Domain / CC0 (Met Open Access),5,The American Wing
69.146.1,PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/443,Bedstead,Bedstead,Herter Brothers,ca. 1880,Cherry,118 x 69 1/2 x 89 1/2 in. (299.7 x 176.5 x 227.3 cm),Public Domain / CC0 (Met Open Access),5,The American Wing
1996.278,PASS,,Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/15552,Portiere,Portiere,Herter Brothers,ca. 1878–80,"Silk velvet, cotton, wool",122 x 82 in. (309.9 x 208.3 cm),Public Domain / CC0 (Met Open Access),5,The American Wing
