slot,candidate_id,gate,gate_failures,museum,accession,url,museum_title,source_object_name,maker,date,culture,medium,dimensions_published,measurement_class,credit_line,rights,view_count,verification
01_armchair,FC-01-1999_488,PASS,,Metropolitan Museum of Art,1999.488,https://www.metmuseum.org/art/collection/search/16719,Armchair,Armchair,Herter Brothers,ca. 1875,American,"Gilded wood (probably cherry, maple or ash), modern upholstery with original underupholstery materials",28 1/4 x 28 x 20 1/4 in. (71.8 x 71.1 x 51.4 cm),PUBLISHED,"Gift of Ann Pyne, 1999",Public Domain / CC0 (Met Open Access),5,API re-verified in this session
01_armchair,FC-01-2012_216,PASS,,Metropolitan Museum of Art,2012.216,https://www.metmuseum.org/art/collection/search/21362,Armchair,Armchair,Herter Brothers,1881–82,American,"Gilded wood, mother-of-pearl, and original silk velvet upholstery",33 1/2 x 27 x 28 in. (85.1 x 68.6 x 71.1 cm),PUBLISHED,"Purchase, Barrie A. and Deedee Wigmore Foundation Gift, 2012",Public Domain / CC0 (Met Open Access),6,API re-verified in this session
02_stool,FC-02-67_230,PASS,,Metropolitan Museum of Art,67.230,https://www.metmuseum.org/art/collection/search/3790,Footstool,Footstool,American,ca. 1880,American,Maple,12 x 15 1/2 x 12 in. (30.5 x 39.4 x 30.5 cm),PUBLISHED,"Rogers Fund, 1967",Public Domain / CC0 (Met Open Access),3,API re-verified in this session
02_stool,FC-02-60_4_14,PASS,,Metropolitan Museum of Art,60.4.14,https://www.metmuseum.org/art/collection/search/3794,Footstool,Footstool,Duncan Phyfe,1810–20,American,"Mahogany, gilt brass",7 x 13 3/4 x 8 7/8 in. (17.8 x 34.9 x 22.5 cm),PUBLISHED,"Gift of C. Ruxton Love Jr., 1960",Public Domain / CC0 (Met Open Access),4,API re-verified in this session
03_settee,FC-03-2011_3,PASS,,Cleveland Museum of Art,2011.3,https://clevelandart.org/art/2011.3,Settee,Wood,"Thomas Hope (British, 1769–1831); Unknown Maker (British)",c. 1802–07,"England, 19th century","gilt-wood, reproduction wool upholstery",Overall: 102.2 x 113 x 71.1 cm (40 1/4 x 44 1/2 x 28 in.),PUBLISHED,Leonard C. Hanna Jr. Fund,CC0,11,API re-verified in this session
03_settee,FC-03-30_120_59,PASS,,Metropolitan Museum of Art,30.120.59,https://www.metmuseum.org/art/collection/search/7387,Settee,Settee,American,1760–90,American,"Mahogany, maple, cedar, birch, white pine",36 3/8 x 57 1/2 x 26 in. (92.4 x 146.1 x 66 cm),PUBLISHED,"The Sylmaris Collection, Gift of George Coe Graves, 1930",Public Domain / CC0 (Met Open Access),9,API re-verified in this session
04_side_table,FC-04-1972_47,PASS,,Metropolitan Museum of Art,1972.47,https://www.metmuseum.org/art/collection/search/4785,Library Table,Library table,Herter Brothers,1879–82,American,"Rosewood, brass, mother-of-pearl, and abalone",31 1/4 x 60 x 35 3/4 in. (79.4 x 152.4 x 90.8 cm),PUBLISHED,"Purchase, Gift of Mrs. Russell Sage, by exchange, 1972",Public Domain / CC0 (Met Open Access),11,API re-verified in this session
04_side_table,FC-04-1969_262,PASS,,Cleveland Museum of Art,1969.262,https://clevelandart.org/art/1969.262,Game Table,Furniture and woodwork,"George Hepplewhite (American, 1786)",c. 1800,"America, Maryland, Baltimore, early 19th Century",mahogany with inlays of various woods,Overall: 73.8 x 99.7 x 49.1 cm (29 1/16 x 39 1/4 x 19 5/16 in.),PUBLISHED,Gift of Mrs. Clyde Comstock,CC0,13,API re-verified in this session
05_desk,FC-05-69_146_3,PASS,,Metropolitan Museum of Art,69.146.3,https://www.metmuseum.org/art/collection/search/7366,"Secretary from the Jay Gould House, New York City",Secretary,Herter Brothers,1882,American,"Ebonized cherry, mahogany, cedar, and brass",54 x 34 1/8 x 19 in. (137.2 x 86.7 x 48.3 cm),PUBLISHED,"Gift of Paul Martini, 1969",Public Domain / CC0 (Met Open Access),6,API re-verified in this session
05_desk,FC-05-1974-224-1ab,PASS (page-verified),,Philadelphia Museum of Art,"1974-224-1a,b",https://www.philamuseum.org/objects/69517,Desk,"Desks (PMA ObjectName field); Classification ""Furniture/Furnishings""","Frank Furness (American, 1839 - 1912), Designer, ""Designed by""; Daniel Pabst (American (born Germany), 1826 - 1910), Maker, ""Made by""",1870-1871,"NOT STATED — record gives Geography: ""Made in"", City ""Philadelphia"", Country ""United States""; Department ""American Art""","Walnut, walnut veneer; rosewood (knobs); brass, iron, steel, glass",6 feet 5 1/2 inches × 62 inches × 32 1/4 inches (196.9 × 157.5 × 81.9 cm),PUBLISHED,NOT STATED,"""RightsType"":""Public Domain"" (object-level field in the page's embedded record). Site-wide notice also reads: ""Images on this site are shared for educational use. For image rights, permissions, or to learn more about image rights and access, email [email protected]""",9,PAGE-VERIFIED ONLY - no open API; view count counted by eye
