component,FC-01-1999_488,FC-01-2012_216,FC-02-67_230,FC-03-2011_3,FC-03-30_120_59,FC-04-1972_47,FC-04-1969_262,FC-05-69_146_3,FC-06-69_146_2,FC-07-1999_79,FC-08-69_140ab,FC-08-2019_59,FC-09-69_146_1,FC-09-1954_151,FC-10-1971_281,FC-10-1984_161,FC-11-10_125_133,FC-12-2002_298_1,n_objects
apron,1,1,,,,1,1,,,1,,,,1,1,,,,7
back board,,,,1,,1,,1,1,1,1,1,1,,1,1,,,10
brace,1,1,1,,1,1,1,1,,1,,1,1,1,1,1,,1,14
bracket,1,1,,1,1,1,,,1,1,1,1,1,,,,,,10
castor,,1,,1,,1,,,,,,,1,,,,,,4
cover shell,1,1,1,1,1,,,1,,1,,,,1,,,,,8
crest/cornice,1,1,,1,1,,,1,1,1,1,1,1,1,,,,1,12
door leaf,,,,,,,,,,1,1,1,,,,,,,3
drawer bottom,,,,,,1,,1,1,1,1,1,,,,1,1,,8
drawer front,,,,,,1,,1,1,1,1,1,,,,1,1,,8
drawer side,,,,,,1,,1,1,1,1,1,,,,1,1,,8
finial,,1,1,1,,,,,,,1,,1,1,,,,1,7
fixed stop,,,,,,1,1,1,1,,1,1,,,,1,1,,8
floating panel,1,1,,1,,1,,1,1,1,1,1,1,,1,1,,,12
foot,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
front leg,1,1,1,1,1,,1,,,1,,,,1,1,,1,,10
gallery,,,,1,,,,,,,,,1,,,,,,2
guide,,,,,,1,,1,1,1,1,1,,,,1,1,,8
handle,,,,,,1,,1,1,1,1,1,,,,1,1,,8
hinge leaf,,,,,,,1,1,,1,1,1,,,1,1,1,,8
inlay path,,1,1,1,,1,1,1,1,1,1,1,1,,,,,1,12
latch,,,,,,,,,,,,1,,,1,1,,,3
lattice bridge,,1,,,,,,1,,1,,,,,,,,,3
lattice upright,,1,,,,,,1,,,,,,,,,,,2
lid,,,,,,,,1,,,,,,,1,1,,,3
lock/escutcheon,,,,,,1,,1,1,1,1,1,,,1,1,,,8
moulding run,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,16
padding mass,1,1,1,1,1,,,,,,,,,1,,,,,6
panel frame,1,1,,1,,1,,1,1,1,1,1,1,1,1,1,,,13
pintle,,,,,,,1,,,,1,1,1,1,,1,1,,7
plinth,1,,,,,1,,1,1,,1,1,1,1,,1,,1,10
post,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
rail,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,17
rear leg/stile,1,1,,1,1,,1,1,,1,,1,1,1,1,1,1,,13
repeated ornament master,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,17
runner,,,,,,1,,1,1,1,1,1,1,,,1,1,,9
shelf,,,,,,1,,1,1,1,1,1,,,1,1,,,8
side board,,,,,,,,,1,1,1,,,,1,1,,,5
strap/band,,1,,1,,1,,,,,,,1,1,,,,,5
stretcher,,1,,1,,1,,,,,,,,,,,1,,4
textile support,,,,1,,,,,,,,,1,1,,,,,3
top slab,,,,,,1,1,1,1,1,1,1,1,,,,1,1,10
trim path,1,1,1,1,1,1,,,,,,,,1,,1,,1,9
turned spindle,1,,,1,,1,,,,,,,1,,,1,,1,6
upholstery webbing,1,1,1,1,1,,,,,,,,,1,,,,,6
wedge/key,,,,,,,,,,,,1,,1,1,1,1,,5
