component,n_objects,pct_of_corpus,total_instances_rows
repeated ornament master,17,94%,33
rail,17,94%,34
post,17,94%,19
foot,17,94%,17
moulding run,16,89%,19
brace,14,78%,16
rear leg/stile,13,72%,13
panel frame,13,72%,13
inlay path,12,67%,13
floating panel,12,67%,13
crest/cornice,12,67%,13
top slab,10,56%,10
plinth,10,56%,10
front leg,10,56%,10
bracket,10,56%,13
back board,10,56%,11
trim path,9,50%,12
runner,9,50%,9
shelf,8,44%,9
lock/escutcheon,8,44%,8
hinge leaf,8,44%,8
handle,8,44%,9
guide,8,44%,8
fixed stop,8,44%,8
drawer side,8,44%,8
drawer front,8,44%,8
drawer bottom,8,44%,8
cover shell,8,44%,8
pintle,7,39%,7
finial,7,39%,8
apron,7,39%,8
upholstery webbing,6,33%,7
turned spindle,6,33%,7
padding mass,6,33%,6
wedge/key,5,28%,5
strap/band,5,28%,5
side board,5,28%,5
stretcher,4,22%,5
castor,4,22%,4
textile support,3,17%,3
lid,3,17%,4
lattice bridge,3,17%,3
latch,3,17%,3
door leaf,3,17%,3
lattice upright,2,11%,2
gallery,2,11%,2
