accession,view_index,image_url,rights,note
1982.5,0,https://openaccess-cdn.clevelandart.org/1982.5/1982.5_web.jpg,CC0,URL retained; image not redistributed
1982.5,1,https://openaccess-cdn.clevelandart.org/1982.5/1982.5_alt0_web.jpg,CC0,URL retained; image not redistributed
1982.5,2,https://openaccess-cdn.clevelandart.org/1982.5/1982.5_alt1_web.jpg,CC0,URL retained; image not redistributed
1999.488,0,https://images.metmuseum.org/CRDImages/ad/original/DP-23690-005.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
1999.488,1,https://images.metmuseum.org/CRDImages/ad/original/DP-23690-004.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
1999.488,2,https://images.metmuseum.org/CRDImages/ad/original/DP-23690-003.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
1999.488,3,https://images.metmuseum.org/CRDImages/ad/original/DP-23690-002.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
1999.488,4,https://images.metmuseum.org/CRDImages/ad/original/DP-23690-001.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
1972.47,0,https://images.metmuseum.org/CRDImages/ad/original/DP351110.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
1972.47,1,https://images.metmuseum.org/CRDImages/ad/original/DP351099.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
1972.47,2,https://images.metmuseum.org/CRDImages/ad/original/DP351101.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
1972.47,3,https://images.metmuseum.org/CRDImages/ad/original/DP351102.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
1972.47,4,https://images.metmuseum.org/CRDImages/ad/original/DP351103.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
1972.47,5,https://images.metmuseum.org/CRDImages/ad/original/DP351104.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
1972.47,6,https://images.metmuseum.org/CRDImages/ad/original/DP351105.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
1972.47,7,https://images.metmuseum.org/CRDImages/ad/original/DP351109.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
1972.47,8,https://images.metmuseum.org/CRDImages/ad/original/DT183.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
1972.47,9,https://images.metmuseum.org/CRDImages/ad/original/DP351100.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
1972.47,10,https://images.metmuseum.org/CRDImages/ad/original/DP351106.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
"69.140a, b",0,https://images.metmuseum.org/CRDImages/ad/original/DP235302.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
"69.140a, b",1,https://images.metmuseum.org/CRDImages/ad/original/DP235304.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
"69.140a, b",2,https://images.metmuseum.org/CRDImages/ad/original/DP240928.jpg,Public Domain / CC0 (Met Open Access),URL retained; image not redistributed
