rank,component,priority_score,n_objects,pct_corpus,mean_reuse_weight,mean_evidence_quality,dominant_reuse_class
1,foot,94.9,17,94%,0.98,0.91,exact accepted donor reuse
2,post,94.7,17,94%,0.96,0.94,parameterized recipe reuse
3,rail,94.2,17,94%,0.96,0.90,parameterized recipe reuse
4,repeated ornament master,93.6,17,94%,0.89,0.98,exact accepted donor reuse
5,moulding run,89.8,16,89%,0.90,0.94,shared profile or curve reuse
6,rear leg/stile,81.9,13,72%,1.00,0.91,parameterized recipe reuse
7,brace,80.9,14,78%,0.93,0.74,parameterized recipe reuse
8,panel frame,79.2,13,72%,0.88,0.93,assembly-grammar reuse
9,floating panel,78.9,12,67%,0.98,0.95,parameterized recipe reuse
10,crest/cornice,78.6,12,67%,0.94,1.00,parameterized recipe reuse
11,inlay path,77.5,12,67%,0.90,1.00,parameterized recipe reuse
12,front leg,73.3,10,56%,1.00,1.00,parameterized recipe reuse
13,top slab,71.5,10,56%,1.00,0.88,parameterized recipe reuse
14,plinth,71.0,10,56%,0.96,0.91,parameterized recipe reuse
15,trim path,68.3,9,50%,0.95,0.97,parameterized recipe reuse
16,bracket,68.2,10,56%,0.85,0.91,shared profile or curve reuse
17,cover shell,66.7,8,44%,1.00,1.00,parameterized recipe reuse
18,drawer front,66.7,8,44%,1.00,1.00,parameterized recipe reuse
19,handle,66.7,8,44%,1.00,1.00,exact accepted donor reuse
20,back board,66.0,10,56%,0.90,0.67,parameterized recipe reuse
21,shelf,64.7,8,44%,0.98,0.89,parameterized recipe reuse
22,lock/escutcheon,63.9,8,44%,0.98,0.85,exact accepted donor reuse
23,finial,63.3,7,39%,1.00,1.00,exact accepted donor reuse
24,runner,62.4,9,50%,1.00,0.49,parameterized recipe reuse
25,hinge leaf,61.4,8,44%,0.98,0.68,exact accepted donor reuse
26,apron,60.3,7,39%,0.93,0.93,shared profile or curve reuse
27,drawer side,60.0,8,44%,1.00,0.56,parameterized recipe reuse
28,drawer bottom,60.0,8,44%,1.00,0.56,parameterized recipe reuse
29,turned spindle,59.4,6,33%,1.00,0.96,parameterized recipe reuse
30,pintle,59.3,7,39%,1.00,0.73,exact accepted donor reuse
31,guide,58.2,8,44%,1.00,0.44,parameterized recipe reuse
32,fixed stop,57.5,8,44%,0.97,0.43,parameterized recipe reuse
33,padding mass,55.4,6,33%,1.00,0.69,parameterized recipe reuse
34,strap/band,53.8,5,28%,1.00,0.81,exact accepted donor reuse
35,wedge/key,51.9,5,28%,1.00,0.68,exact accepted donor reuse
36,side board,51.4,5,28%,0.97,0.70,parameterized recipe reuse
37,lid,50.0,3,17%,1.00,1.00,parameterized recipe reuse
38,upholstery webbing,49.7,6,33%,0.94,0.41,parameterized recipe reuse
39,lattice bridge,47.1,3,17%,0.88,1.00,parameterized recipe reuse
40,door leaf,45.0,3,17%,0.80,1.00,assembly-grammar reuse
41,castor,44.6,4,22%,0.79,0.78,exact accepted donor reuse
42,lattice upright,44.2,2,11%,0.90,1.00,parameterized recipe reuse
43,textile support,44.0,3,17%,1.00,0.60,parameterized recipe reuse
44,stretcher,43.8,4,22%,0.62,1.00,genuinely bespoke component
45,gallery,41.7,2,11%,0.80,1.00,assembly-grammar reuse
46,latch,41.4,3,17%,0.72,0.90,exact accepted donor reuse
