slot,what,url,rejection_reason
02_stool,"Ottoman, Herter Brothers, ca. 1881–82, rosewood, Metropolitan Museum of Art 2002.396.2 (object 17493)",https://www.metmuseum.org/art/collection/search/17493,"only 0 views; gate requires 3+ (primaryImage empty, additionalImages empty) — AND image rights not open access (isPublicDomain false). This is the sole Herter stool-class object in the collection, so Tier 1 fails here."
02_stool,"Reception chair, Herter Brothers, ca. 1880, painted and gilded maple, Metropolitan Museum of Art 1995.149 (object 15293)",https://www.metmuseum.org/art/collection/search/15293,only 0 views; gate requires 3+ — AND image rights not open access. (Also not a stool.)
02_stool,"Cabinet, Herter Brothers, ca. 1883, Metropolitan Museum of Art 2002.396.1a–e (object 17491) — checked because it is the mate to the 2002.396 ottoman",https://www.metmuseum.org/art/collection/search/17491,only 0 views; gate requires 3+ — AND image rights not open access.
02_stool,"Firescreen, Attributed to Herter Brothers, ca. 1880, Metropolitan Museum of Art 69.127 (object 3680)",https://www.metmuseum.org/art/collection/search/3680,only 1 view; gate requires 3+.
02_stool,"Chair (objectName ""Sewing chair""), Herter Brothers, 1867–69, Metropolitan Museum of Art 65.186 (object 7551)",https://www.metmuseum.org/art/collection/search/7551,"Passes every mechanical gate (4 views, CC0, dimensions ""30 1/4 x 22 x 26 1/4 in. (76.8 x 55.9 x 66.7 cm)""). Rejected on SLOT DEFINITION, not on a gate: at 30 1/4 in. high with a back it is a low chair, not a stool, so it re-tests the baseline's stile-and-back vocabulary instead of isolating the lowe"
02_stool,"""Thebes"" Stool, artist/maker unknown, c. 1880–1883, ebony/ivory/mahogany/rosewood/leather, Philadelphia Museum of Art (object 305769) — the closest true Aesthetic-Movement stool fo",https://www.philamuseum.org/objects/305769,"only 1 photograph on the page; gate requires 3+ — AND no published overall measurements shown on the page — AND image rights not open access (page states images are ""shared for educational use"" with rights on request). Views counted by eye on the fetched page, not returned by an API."
02_stool,"Foot stool, Morris & Co, 1866–1900, upholstered in 'Bird' pattern, Victoria and Albert Museum CIRC.250C-1961 (O321999)",https://collections.vam.ac.uk/item/O321999/,"only 1 image (record images array length 1); gate requires 3+ — AND no published overall measurements (dimensions[] empty, dimensionsSummary null) — AND image rights not open access (""©Victoria & Albert Museum, London"")."
02_stool,"Footstool, John A. Ellis and Company, 1845–55, mahogany, Metropolitan Museum of Art 1970.124 (object 7912)",https://www.metmuseum.org/art/collection/search/7912,only 2 views; gate requires 3+.
02_stool,"Stool (one of a pair), American, ca. 1840, rosewood, Metropolitan Museum of Art 47.147.1 (object 7913)",https://www.metmuseum.org/art/collection/search/7913,"Nominally 4 views, but on inspection 3 of the 4 are group installation photographs of both stools flanking a lyre-base table at a distance. Fails ""at least THREE materially different useful views"" and fails ""resolution enough to separate components"" — only one image actually resolves the object."
02_stool,"Stool (the mate), American, ca. 1840, rosewood, Metropolitan Museum of Art 47.147.2 (object 7914)",https://www.metmuseum.org/art/collection/search/7914,"Same defect: 3 listed views, all of them the shared group installation plates. Fails ""three materially different useful views""."
02_stool,"Curule stool, Duncan Phyfe, ca. 1837, mahogany/ash/modern upholstery, Metropolitan Museum of Art 66.221.7 (object 7915)",https://www.metmuseum.org/art/collection/search/7915,only 2 views; gate requires 3+.
02_stool,"Curule stool, Duncan Phyfe, ca. 1837, Metropolitan Museum of Art 66.221.8 (object 7916)",https://www.metmuseum.org/art/collection/search/7916,only 1 view; gate requires 3+.
02_stool,"Footstool, American, 1810–20, mahogany and tulip poplar, Metropolitan Museum of Art 42.37.2 (object 3797)",https://www.metmuseum.org/art/collection/search/3797,only 2 views; gate requires 3+.
02_stool,"Footstool, Duncan Phyfe, ca. 1800, mahogany, Metropolitan Museum of Art 50.20.2 (object 3793)",https://www.metmuseum.org/art/collection/search/3793,only 1 view; gate requires 3+.
02_stool,"Footstool, American, ca. 1800, cherry, Metropolitan Museum of Art 34.100.48 (object 3787)",https://www.metmuseum.org/art/collection/search/3787,only 1 view; gate requires 3+.
02_stool,"Footstool, American, ca. 1800, pine, Metropolitan Museum of Art 34.100.49 (object 3788)",https://www.metmuseum.org/art/collection/search/3788,only 1 view; gate requires 3+.
02_stool,"Footstool, American, 1730–60, cherry and yellow pine, Metropolitan Museum of Art 52.195.14 (object 3789)",https://www.metmuseum.org/art/collection/search/3789,only 1 view; gate requires 3+.
02_stool,"Stool, American, 1750–90, mahogany, Metropolitan Museum of Art 69.208 (object 7911)",https://www.metmuseum.org/art/collection/search/7911,only 1 view; gate requires 3+.
02_stool,"Stool, American, 1800–1900, wood, Metropolitan Museum of Art 34.100.166b (object 7910)",https://www.metmuseum.org/art/collection/search/7910,only 1 view; gate requires 3+.
02_stool,"Piano stool, American, 1815–25, mahogany with ash, Metropolitan Museum of Art 66.108.5 (object 5598)",https://www.metmuseum.org/art/collection/search/5598,only 1 view; gate requires 3+.
02_stool,"Window stool, Duncan Phyfe, 1805–15, mahogany with cherry, Metropolitan Museum of Art 53.179.2 (object 9826)",https://www.metmuseum.org/art/collection/search/9826,only 1 view; gate requires 3+.
02_stool,"Window Stool, Duncan Phyfe, 1805–15, mahogany, Metropolitan Museum of Art 53.179.3 (object 9827)",https://www.metmuseum.org/art/collection/search/9827,only 1 view; gate requires 3+.
02_stool,"Joint stool, American, 1700–1725, maple, Metropolitan Museum of Art 10.125.182 (object 4547)",https://www.metmuseum.org/art/collection/search/4547,only 2 views; gate requires 3+.
02_stool,"Joint stool, American possibly, 1725–50, cherry, Metropolitan Museum of Art 52.77.56 (object 4551)",https://www.metmuseum.org/art/collection/search/4551,only 1 view; gate requires 3+.
02_stool,"Joint stool, British, 1650–1700, white oak, Metropolitan Museum of Art 66.108.4 (object 4552)",https://www.metmuseum.org/art/collection/search/4552,only 1 view; gate requires 3+.
02_stool,"Joint stool, British, 1650–1700, white oak and cherry, Metropolitan Museum of Art 1970.289.3 (object 4553)",https://www.metmuseum.org/art/collection/search/4553,only 1 view; gate requires 3+.
02_stool,"Ottoman, Francois Jourdain, ca. 1928, mahogany and plant fiber, Brooklyn Museum 2006.80.2",https://www.brooklynmuseum.org/opencollection/objects/172460,"Wrong tradition and date (French Art Moderne, ca. 1928 — not the Aesthetic construction tradition and not admissible under Tier 4, whose recipe is machine-bent laminate, not joined frame). Also only 1 photograph shown on the page; gate requires 3+. Views counted by eye in the browser, not returned b"
02_stool,"Tabouret, Carlo Bugatti, c. 1907, mahogany/parchment/gilt bronze/mother-of-pearl, Cleveland Museum of Art 2025.193 — the highest view count found anywhere (8 views, CC0, ""Overall: ",https://clevelandart.org/art/2025.193,"Passes every mechanical gate. Rejected on the Tier 4 test, not on a gate: it is Italian Art Nouveau, outside the construction tradition, and its parchment-wrapped carcass with beaten-copper inlay is an idiosyncratic surface technique, not the ""unusually reusable construction recipe"" the tier require"
02_stool,"Bench, Louis Majorelle, c. 1900, gilt wood, Cleveland Museum of Art 1971.28 (3 views, CC0)",https://clevelandart.org/art/1971.28,"Passes gates but rejected on slot definition and tier: French Art Nouveau bench, not a stool, wrong tradition, and carved-organic frame offers no reusable joinery recipe."
02_stool,"Stool, maker not stated, c. 1910, wood, Cleveland Museum of Art 1975.189 (4 views, CC0)",https://clevelandart.org/art/1975.189,"Passes gates but rejected on tier and on measurement usefulness: African carved stool, wrong tradition, and its published measurement is a single figure — ""Overall: 35 cm (13 3/4 in.)"" — with no width or depth, so the frame cannot be dimensioned."
02_stool,"Side Chair, Herter Brothers, 1869–70, Art Institute of Chicago 1988.199 — checked as the AIC route into Tier 1",https://www.artic.edu/artworks/90204,"Not a stool (wrong object type for this slot), and alt_image_ids is empty so it carries only 1 view; gate requires 3+. AIC holds six Herter objects and none is a stool."
03_settee,"Metropolitan Museum of Art 1992.269, ""Settee"", George Jakob Hunzinger, ca. 1876–85, ebonized cherry and fabric-covered steel mesh, 39 5/8 x 67 3/8 x 22 5/8 in. (100.6 x 171.1 x 57.",https://www.metmuseum.org/art/collection/search/14488,"only 1 view (API: primaryImage, additionalImages empty); gate requires 3+. This was the single best tier-2 match found anywhere — right period, right city, ebonized cherry like the baseline, patented Hunzinger construction — and it failed purely on photography."
03_settee,"Metropolitan Museum of Art 1975.219a, ""Settee"", Sir Lawrence Alma-Tadema (designer), ca. 1885, ebony/box/sandalwood/cedar with ivory, mother-of-pearl and brass, Overall: 35 1/2 × 5",https://www.metmuseum.org/art/collection/search/206332,"only 2 materially different views OF THE SETTEE; gate requires 3+. The API returns 3 images, but the third (225500) is a photograph of a separate textile labelled 1975.219 b, not a view of the settee. No rear, side-elevation or underside view."
03_settee,"Metropolitan Museum of Art 69.90.1, ""Settee"", American, 1870–1900",https://www.metmuseum.org/art/collection/search/7394,0 views AND image rights not open access (isPublicDomain false). Exactly the target period; no usable record.
03_settee,"Metropolitan Museum of Art 69.158.2, ""Settee"", American, 1850–1900",https://www.metmuseum.org/art/collection/search/7395,0 views AND image rights not open access (isPublicDomain false).
03_settee,"Metropolitan Museum of Art 1982.189.1, ""Garden Settee"", American, ca. 1870, cast iron, 35 1/2 x 39 x 21 in. (90.2 x 99.1 x 53.3 cm)",https://www.metmuseum.org/art/collection/search/3871,only 1 view; gate requires 3+.
03_settee,"Metropolitan Museum of Art 1982.189.2, ""Garden Settee"", American, ca. 1870",https://www.metmuseum.org/art/collection/search/3872,0 views AND image rights not open access (isPublicDomain false).
03_settee,"Victoria and Albert Museum W.16-1972, ""Settee"", Edward William Godwin (designer) with William Watt & Co., 1869-1885, ebonised mahogany with brass and silk, Height 85.1 cm / Width 1",https://api.vam.ac.uk/v2/museumobject/O127328,"only 1 image on the record (images array = ['2006BF5947']); gate requires 3+. The record carries an unusually good written physical description (pierced geometric arm panels, turned arm rests, turned finials on the rear legs, four legs on brass castors) but no second photograph, no rear and no under"
03_settee,"Cleveland Museum of Art 1971.29, ""Sofa"", maker NOT STATED, c. 1820, wood with painted and gilded decoration, Overall: 85.1 x 195.5 x 63.6 cm (33 1/2 x 76 15/16 x 25 1/16 in.)",https://clevelandart.org/art/1971.29,"fails ""three MATERIALLY DIFFERENT views"" — the 3 images are two near-identical straight front elevations (differing only in lighting and backdrop) plus one 3/4. No rear, underside, interior or joinery view."
03_settee,"Cleveland Museum of Art 1979.6, ""Settee"", Philippe-Joseph Pluvinet, c. 1780, painted wood and upholstery",https://clevelandart.org/art/1979.6,"no full published overall measurements — the measurements field reads only ""Overall: 162.5 cm (64 in.)"", a single figure with no height/width/depth breakdown. (Its 4 views are otherwise good: 3/4, front elevation, crest-corner detail, and an arm/leg/seat-rail junction detail showing the rosette die "
03_settee,"Cleveland Museum of Art 1971.28, ""Bench"", Louis Majorelle, c. 1900, Overall: 75 x 118.1 x 40.7 cm (29 1/2 x 46 1/2 x 16 in.)",https://clevelandart.org/art/1971.28,"fails the reveal gate — 3 views are 3/4, side-on elevation and a decorative crest detail; no rear, underside, interior or joinery view. Also wrong tradition (French Art Nouveau) with no compensating construction evidence."
03_settee,"Metropolitan Museum of Art 35.145.1, ""Settee (canapé) (part of a set)"", Nicolas-Quinibert Foliot, ca. 1754–56, 44 x 92 1/2 x 32 in. (111.8 x 235 x 81.3 cm)",https://www.metmuseum.org/art/collection/search/197738,only 1 view; gate requires 3+.
03_settee,"Metropolitan Museum of Art 35.145.15a–d, ""Four upholstery panels for a settee"", Beauvais, 1754–56",https://www.metmuseum.org/art/collection/search/231000,"not a settee — loose Beauvais tapestry upholstery panels only; no frame, so it cannot test the settee grammar. (2 views.)"
03_settee,"Brooklyn Museum — the whole Kimbel and Cabus holding (6 catalogued objects: Cabinet-Secretary, Humidor, Corner Chair (Modern Gothic style), Side Chair Model 304, Cabinet, Pedestal)",https://www.brooklynmuseum.org/search/collection?artist_maker=Kimbel+and+Cabus,"NO SETTEE, SOFA OR BENCH EXISTS in either maker's catalogued online holding — the tier fails on object type, not on gates. Brooklyn holds the largest institutional Kimbel and Cabus collection, so this closes tier 2's most promising address. Separately, the one Brooklyn record I opened in full (2000."
03_settee,"Art Institute of Chicago — Aesthetic-movement makers: Herter Brothers Cabinet (105105, 1878–80), Sideboard (99082), Side Chair (45003), Table (44867, 104352), Side Chair (90204); P",https://api.artic.edu/api/v1/artworks/search?q=Herter%20Brothers,"no settee, sofa or bench by ANY of these makers; and the objects that do exist carry 0–3 alt_image_ids, so most would fail the 3-view gate regardless."
03_settee,"Cleveland Museum of Art — the whole Herter holding (1997.58 Fire Screen, 1982.5 Chair [the corpus baseline], 1987.53 Center Table, 1984.39 Center Table (Gustave Herter Firm), 1998.",https://openaccess-api.clevelandart.org/api/artworks/?type=Furniture%20and%20woodwork&created_after=1840&created_before=1910,"no Aesthetic-movement settee, sofa or bench exists in the collection at all — a scan of every title in the Decorative Art and Design department (5,206 records) for settee/sofa/bench/settle/canapé/loveseat/daybed/couch/divan returned only 2011.3, 1971.29, 1947.183(.1) and 1971.28."
03_settee,"Metropolitan Museum of Art — the whole Herter Brothers holding: 7 objects under an artist search (armchair 1999.488, wardrobe 69.140a-b, console 2013.956a-b, pedestals 2002.298.1 a",https://www.metmuseum.org/art/collection/search/7366,"TIER 1 IS EMPTY: not one settee, sofa, bench, settle or loveseat. The named bedroom suite 69.146.1–.5 is a Bedstead (.1), Chest of Drawers (.2), Secretary (.3), Night Table (.4) and Looking Glass (.5); the drawing-room group is 2002.298.1/.2 Pedestals, 2013.956a-b Console, 2014.530.1.1 and .1.2 Side"
03_settee,"Metropolitan Museum of Art — Pottier and Stymus Manufacturing Company (88.10.2 Side chair, 88.10.3 Armchair, 1970.35.1 Armchair, 1970.35.2 Side Chair, 1980.326.1 and .2 Child's Arm",https://www.metmuseum.org/art/collection/search/236,"no settee, sofa or bench by either firm. Tier 2 at the Met produces only chairs and case pieces. Daniel Pabst, Frank Furness and Associated Artists each return total=0 at the Met."
04_side_table,"Cleveland Museum of Art 1987.53, ""Center Table"", Herter Brothers (American), c. 1875, ""rosewood inlaid with other woods and bone"", ""Overall: 76.5 x 122 x 76.2 cm (30 1/8 x 48 1/16 ",https://clevelandart.org/art/1987.53,"only 1 view; gate requires 3+ (M.gate failure: ""only 1 view(s); gate requires 3+""). Painful loss — this is a true Herter Brothers Aesthetic-period table and would have been the ideal tier-1 second."
04_side_table,"Cleveland Museum of Art 1998.19, ""Center Table with Micromosaic Top, 'Love Triumphant'"", Agostino Francesangeli (Italian); Herter Brothers (American), table c. 1865; top c.1830–50,",https://clevelandart.org/art/1998.19,only 1 view; gate requires 3+
04_side_table,"Cleveland Museum of Art 1997.58, ""Fire Screen"", Herter Brothers (American), c. 1878–80, CC0",https://clevelandart.org/art/1997.58,"only 2 views; gate requires 3+ (and it is a fire screen, not a table — wrong object type for this slot)"
04_side_table,"Metropolitan Museum of Art 1973.168.1, ""Drop-leaf Table"", Herter Brothers, American, 1870–75, ""Wood"", Public Domain",https://www.metmuseum.org/art/collection/search/3453,"only 1 view; gate requires 3+. ALSO fails the measurements gate independently — the dimensions field reads literally ""Dimensions unavailable"", i.e. no published overall measurements."
04_side_table,"Metropolitan Museum of Art 1973.168.2, ""Table"", Herter Brothers, American, 1870–75, ""Wood"", ""H. 36 in. (91.4 cm); Diam. 20 in. (50.8 cm)"", Public Domain",https://www.metmuseum.org/art/collection/search/8080,only 1 view; gate requires 3+
04_side_table,"Metropolitan Museum of Art 1998.108, ""Pedestal"", Herter Brothers, American, 1880–85, ""Ebonized cherry with black marble top"", ""H. 54 in. (137.2 cm)""",https://www.metmuseum.org/art/collection/search/16305,"0 views AND image rights not open access (M.gate: ""only 0 view(s); gate requires 3+"", ""image rights not open access""). Two independent gate failures."
04_side_table,"Yale University Art Gallery 2012.41.1, ""Center Table"", Herter Brothers (American, 1864–1906), ca. 1878, ""Rosewood, mahogany, rosewood veneer, lightwood and tropical wood inlay, gil",https://artgallery.yale.edu/collections/objects/171664,"only 1 image on the object page; gate requires 3+ materially different views. Everything else on this record passes — accession, maker, published dimensions and rights are all clean. This is the strongest near-miss in the whole task: a documented Herter Brothers Japanese-inspired center table let do"
04_side_table,"Metropolitan Museum of Art 1986.78, ""Table"", American, ca. 1860, New York, ""Walnut, marble"", ""30 1/2 x 30 1/2 x 44 in. (77.5 x 77.5 x 111.8 cm)"", Public Domain — Gothic Revival oct",https://www.metmuseum.org/art/collection/search/8079,fails the THREE MATERIALLY DIFFERENT VIEWS gate on inspection even though the API reports 4 images and M.gate() returns PASS. I downloaded and opened all four: image 1 and image 2 are the same three-quarter view (colour and archival black-and-white); image 3 and image 4 are the same square-on overhe
04_side_table,"Metropolitan Museum of Art 1986.47.2, ""Table"", American, 1878–84, ""30 1/4 x 28 in. (76.8 x 71.1 cm)"", Public Domain",https://www.metmuseum.org/art/collection/search/8094,only 2 views; gate requires 3+
04_side_table,"Metropolitan Museum of Art 1974.146, ""Center Table"", 1830–40, ""28 1/2 x 33 3/8 x 33 3/8 in. (72.4 x 84.8 x 84.8 cm)"", 3 views, Public Domain",https://www.metmuseum.org/art/collection/search/1527,"no maker/culture/provenance information — both artistDisplayName and culture return empty, so M.gate fails with ""no maker/culture/provenance information"". Views and dimensions would otherwise have passed."
