recipe_family,FC-01-1999_488,FC-01-2012_216,FC-02-67_230,FC-03-2011_3,FC-03-30_120_59,FC-04-1969_262,FC-04-1972_47,FC-05-69_146_3,FC-06-69_146_2,FC-07-1999_79,FC-08-2019_59,FC-08-69_140ab,FC-09-1954_151,FC-09-69_146_1,FC-10-1971_281,FC-10-1984_161,FC-11-10_125_133,FC-12-2002_298_1,n_objects,weighted_n
foot.turned_separate,1,,1,,,,,1,0.5,,1,,i,1,,0.5,,,7,6.0
foot.integral_stile_termination,,,,1,,0.5,,,,,,1,,,1,,,,4,3.5
foot.carved_figural,,,,,,,1,,,,,,,,,,,,1,1.0
foot.block,,,,,,,,,,1,,,,,,,,,1,1.0
foot.spun_metal_base,,,,,,,,,,,,,,,,,,,0,0.0
post.case_corner_structural,,,,,,,,1,0.5,,0.5,1,,,,,,,4,3.0
post.panel_muntin,,,,1,,,,,,,,,,,1,1,,,3,3.0
post.bed_stacked_block,,,,,,,,,,,,,1,1,,,,,2,2.0
post.turned_support,,,,,,,,,,,,,,,,,,,0,0.0
post.board_standard,,,,,,,1,,,,,,,,,,,,1,1.0
post.arm_support,1,1,,,,,,,,,,,,,,,,,2,2.0
rail.seat_frame,1,i,,1,,,,,,,,,,,,,,,2,2.0
rail.drawer_divider,,,,,,,,1,1,0.5,,,,,,0.5,,,4,3.0
rail.frame_and_panel,,,,,,,,,,,1,1,,,0.5,,,,3,2.5
rail.swept_show_wood_arm,1,1,,1,,,,,,,,,,,,,,,3,3.0
rail.bed_side,,,,,,,,,,,,,1,1,,,,,2,2.0
rail.gallery_cap,,,,,,,,,,,,,,1,,,,,1,1.0
rail.moving_fly,,,,,,1,,,,,,,,,,,,,1,1.0
stile.continuous_leg_and_stile,i,,,,,,,0.5,,0.5,,,,,1,0.5,,,4,2.5
stile.separate_rear_leg,,1,,,,1,,,,,,,1,,,,,,3,3.0
stile.plain_back_board,,,,,,,,,,,1,,,1,,,,,2,2.0
brace.corner_glue_block,,i,i,,,0.5,i,,,i,1,,,,,,,,2,1.5
brace.shaped_show_bracket,1,,,,,,,,,,,,1,1,,,,,3,3.0
brace.lid_cleat,,,,,,,,,,,,,,,1,1,,,2,2.0
brace.metal_stay,,,,,,,,1,,,,,,,,,,,1,1.0
frame.stile_rail_muntin_grid,,,,,,,,0.5,1,,1,0.5,,,1,0.5,,,6,4.5
frame.applied_moulded_surround,,1,,,,,1,,,1,,,,1,,,,,4,4.0
frame.assembled_from_members,1,,,1,,,,,,,,,1,,,,,,3,3.0
panel.floating_board_in_groove,,,,,,,,0.5,1,,1,1,,,1,1,,,6,5.5
panel.upholstered_field,1,1,,1,,,,,,,,,,,,,,,3,3.0
cornice.stacked_fillet_moulding,,,,,,,,1,1,1,1,1,,1,,,,,6,6.0
crest.shaped_sawn_board,1,1,,1,,,,,,,,,1,,,,,,4,4.0
crest.metal_capital,,,,,,,,,,,,,,,,,,,0,0.0
moulding.profile_library,1,1,,,,,1,1,1,1,1,1,,,0.5,1,,,10,9.5
moulding.repeating_cell_run,,,,1,,,,,,,,,1,1,,,,,3,3.0
ornament.instanced_relief_master,1,,1,1,,,,1,,1,,,1,1,,1,,,8,8.0
ornament.marquetry_motif_set,,,,,,,,1,1,,,1,,1,,,,,4,4.0
ornament.figural_bespoke,1,,,,,,,,,,,,,,,,,,1,1.0
inlay.linear_stringing_path,,,1,,,1,,1,1,1,1,1,,,,,,,7,7.0
inlay.node_and_cell_punctuation,,1,,,,,1,,,,,,,1,,,,,3,3.0
inlay.absent_recorded,,,,1,,,,,,,,,,,,,,,1,1.0
