slot,candidate_id,accession,museum,coverage_status,n_bom_rows,n_analytical_subrows,view_count,verification_method,rights_class,rights_class_meaning,note
01_armchair,FC-01-1999_488,1999.488,Metropolitan Museum of Art,analysed,24,24,5,API re-verified in this session,unrestricted,unrestricted / open production use,,
01_armchair,FC-01-2012_216,2012.216,Metropolitan Museum of Art,analysed,25,25,6,API re-verified in this session,unrestricted,unrestricted / open production use,,
02_stool,FC-02-67_230,67.230,Metropolitan Museum of Art,analysed,14,15,3,API re-verified in this session,unrestricted,unrestricted / open production use,,
02_stool,FC-02-60_4_14,60.4.14,Metropolitan Museum of Art,api failure,0,0,4,API re-verified in this session,unrestricted,unrestricted / open production use,,Met 60.4.14 footstool. IDENTIFIED BY v1 as one of the two BOM agents that died on API errors mid-response: 'FC-02-60_4_14 (Phyfe footstool)'. Candidate verified; only its component analysis is absent. 4 published views.
03_settee,FC-03-2011_3,2011.3,Cleveland Museum of Art,analysed,31,33,11,API re-verified in this session,unrestricted,unrestricted / open production use,,
03_settee,FC-03-30_120_59,30.120.59,Metropolitan Museum of Art,analysed,17,21,9,API re-verified in this session,unrestricted,unrestricted / open production use,,
04_side_table,FC-04-1972_47,1972.47,Metropolitan Museum of Art,analysed,31,37,11,API re-verified in this session,unrestricted,unrestricted / open production use,,
04_side_table,FC-04-1969_262,1969.262,Cleveland Museum of Art,analysed,15,15,13,API re-verified in this session,unrestricted,unrestricted / open production use,,
05_desk,FC-05-69_146_3,69.146.3,Metropolitan Museum of Art,analysed,32,34,6,API re-verified in this session,unrestricted,unrestricted / open production use,,
05_desk,FC-05-1974-224-1ab,"1974-224-1a,b",Philadelphia Museum of Art,page-only evidence,0,0,9,PAGE-VERIFIED ONLY - no open API; view count counted by eye,conflict_or_restricted,conflicting rights statements - treated as restricted until an authoritative licence resolves the contradiction,"Philadelphia Museum of Art. The object record says ""RightsType"":""Public Domain"" while the site-wide notice limits use to educational purposes and requests permission contact. That is a CONFLICT between two authority statements, not an attribution licence - classed restricted until an authoritative licence resolves it.","Philadelphia Museum of Art 1974-224-1a,b. No open API; PAGE-VERIFIED ONLY, view count counted by eye. Never dispatched - an API-path BOM agent had nothing to call."
06_chest_drawers,FC-06-69_146_2,69.146.2,Metropolitan Museum of Art,analysed,24,25,5,API re-verified in this session,unrestricted,unrestricted / open production use,,
06_chest_drawers,FC-06-27_57_1,27.57.1,Metropolitan Museum of Art,api failure,0,0,13,API re-verified in this session,unrestricted,unrestricted / open production use,,"Met 27.57.1 chest of drawers. IDENTIFIED BY v1 as the second BOM agent that died on API errors: 'FC-06-27_57_1 (chest of drawers)'. 13 published views, the second-highest in the corpus - it is analysable and its absence is purely the agent failure."
