family_id,lane,status,n_member_subrows,n_visible,n_partially_visible,n_inferred,n_not_determinable,weighted_evidence,objects_unlocked,rankability
moulding.profile_toolkit,toolkit_capability,RANKABLE,14,12,2,0,0,13.0,14,RANKABLE
cornice.stacked_profile_run,component_recipe,RANKABLE,6,6,0,0,0,6.0,6,RANKABLE
inlay.linear_stringing_path,component_recipe,RANKABLE,6,6,0,0,0,6.0,6,RANKABLE
stile.separate_rear_leg,component_recipe,RANKABLE,5,5,0,0,0,5.0,5,RANKABLE
seatframe.closed_frame_assembly,assembly_grammar,RANKABLE,6,4,2,0,0,5.0,4,RANKABLE
frame.stile_rail_muntin_grid,assembly_grammar,RANKABLE,6,4,2,0,0,5.0,6,RANKABLE
ornament.marquetry_motif_set,component_recipe,RANKABLE,4,4,0,0,0,4.0,4,RANKABLE
foot.turned_interface_unresolved,component_recipe,AUDIT_ONLY,4,3,1,0,0,3.5,4,NOT_RANKABLE_AUDIT_ONLY
rail.seat_tenoned,component_recipe,RANKABLE,4,3,1,0,0,3.5,2,RANKABLE
rail.drawer_divider,component_recipe,RANKABLE,4,3,1,0,0,3.5,4,RANKABLE
stile.continuous_leg_and_stile,component_recipe,RANKABLE,4,2,2,0,0,3.0,4,RANKABLE
rail.inlaid_band,component_recipe,RANKABLE,3,3,0,0,0,3.0,1,RANKABLE
bracket.shaped_sawn_console,component_recipe,RANKABLE,3,3,0,0,0,3.0,3,RANKABLE
frame.applied_moulded_surround,component_recipe,RANKABLE,3,3,0,0,0,3.0,3,RANKABLE
crest.shaped_sawn_board,component_recipe,RANKABLE,3,3,0,0,0,3.0,3,RANKABLE
ornament.placement_system,assembly_grammar,RANKABLE,3,3,0,0,0,3.0,2,RANKABLE
foot.turned_separate_dowelled,component_recipe,RANKABLE,3,2,1,0,0,2.5,3,RANKABLE
stile.case_corner_board,component_recipe,RANKABLE,3,2,1,0,0,2.5,2,RANKABLE
foot.turned_integral_with_leg,component_recipe,RANKABLE,2,2,0,0,0,2.0,2,RANKABLE
termination.leg_toe_prismatic,component_recipe,RANKABLE,2,2,0,0,0,2.0,2,RANKABLE
muntin.panel_grooved,component_recipe,RANKABLE,2,2,0,0,0,2.0,2,RANKABLE
armpost.on_seat_rail_short,component_recipe,RANKABLE,2,2,0,0,0,2.0,2,RANKABLE
