lane,family_id,status,weighted_evidence,objects_unlocked,n_proven,n_member_subrows,n_construction_uncertain,construction_confidence,ambiguity_penalty,reuse_class,reuse_multiplier,confidence_factor,ambiguity_factor,breadth_factor,rankability_factor,final_score,rankability,non_construction_uncertainty
toolkit_capability,moulding.profile_toolkit,RANKABLE,13.0,14,12,14,2,0.8571428571428571,0.14285714285714285,toolkit_capability,0.95,0.9285714285714286,0.9285714285714286,2.95,1.0,31.41373724489796,RANKABLE,
component_recipe,inlay.linear_stringing_path,RANKABLE,6.0,6,6,6,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.75,1.0,9.450000000000001,RANKABLE,
component_recipe,cornice.stacked_profile_run,RANKABLE,6.0,6,6,6,0,1.0,0.0,shared_profile,0.75,1.0,1.0,1.75,1.0,7.875,RANKABLE,
component_recipe,stile.separate_rear_leg,RANKABLE,5.0,5,5,5,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.6,1.0,7.2,RANKABLE,
component_recipe,ornament.marquetry_motif_set,RANKABLE,4.0,4,4,4,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.45,1.0,5.22,RANKABLE,
component_recipe,stile.continuous_leg_and_stile,RANKABLE,3.0,4,4,4,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.45,1.0,3.915,RANKABLE,
component_recipe,frame.applied_moulded_surround,RANKABLE,3.0,3,3,3,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.3,1.0,3.5100000000000002,RANKABLE,
component_recipe,foot.turned_separate_dowelled,RANKABLE,2.5,3,3,3,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.3,1.0,2.9250000000000003,RANKABLE,
component_recipe,bracket.shaped_sawn_console,RANKABLE,3.0,3,3,3,0,1.0,0.0,shared_profile,0.75,1.0,1.0,1.3,1.0,2.9250000000000003,RANKABLE,
component_recipe,crest.shaped_sawn_board,RANKABLE,3.0,3,3,3,0,1.0,0.0,shared_profile,0.75,1.0,1.0,1.3,1.0,2.9250000000000003,RANKABLE,
component_recipe,rail.seat_tenoned,RANKABLE,3.5,2,3,4,1,0.75,0.25,parameterized_recipe,0.9,0.875,0.875,1.15,1.0,2.7734765624999995,RANKABLE,
component_recipe,rail.inlaid_band,RANKABLE,3.0,1,3,3,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,2.7,RANKABLE,
component_recipe,rail.drawer_divider,RANKABLE,3.5,4,2,4,2,0.5,0.5,parameterized_recipe,0.9,0.75,0.75,1.45,1.0,2.56921875,RANKABLE,
component_recipe,foot.turned_integral_with_leg,RANKABLE,2.0,2,2,2,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.15,1.0,2.07,RANKABLE,
component_recipe,termination.leg_toe_prismatic,RANKABLE,2.0,2,2,2,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.15,1.0,2.07,RANKABLE,
