family_id,FC-01-1999_488,FC-01-2012_216,FC-02-67_230,FC-03-2011_3,FC-03-30_120_59,FC-04-1969_262,FC-04-1972_47,FC-05-69_146_3,FC-06-69_146_2,FC-07-1999_79,FC-08-2019_59,FC-08-69_140ab,FC-09-1954_151,FC-09-69_146_1,FC-10-1971_281,FC-10-1984_161,FC-11-10_125_133,FC-12-2002_298_1
foot.turned_separate_dowelled,,,,1,,,,,,,1,,,,,0.5,,
foot.turned_integral_with_leg,1,,,1,,,,,,,,,,,,,,
foot.turned_interface_unresolved,,,1,,,,,1,0.5,,,,,,,,1,
foot.turned_with_castor_socket,,,,,,,,,,,,,,1,,,,
foot.disc_pad_separable,,,,,,,1,,,,,,,,,,,
foot.spun_metal_base,,,,,,,,,,,,,,,,,,1
termination.leg_toe_prismatic,,,,,1,,,,,1,,,,,,,,
post.case_corner_structural_joined,,,,,,,,,0.5,,,1,,,,,,
post.carcase_unresolved,,,,,,,,1,,,0.5,,,,,,,
pilaster.applied_face_strip,,,,,,,,,,,0.5,,,,,,,
muntin.panel_grooved,,,,,,,,,,,,,,,1,1,,
muntin.upholstery_tacking,,,,1,,,,,,,,,,,,,,
armpost.on_seat_rail_short,1,,,,1,,,,,,,,,,,,,
armpost.rear_tied_to_back_frame,,,,,1,,,,,,,,,,,,,
stile.continuous_curved_arm_back,,1,,,,,,,,,,,,,,,,
post.back_intermediate,,,,,1,,,,,,,,,,,,,
post.bed_stacked_block,,,,,,,,,,,,,,1,,,,
post.bed_square_fluted,,,,,,,,,,,,,1,1,,,,
post.turned_pivot_gate,,,,,,,,,,,,,,,,,1,
trestle.splayed_board_standard,,,,,,,1,,,,,,,,,,,
pier.midspan_support,,,,,,,0.5,,,,,,,,,,,
support.shelf_stick,,,,,,,,,,1,,,,,,,,
partition.interior_vertical,,,,,,,,,0.5,,,,,,,,,
stile.continuous_leg_and_stile,,,,,1,,,0.5,,0.5,,,,,,,1,
stile.separate_rear_leg,,1,,1,1,1,,,,,,,1,,,,,
stile.case_corner_board,,,,,,,,,,,,,,,1,0.5,,
board.plain_back,,,,,,,,,,,1,,,,,,,
stile.continuity_unresolved,0.5,,,,,,,,,,,,,,,,,
seatframe.closed_frame_assembly,1,,0.5,1,1,,,,,,,,,,,,,
rail.seat_tenoned,1,,,1,,,,,,,,,,,,,,
rail.seat_pinned,,,,,1,,,,,,,,,,,,,
rail.seat_mitred_box,,,0.5,,,,,,,,,,,,,,,
rail.drawer_divider,,,,,,,,1,1,0.5,,1,,,,,,
rail.panel_frame_stock,,,,,,,,,,,1,,,,,,,
rail.frieze,,,,,,,,,,0.5,,1,,,,,,
rail.plinth,,,,,,,,,,,,1,,,,,,
rail.back_secondary,,,,,,,,,,,,1,,,,,,
rail.table_frame,,,,,,,,,,,,,,,,,0.5,
rail.chest_lock_and_lower,,,,,,,,,,,,,,,0.5,,,
rail.shared_stock_multi_role,,,,,,,1,,,,,,,,,,,
rail.multi_purpose_unresolved,,,,,,,,,,0.5,,,,,,0.5,,
rail.back_frame,,,,1,,,,,,,,,,,,,,
rail.upholstery_tacking,,,,,1,,,,,,,,,,,,,
rail.curved_sawn,,,,,,,,,,,,,1,,,,,
rail.straight_visibility_switched,,,,,,1,,,,,,,1,,,,,
rail.gallery_spindle_mortised,,,,,,,,,,,,,,1,,,,
rail.gallery_cap,,,,,,,,,,,,,,1,,,,
rail.inlaid_band,,,,,,,,,,,,,,1,,,,
arm.round_reeded_rod,,,,1,,,,,,,,,,,,,,
arm.flat_swept_board,,,,,1,,,,,,,,,,,,,
arm.arcaded_assembly,1,,,,,,,,,,,,,,,,,
flyrail.moving_assembly,,,,,,1,,,,,,,,,,,,
