correction_type,v2_value,v3_value,extra,reason
TRUNCATED_ID,foot.turned_separate,FC-11-10_125_1,FC-11-10_125_133,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,foot.carved_figural,FC-03-30_120_5,FC-03-30_120_59,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,foot.spun_metal_base,FC-12-2002_298,FC-12-2002_298_1,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,post.turned_support,FC-11-10_125_1,FC-11-10_125_133,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,post.turned_support,FC-12-2002_298,FC-12-2002_298_1,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,post.arm_support,FC-03-30_120_5,FC-03-30_120_59,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,rail.seat_frame,FC-03-30_120_5,FC-03-30_120_59,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,rail.swept_show_wood_arm,FC-03-30_120_5,FC-03-30_120_59,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,stile.continuous_leg_and_stile,FC-03-30_120_5,FC-03-30_120_59,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,stile.separate_rear_leg,FC-11-10_125_1,FC-11-10_125_133,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,brace.corner_glue_block,FC-03-30_120_5,FC-03-30_120_59,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,brace.metal_stay,FC-12-2002_298,FC-12-2002_298_1,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,crest.shaped_sawn_board,FC-03-30_120_5,FC-03-30_120_59,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,crest.metal_capital,FC-12-2002_298,FC-12-2002_298_1,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,moulding.profile_library,FC-11-10_125_1,FC-11-10_125_133,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,moulding.repeating_cell_run,FC-12-2002_298,FC-12-2002_298_1,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,ornament.instanced_relief_master,FC-12-2002_298,FC-12-2002_298_1,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,ornament.figural_bespoke,FC-03-30_120_5,FC-03-30_120_59,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
TRUNCATED_ID,ornament.figural_bespoke,FC-12-2002_298,FC-12-2002_298_1,1 membership(s) in this family cited an ID absent from the BOM; any BOM join dropped them silently
FAMILY_RETIRED_OR_SPLIT,brace.lid_cleat,,,"not carried into v3 under this name - split, renamed, or demoted to a non-asset; see refined_taxonomy_v3.csv and non_asset_constraints_v3.csv"
FAMILY_RETIRED_OR_SPLIT,brace.metal_stay,,,"not carried into v3 under this name - split, renamed, or demoted to a non-asset; see refined_taxonomy_v3.csv and non_asset_constraints_v3.csv"
FAMILY_RETIRED_OR_SPLIT,brace.shaped_show_bracket,,,"not carried into v3 under this name - split, renamed, or demoted to a non-asset; see refined_taxonomy_v3.csv and non_asset_constraints_v3.csv"
FAMILY_RETIRED_OR_SPLIT,cornice.stacked_fillet_moulding,,,"not carried into v3 under this name - split, renamed, or demoted to a non-asset; see refined_taxonomy_v3.csv and non_asset_constraints_v3.csv"
FAMILY_RETIRED_OR_SPLIT,crest.metal_capital,,,"not carried into v3 under this name - split, renamed, or demoted to a non-asset; see refined_taxonomy_v3.csv and non_asset_constraints_v3.csv"
