component,n_objects,dominant_reuse_class,evidence_mix,variation_axes_observed
post,17,parameterized recipe reuse,VISIBLE:15; PARTIALLY VISIBLE:4,"angle, count, curve, density, depth, diameter, height, length, panel, scale, spacing, taper, thickness, width"
rail,17,parameterized recipe reuse,VISIBLE:26; PARTIALLY VISIBLE:6; NOT DETERMINABLE:1; INFERRED FROM TYPE:1,"angle, count, curve, depth, height, length, panel, profile, radius, thickness, width"
repeated ornament master,17,exact accepted donor reuse,VISIBLE:31; PARTIALLY VISIBLE:2,"angle, count, density, depth, diameter, height, length, panel, profile, radius, scale, spacing, taper, width"
foot,17,exact accepted donor reuse,VISIBLE:13; PARTIALLY VISIBLE:3; INFERRED FROM TYPE:1,"angle, count, curve, diameter, height, length, profile, radius, scale, taper, thickness, width"
moulding run,16,shared profile or curve reuse,VISIBLE:15; PARTIALLY VISIBLE:4,"angle, count, curve, depth, diameter, height, length, panel, profile, radius, scale, spacing, width"
brace,14,parameterized recipe reuse,VISIBLE:9; INFERRED FROM TYPE:4; PARTIALLY VISIBLE:2; NOT DETERMINABLE:1,"angle, count, curve, depth, length, profile, radius, spacing, taper, thickness, width"
rear leg/stile,13,parameterized recipe reuse,VISIBLE:9; PARTIALLY VISIBLE:4,"angle, count, depth, height, length, profile, radius, taper, thickness, width"
panel frame,13,assembly-grammar reuse,VISIBLE:10; PARTIALLY VISIBLE:3,"angle, count, depth, height, length, panel, profile, width"
floating panel,12,parameterized recipe reuse,VISIBLE:11; PARTIALLY VISIBLE:2,"count, density, depth, height, panel, radius, thickness, width"
crest/cornice,12,parameterized recipe reuse,VISIBLE:13,"angle, count, curve, density, depth, diameter, height, length, panel, profile, radius, scale, width"
inlay path,12,parameterized recipe reuse,VISIBLE:13,"angle, count, curve, density, diameter, length, panel, radius, spacing, width"
front leg,10,parameterized recipe reuse,VISIBLE:10,"angle, count, curve, density, depth, diameter, height, length, profile, scale, spacing, taper, width"
bracket,10,shared profile or curve reuse,VISIBLE:9; PARTIALLY VISIBLE:4,"angle, count, curve, depth, diameter, height, length, panel, radius, scale, taper, width"
plinth,10,parameterized recipe reuse,VISIBLE:7; PARTIALLY VISIBLE:3,"count, depth, height, length, panel, profile, scale, width"
back board,10,parameterized recipe reuse,VISIBLE:5; NOT DETERMINABLE:3; PARTIALLY VISIBLE:3,"count, height, panel, spacing, thickness, width"
top slab,10,parameterized recipe reuse,VISIBLE:6; PARTIALLY VISIBLE:4,"count, curve, depth, length, profile, radius, thickness, width"
trim path,9,parameterized recipe reuse,VISIBLE:11; PARTIALLY VISIBLE:1,"angle, count, curve, depth, diameter, length, panel, profile, spacing, width"
runner,9,parameterized recipe reuse,INFERRED FROM TYPE:7; VISIBLE:2,"angle, depth, height, length, width"
cover shell,8,parameterized recipe reuse,VISIBLE:8,"count, density, panel, scale, width"
drawer front,8,parameterized recipe reuse,VISIBLE:8,"angle, count, height, profile, scale, width"
handle,8,exact accepted donor reuse,VISIBLE:9,"diameter, length, profile, scale, spacing, taper, width"
drawer side,8,parameterized recipe reuse,INFERRED FROM TYPE:5; VISIBLE:2; PARTIALLY VISIBLE:1,"count, depth, height, length, spacing, thickness"
drawer bottom,8,parameterized recipe reuse,INFERRED FROM TYPE:5; VISIBLE:2; PARTIALLY VISIBLE:1,"count, panel, thickness, width"
guide,8,parameterized recipe reuse,INFERRED FROM TYPE:6; PARTIALLY VISIBLE:2,"height, length"
fixed stop,8,parameterized recipe reuse,INFERRED FROM TYPE:7; VISIBLE:1,"count, depth, height, thickness"
lock/escutcheon,8,exact accepted donor reuse,VISIBLE:6; NOT DETERMINABLE:1; PARTIALLY VISIBLE:1,length
shelf,8,parameterized recipe reuse,VISIBLE:7; PARTIALLY VISIBLE:1; INFERRED FROM TYPE:1,"count, curve, depth, height, length, profile, spacing, thickness, width"
hinge leaf,8,exact accepted donor reuse,VISIBLE:3; INFERRED FROM TYPE:3; PARTIALLY VISIBLE:2,"count, curve, depth, length, profile, scale, spacing, taper, width"
apron,7,shared profile or curve reuse,VISIBLE:6; PARTIALLY VISIBLE:2,"count, curve, density, depth, height, length, panel, profile, radius, scale, spacing, width"
finial,7,exact accepted donor reuse,VISIBLE:8,"count, depth, diameter, height, length, panel, profile, scale, width"
pintle,7,exact accepted donor reuse,VISIBLE:3; PARTIALLY VISIBLE:2; INFERRED FROM TYPE:2,"count, depth, diameter, radius, spacing"
turned spindle,6,parameterized recipe reuse,VISIBLE:6; PARTIALLY VISIBLE:1,"count, density, diameter, height, length, profile, taper"
upholstery webbing,6,parameterized recipe reuse,INFERRED FROM TYPE:5; VISIBLE:1; NOT DETERMINABLE:1,"angle, count, spacing, thickness, width"
